Date,Hour,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK,XK
01/01/2015 00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 01:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 02:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 03:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 04:00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 05:00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2015 06:00,6,0.0047,0.0,0.0087,0.0,0.0358,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0085,0.0,0.0,0.0,0.0,0.0298,0.0174,0.0,0.0,0.0,0.0,0.0102
01/01/2015 07:00,7,0.3109,0.028,0.068,0.0,0.192,0.0145,0.0232,0.0035,0.0,0.0251,0.1433,0.0,0.0,0.0,0.0466,0.0573,0.0,0.0438,0.0307,0.0,0.0307,0.1894,0.1503,0.0,0.0,0.0251,0.0,0.1262,0.0894,0.0,0.0112,0.0631,0.0,0.1835
01/01/2015 08:00,8,0.5011,0.1133,0.1303,0.0197,0.3029,0.1077,0.0402,0.0388,0.0359,0.0276,0.2283,0.1406,0.0189,0.0672,0.104,0.1151,0.0,0.2022,0.0404,0.0154,0.0377,0.3157,0.2089,0.0109,0.0,0.0503,0.0417,0.1602,0.1567,0.0256,0.1144,0.128,0.0144,0.2889
01/01/2015 09:00,9,0.6248,0.1273,0.1615,0.2328,0.3546,0.1638,0.0464,0.1228,0.0096,0.0311,0.2874,0.3683,0.0195,0.2377,0.1457,0.1321,0.0182,0.3108,0.0396,0.0661,0.0379,0.3931,0.2486,0.1247,0.0202,0.0577,0.422,0.1688,0.1773,0.0288,0.1536,0.1434,0.0188,0.3502
01/01/2015 10:00,10,0.6846,0.1161,0.1629,0.3922,0.3824,0.1852,0.0416,0.1732,0.0269,0.0269,0.2999,0.5314,0.0188,0.3499,0.1547,0.1127,0.0259,0.3962,0.0326,0.0638,0.0342,0.4238,0.231,0.1603,0.0215,0.0502,0.6306,0.1569,0.1711,0.0244,0.1435,0.1015,0.0357,0.3623
01/01/2015 11:00,11,0.6844,0.1133,0.1614,0.456,0.3692,0.1868,0.076,0.1927,0.0167,0.025,0.3133,0.6067,0.0185,0.4039,0.1679,0.1093,0.0326,0.4221,0.0267,0.0813,0.0329,0.4229,0.2642,0.1948,0.0222,0.0581,0.7312,0.1456,0.155,0.0295,0.1329,0.0879,0.0426,0.3679
01/01/2015 12:00,12,0.5985,0.1091,0.1409,0.4424,0.3134,0.1816,0.0885,0.1974,0.0162,0.0186,0.2635,0.6422,0.0193,0.414,0.1619,0.0901,0.0366,0.4102,0.0182,0.0986,0.0304,0.3697,0.2671,0.194,0.0265,0.0621,0.7729,0.1194,0.12,0.027,0.1214,0.0806,0.0488,0.3285
