Date,Hour,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK,XK
01/01/2015 00:00,0,0.8035,0.13637,0.8225,0.18987,0.68499,0.13714,0.13303,0.2262,0.34924,0.22147,0.62251,0.24762,0.32403,0.10862,0.66314,0.02269,0.59298,0.65207,0.27856,0.00185,0.19931,0.951,0.951,0.46466,0.43836,0.36013,0.17431,0.30773,0.4838,0.57457,0.51743,0.0,0.663081988,0.8035
01/01/2015 01:00,1,0.7775,0.13388,0.8045,0.20555,0.65197,0.1,0.13797,0.22833,0.34875,0.23072,0.62597,0.23874,0.3205,0.11197,0.66433,0.02279,0.59609,0.6649,0.28413,0.0007,0.21004,0.913,0.913,0.47458,0.4418,0.38912,0.18091,0.25876,0.4723,0.58413,0.46478,0.0,0.64751567,0.7775
01/01/2015 02:00,2,0.743,0.15225,0.7795,0.21885,0.61783,0.08217,0.14366,0.23601,0.36945,0.24562,0.63031,0.22709,0.31734,0.1138,0.66206,0.02333,0.60272,0.6575,0.30968,0.00166,0.22944,0.866,0.866,0.48357,0.43662,0.41605,0.17983,0.21108,0.4585,0.59469,0.43101,0.0,0.626140551,0.743
01/01/2015 03:00,3,0.7345,0.18381,0.7665,0.22399,0.59983,0.08175,0.14833,0.2419,0.39452,0.28753,0.64027,0.21426,0.30799,0.11707,0.66564,0.03306,0.61609,0.6576,0.34867,0.00411,0.25823,0.836,0.836,0.45882,0.43512,0.42642,0.16025,0.17944,0.452,0.61562,0.41975,0.0,0.603461222,0.7345
01/01/2015 04:00,4,0.71,0.23057,0.7375,0.22399,0.57992,0.06922,0.15346,0.24839,0.40787,0.34298,0.6447,0.19246,0.31812,0.11731,0.67405,0.03115,0.63163,0.65378,0.38928,0.0082,0.28333,0.769,0.769,0.43328,0.43616,0.42992,0.14573,0.15582,0.4358,0.64267,0.37945,0.0,0.584644508,0.71
01/01/2015 05:00,5,0.669,0.2715,0.698,0.23845,0.56481,0.06161,0.15486,0.25012,0.41516,0.39107,0.65287,0.17542,0.33549,0.11656,0.6856,0.02981,0.66197,0.63475,0.44153,0.01083,0.3161,0.678,0.678,0.42954,0.43773,0.43492,0.14302,0.13537,0.409,0.65494,0.3809,0.00035,0.576496993,0.669
01/01/2015 06:00,6,0.6685,0.30139,0.661,0.27062,0.52912,0.07043,0.15723,0.25598,0.42552,0.43205,0.67436,0.1536,0.35112,0.12688,0.70247,0.03271,0.69806,0.60088,0.48399,0.01455,0.35463,0.586,0.586,0.45023,0.43329,0.44623,0.14943,0.12492,0.3678,0.66173,0.37727,0.00319,0.579383982,0.6685
01/01/2015 07:00,7,0.623,0.30736,0.602,0.29544,0.49241,0.05534,0.15341,0.26442,0.4438,0.46615,0.6877,0.14648,0.36472,0.1487,0.71598,0.03231,0.71479,0.55576,0.51678,0.02136,0.37749,0.454,0.454,0.47145,0.42659,0.45829,0.15379,0.10882,0.3168,0.68069,0.36855,0.00319,0.606033555,0.623
01/01/2015 08:00,8,0.573,0.25891,0.523,0.31824,0.46425,0.03129,0.14597,0.27667,0.45003,0.4952,0.69093,0.12512,0.36781,0.17142,0.70904,0.0231,0.72499,0.51771,0.54906,0.02619,0.40039,0.303,0.303,0.49235,0.42969,0.46387,0.15562,0.07645,0.2625,0.70449,0.29158,0.00248,0.646072175,0.573
01/01/2015 09:00,9,0.558,0.20947,0.448,0.32542,0.44944,0.00107,0.13484,0.29628,0.45954,0.51836,0.69964,0.07278,0.36121,0.16469,0.66938,0.01838,0.72655,0.51749,0.56406,0.02595,0.41316,0.195,0.195,0.51697,0.44281,0.47932,0.11032,0.06375,0.2363,0.74821,0.20443,0.00071,0.684788857,0.558
