hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,95.20442974343577,158.1276317517542,136.07180327977605,252.38264938279815,137.61853174864456,361.558806451428,289.18063353860913,71.73252180183235,289.498761643447,151.74763333869896,285.0529003073646,168.41377893860448,129.00884904286582,124.98367329262989,0.0,0.0,133.2706102609886,163.88989265304318,255.86418054439753,108.12974310526806,10.690358570460262,0.0,170.2943186993672,4.961807615700607,231.04688054311987,0.0,56.08322948446634,258.75443009776546,76.46718979167952,85.85302094086053,107.90597330554422,186.36663257385197,11.671368209307019,165.58723356203734,108.30196839353383,89.19034994830754,0.0,211.00111071099343,16.270022395619407,35.16912965575255,191.0884344648502,73.02655695620037,240.41422432466726,193.12363025950395,144.8757361966874,255.35920688728316,39.510315452455444,70.03856956862559,138.08812968126387,31.89922257962624,0.0,147.23051502697592,93.97983231850043,67.08598458869062,0.0,0.0,0.0,0.0,169.63002625963438,260.36373700710743,0.0,0.0,21.448408565692162,3.131588864477436,96.59259260483977,95.93506748095133,94.07089392494969,133.83412839987872,65.40373103542726,16.725922215676846,37.3047377610094,10.958396314964801,95.67571523644146,211.59093800194927,124.1945124731269,5.392625115954985,221.50603331584665,0.0,143.34422119835673,47.36843428183355,38.565429999557644,58.060836923549424,0.0,151.45684063412506,51.37785555266624,230.3501755479901,128.73226710821396,0.0,52.97153276321496,120.73901056942165,0.0,187.78568051303478,112.85077802313609,139.9692774610938,90.9757894677063,169.33965296661944,14.219670038038359,12.012374231877175,70.15855603240402,170.90054664364823
7,622.8094292323117,217.8993120405902,326.3316915301888,319.7505859403108,241.28911789473005,560.6986139924554,521.6835774693105,241.43804769010399,806.486128789991,1288.2767855740426,673.6483587130623,314.87295376783885,85.66380976889297,803.9061708200021,627.0137245825349,571.4582848531577,1017.6966234694291,415.7979785639926,670.8408685203498,435.674334733572,805.7594385227543,792.8712193534543,551.2076192240503,611.7218803499892,804.3272402533826,377.78739730084646,764.501775321223,580.5363937445759,674.422313322734,709.3290905678509,653.9211290591738,624.6953547588834,622.5948926198957,829.6101316934773,624.5951680011217,575.7905360438814,664.4394744347959,285.79566664774785,907.4165653420714,619.2104561982546,242.20288580379417,642.2785472477785,418.3672513455004,799.0157110003415,654.6526350224665,714.994430180518,1221.4659860644515,807.4845709576256,982.621927554843,1185.1245890971804,289.4912493813678,483.373746336807,747.3550368856633,936.1564301017723,303.17877617711724,769.7095263820665,476.0879229024006,1007.1906943199886,822.1287906075794,305.0745553914887,652.8229876649443,697.1673781234433,545.6497382464461,966.849072143368,735.3685360693075,477.2135268741222,696.7695270129178,843.9241040938631,518.7037851295543,808.7584723001928,740.7070320836643,355.6690755643126,617.5497017161455,644.1290190007304,812.4758097022695,740.5671610010705,603.8801261969047,525.3482837000355,675.1829397830951,380.6534621045622,711.396462053703,382.32763892275915,481.7454132946473,429.85479646743806,485.1382192805545,672.6142283085549,822.5073257353006,219.60478850594023,322.30795081018977,887.7622694482443,480.6572112619397,823.0840905647043,910.1557355903365,855.7856742370805,1060.6729938460776,559.656298773746,870.5755089774424,148.09231750383776,576.4906645724744,194.4640258060781
8,589.6732999682724,656.3962961977454,1512.6331026108369,1005.8516567367874,1523.3658797135654,1431.3953585831769,1279.5334941305887,1819.8853961571424,1422.826877809282,1519.2713684869561,1322.9146150063582,1471.9888915980955,203.40061822542475,2855.7481598303566,721.1977743614631,1483.6781097485157,1537.5537728469199,1968.525616436034,1170.3696038199782,1680.909462875163,1761.4205310394707,898.1212361509444,1855.4384452085137,146.04544583720644,705.9683052465404,819.688499035118,867.1900775037948,1861.2176963560537,534.1618542373944,1809.8828432229147,406.85737154297874,740.1953736146863,1290.8877147235296,1446.6143713844585,2120.550126571138,974.0993321486711,1375.1686617218918,1068.463628693298,1819.1372989704487,1117.9370757759652,1750.1318703606494,2201.3642717267653,1070.0506768554542,964.5524161906268,771.1975686159818,1909.5940509504544,982.9587530673605,1732.9385966128257,305.69107029168106,883.6289899487999,1422.0528142044188,1862.7155738204606,1881.7475708410147,914.9255017344097,1809.3756939197265,1331.7777872453128,1532.8325236213263,1340.9994725521713,1405.0885440277414,1621.7987391325162,1751.11768582093,1170.0420332149877,1111.0828803139116,1793.6841482398543,1309.147588476463,1022.1159537948803,2015.9732107094787,1653.050011742299,886.5404030327982,2191.5868644584334,870.1541354008011,1214.8117872821724,1320.0508218267096,1408.2621840828567,1927.6494142102952,1700.566007294463,975.5894939204518,2322.956348100886,1693.646101115024,1712.8242072082016,512.5311972802306,1491.643361314496,251.2771702967068,893.7517148462325,665.9064210709835,1495.0937632640403,1387.7386731959364,1390.1028442494262,1040.399821088051,2234.6146119224063,1961.1608957436956,2470.873399457998,1318.2157399368666,828.3153171794951,1258.9510513328767,1057.4601917089462,1043.0810494244145,1289.655384195437,1426.2505541762025,1696.4111002193265
9,887.8686446974796,1167.6641917596066,308.7500704682585,638.9917461788523,939.5806133714607,416.0485860368193,1969.5880309596655,1013.859403702552,1158.8662212006643,730.4306465931556,799.2029751250489,411.46389903836155,1494.2518497735791,1298.6264029453673,859.0309582928005,1031.0186986711255,1380.4710536296814,1265.924307533451,1166.2976814655412,1486.7541067820746,2039.2386862973192,887.6609817507882,567.0203624333744,1111.5260843458182,1518.987144726816,1973.2468051367416,953.1201721786288,0.0,1070.2863257192867,1096.798289009422,1229.4439411923508,1332.2533393858516,960.6956609562413,639.513539910989,755.8312432410037,283.4312152404975,902.7303825075461,1140.9745344184203,1675.7810731665054,1519.2954288242613,1102.6074883026251,538.3036956699264,751.2787842292079,0.0,0.0,111.98108306616223,915.6454586644023,1356.6017098636637,1316.4587287170218,401.0134248824746,840.4538778015415,1055.3299783136658,644.0289536882578,1491.033582414776,545.6771373297315,0.0,1632.9649994482807,1744.6942535895028,1710.814221204839,1334.6254634274642,1364.0738400815687,985.2422220162423,1294.094584657809,1604.7987345051688,257.06889214979856,1229.7587044320098,1177.7013000361947,1338.0861098339665,1548.0093725530492,1500.0870940589784,236.09094472806248,1797.8570143552447,1284.1189657783386,1202.3841550038244,283.48111203615645,1528.5340607877738,1169.1454276063623,268.39789106359945,287.20019610215695,1347.6461237113688,1619.2774791801007,1350.3073440825085,1317.1590319657378,1373.966867714714,953.3119570764225,1951.6313176233166,1531.1522599586272,780.9545262122767,1758.5703996514485,754.93664289516,974.560448915887,0.0,978.6966564873976,1638.0287479136064,2065.650096784747,811.4760942806037,783.3807971904212,1174.908751214462,1168.0517709661833,1107.9269775668586
