hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.531321727889331,6.181339682156198,0.0,4.472096140058771,9.23197918569523,0.0,10.611376323965281,0.0,9.878732517125297,8.528693649687355,0.6523746800876207,5.6982168639300745,0.0,10.852545313865098,0.0,0.0,0.0,2.929006122016754,0.0,8.488591661234112,0.7749816092376007,0.0,8.374206003899474,0.0,0.0,11.733947962533476,0.0,5.0760602391603715,0.0,2.2420309787010946,4.896316491576442,0.0,6.220136412370204,0.44124245548432445,8.838178212606477,1.3572078264906524,1.478331572985988,0.0,0.5769969990255763,3.9628712740521066,7.079893187082085,2.111243662749553,0.0,0.0,0.0,12.29578703794116,0.0,0.21845705758108153,0.0,11.006649995193563,2.727752399728397,3.119389755307943,0.0,20.27246198431915,2.8614856709588645,0.76597789749157,0.0,3.9033133311954304,0.0,3.900483249675647,0.0,6.975452988600125,3.3857976784406385,0.0,8.038687307950113,0.0,1.6373058889424976,0.0,0.0,0.0,0.0,3.7807530461824395,0.0,0.0,8.833155806174936,0.0,0.0,0.0,0.0,0.0,4.039778463634997,1.6986999283316122,0.0,2.347947951527879,5.063469994096196,0.0,0.0,11.71046078719193,0.0,7.088298424804711,0.0,0.0,0.0,3.01160202672859,4.159606085268164,2.1333994520556505,0.0,3.08266663323911,0.0671564802416886,0.0
5,44.213061952156266,62.11432191086194,17.06353284704688,2.782193487610897,43.75134399461264,34.16647948962106,0.47475893115320034,84.85789202137536,63.92987474101926,0.0,36.416553037000604,56.246716762069894,61.63747078271892,0.0,0.0,18.770526055854127,7.482854981580047,0.0,49.00917302882462,55.149741199590515,17.962116975413764,63.406055413123816,93.46920095433362,41.29239210940935,28.789578879494556,61.34257309811507,36.72397075046443,29.2981407191305,29.50041325393428,4.25025039502405,63.7951195078294,0.0,1.1955815680599464,0.0,35.93993556188842,0.0,16.242836098041643,61.28340970994231,92.08276803930627,49.76559749684504,0.0,32.73592119330006,0.0,0.0,25.2249631780697,0.0,48.274214100330504,16.18548878827706,34.11405253839899,52.01682364306972,78.27412847777643,71.5072767696528,7.574651437076405,35.51890519477942,36.0617967913926,83.26600358574665,25.265877257526835,45.61918763719416,78.53423442139817,57.939972787107116,33.53147357989818,17.155457559678624,27.248157547290443,0.0,24.228955548451875,38.418463701753616,52.0918788651697,54.02600604951437,20.20670289179903,25.58491936979775,61.71272510579755,38.070791448673575,0.0,80.23988760505489,49.513511957123995,18.388407991991762,45.907792336277076,30.50885519051285,82.90053852320975,31.387706444577447,54.28457604447519,17.291664022128845,14.539868601335346,74.09174107001874,40.208426108433684,24.418704042581645,9.97702837245611,52.23275698762242,55.15243667321569,24.503309079514963,10.059687413898155,0.0,0.0,0.0,37.68826730110795,0.0,25.5162485980367,35.68120268859053,0.0,33.96933826166645
6,118.14595227386695,123.46948492572179,27.883171996856447,105.04391519258434,213.75777811444306,113.98064408824466,9.37710818022957,0.0,242.74575139644102,213.75666785077934,0.0,54.66858640833648,0.0,0.0,166.70397113210458,270.25079365596804,30.806742737943505,0.0,166.20733532622728,32.03416337418558,59.77552935819914,0.0,76.55469561337148,84.99951179124565,61.52285696183012,45.47337310250211,151.6359279135462,0.0,2.8195096346476802,160.00685586243924,33.473356885942295,216.10267711928293,222.6081286321739,0.0,0.0,54.370625456811496,81.18428330448579,137.12325821995063,243.05361378445926,49.46431640688742,59.19687694869524,52.62394211296693,126.34781616923063,195.4634325927983,40.78063237698979,20.53734557096687,55.497869274317615,91.21344115406913,0.0,0.0,0.0,29.132812373912262,14.315835361173939,0.9072070621336579,287.48505830531076,0.0,48.13330705684828,166.6175859753368,121.52277004289127,0.0,210.71771883605052,45.787259335003355,33.533344331298245,0.0,19.894473533114798,0.0,0.0,175.12343109607485,2.868951830793918,255.95319044011822,89.7642978283823,208.9110008716221,0.0,143.43464377973854,47.63584864180105,45.93466854617633,0.0,8.407154662993612,118.24276181509876,243.07250450903547,102.90904151464161,40.14169443609467,65.46506114185499,64.79996442038393,12.430661658995234,7.882567635406325,86.100593733466,52.2493899236847,26.164654252540732,97.68199050694082,292.0472527406059,19.486750116729382,0.0,193.21459285729728,20.207506980601217,45.925362137057874,26.565910592377307,53.3171350033155,0.0,76.7961758480374
7,71.67592246521772,85.24666187260868,280.7348543958789,174.74553213032647,0.0,0.0,169.52294016006076,81.3835383506019,89.8494168892197,0.0,7.337098698719515,46.31535184993706,157.92040047371393,298.7920609503314,303.13431932311,0.0,133.5599491989761,133.06141128968852,0.0,321.8364682089258,433.979158703356,64.623469764086,404.49137967159254,0.0,292.84707263248885,120.56782121229489,0.0,49.337180176315485,0.0,415.2759348447921,0.0,42.79987638890903,225.82673428083956,178.5664415610048,261.7162793355743,0.0,93.81827810837477,136.46720034145994,77.91465279158214,0.0,54.67834898176001,0.0,313.182605961963,0.0,0.0,107.42153084061665,3.0945114260103566,37.59527294666424,104.64083344892177,168.07558450755894,35.114375120349465,174.4671928539785,0.0,211.7488271899362,0.010898015179677145,160.43715095436545,58.67945451898207,80.58680898336968,258.4194625963078,392.2156014029722,0.0,206.20965914907404,0.0,0.0,251.8561006207979,147.46564392959618,152.8939831681782,0.0,0.0,240.55901513526834,79.30974072237348,0.0,0.0,0.0,0.0,0.0,0.0,279.51511941527707,181.56266115611493,66.02055783293702,0.0,112.30210417434608,0.0,83.14682432523139,0.0,368.5921913741503,0.0,0.0,9.532543751514055,60.54441773497626,0.0,130.68626269342383,319.48435817020345,288.46024523484346,216.56560480737159,0.0,137.76814332339222,89.72561981407665,336.47101666601776,0.0
8,68.71581888475474,393.9001648831881,0.0,300.02440906565545,143.00250088261544,0.0,139.21103101940852,6.543365100826435,41.172403479204874,349.788506777859,163.11070350345392,343.2137767782275,355.7395973598813,141.30896274529294,109.33919612147699,0.0,124.3004652825766,77.83392933261337,40.817759732752506,62.08050927751334,0.0,205.8448273523657,39.754212213327506,0.0,338.62962614232356,85.08228170412619,44.70168910998399,18.41801876055561,88.15244541639481,0.0,214.29272719101152,251.61068006881868,114.50970063519117,0.0,0.0,78.38778107799075,231.15101789693455,0.0,89.8736017535226,164.53385767399274,279.9011254345023,203.21731996381885,0.0,0.0,294.61146240369715,0.0,82.25683837004048,176.8536333455857,484.5066057676716,385.80103695720936,0.0,62.85777243333406,157.27272332238158,115.20484605374301,157.73345215959932,135.88802455041326,336.3002968426796,0.0,165.0218835610624,29.78234356723482,22.000058314015433,186.10494055249714,208.52931544156252,243.17340027453338,66.80447825794937,70.25336219150354,45.00893645980152,368.12698472246086,137.2697933917416,289.8901663068416,428.5072323652458,263.6347317996759,0.0,237.46492120992372,0.0,374.90484522674444,0.0,147.26441302708986,522.9118513231064,41.08822730061402,637.9893061322869,339.176317323132,219.59981800338943,78.77151587633384,0.0,418.1878360064022,149.3100275412494,143.82432745699418,32.91572311916751,36.27423832979585,248.06639763056245,355.2919399020533,547.7680433721989,488.74765760437634,71.70321954199586,71.49581631993618,424.38298371524576,427.95882565946073,221.0652856615385,61.67743150228344
9,0.0,512.0530313422888,116.95882467917893,144.18509610733093,150.17807718466625,300.7740001297766,178.01686746335116,242.29818730273598,0.0,72.14652654970378,42.71860442160542,0.0,529.0021687439807,18.078249808693414,188.01519963199598,312.2367616888776,44.21870326742376,303.1824375482753,149.205431991994,102.05791903934428,64.99379816622131,176.43712586090535,0.0,0.0,140.25580144264956,0.0,180.86470786715947,315.947150610843,152.94144683313962,0.0,201.32371070314244,346.0876754861953,1.1249716003376307,174.5605830063061,274.005593592471,0.0,0.0,0.0,334.2948020200316,264.52760978507627,435.32027531418476,0.0,372.42716740742026,36.904501620221566,132.5569352904648,505.64768622746374,196.89600526352825,274.2520256667416,576.8109756154965,87.05375094985222,265.6646081651291,161.73601989579862,0.0,76.13190027434575,243.35671236409442,34.7244874986861,295.30999159742,86.23971972831659,0.0,384.46759463412536,321.2385875529134,27.664416810893925,233.11375909644215,182.89328595230444,0.0,0.0,0.0,540.0307374399056,734.5804936449258,0.0,109.67475215204199,368.6032858609442,236.53831817539844,0.0,117.51171250968848,402.124238842154,435.6487146444921,275.84337543575043,130.14335697937267,0.0,127.02452632995292,455.2817286581068,100.60836615649988,412.9358194533039,323.65343194247623,199.44748047932828,222.9232553562406,145.4148740341555,30.69880813029951,0.0,186.87349655612454,0.0,122.17643724513138,0.0,313.9668038930215,337.93926814503976,442.3159967950469,351.3103620476889,294.52754063679777,0.0
