hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,105.46058470767076,18.435695797548288,11.015504564398846,68.60598673273485,51.28473699781385,58.32137891362191,40.16465600688902,0.0,44.53722433794771,22.032672289858443,62.90786640782217,46.99747513028288,71.9090259972954,46.65813173194892,39.15772455723786,59.90079961474136,50.095534972634184,0.0,31.610930252171393,104.8524738479224,0.0,37.98137128157319,59.51545739794939,50.00257239368307,40.526332350413696,72.94928181139068,24.84309630667229,57.629827064003315,13.262126186864627,49.205407250279656,26.201862110734854,83.1146309086155,45.899761860113614,123.36249813127834,66.11672990345646,112.54560122025472,6.891264744799749,13.486316222270801,34.73953962585997,37.304434260753865,59.70942704577884,58.419258293935926,68.84223750623744,3.772057379928995,62.71808843438216,40.145149909859555,52.71051684759908,59.68996702279184,0.0,18.937771385160318,56.18337917535159,80.63816327913861,33.89128377798114,30.295282518085237,15.870217714541816,76.23488285222157,22.497237507257566,91.55404106505782,53.23158856620157,44.71395841150897,35.98579524895781,27.147014658680146,38.116157099139485,18.98611673763185,47.35014991775453,64.09562282173616,22.905835339522152,49.16909743335822,77.29522006287951,0.0,16.337429674243854,37.03360775692268,66.86348647137686,35.49492525414159,30.219423233026728,88.89508173581402,12.273242456918624,57.46012461592741,43.44925152248975,46.12205476836031,83.06083921466708,73.28809869066315,57.579535666967935,80.06712668372123,14.475076608069834,15.524486750206911,61.64213508348492,55.2151365774594,61.85563333191918,59.59332553428648,9.902395640654788,23.526034065887785,45.293354152139955,39.02020214960668,40.33001060501111,69.72781073583228,48.91419347924011,79.96120696251154,64.73888054102521,27.503807121736557
7,110.19722967399794,39.788025668988325,61.82386713929529,72.18028568314,58.14402467840529,43.41313927299166,281.76690425562174,165.25057372135558,58.649874282813585,181.70614223003884,180.23588225675786,187.300106992245,117.35907958511794,70.07464365724147,259.6777914733099,4.696605059844558,150.24531235602032,147.53959555430367,23.16424543591431,164.71376922662375,146.74803856459414,185.11520846354347,131.18175852689333,130.24508842832543,142.28952737753386,147.91867428819907,287.5781214304652,122.19237576527624,128.88839038846967,91.49751095572984,49.60064932214367,154.36894845337315,258.3434645216521,292.6513807548847,80.43050734120033,132.00410144979742,149.87259946254142,132.50820774250354,77.14051246405623,146.40503564668708,161.54747108853127,48.70555424525979,4.039811406686155,173.14686590684113,101.4269199559546,174.5189629736108,116.41748637535264,134.08231144474024,141.47952371663257,226.3785315994079,0.0,288.3448376119753,207.51090573905793,147.13024836324746,170.96122925820492,97.29742345938203,0.0,202.33721217122564,84.6488493531038,247.81481944715784,126.21551768919397,79.0876920086804,192.45111937987932,98.26280838505646,144.0239542279088,171.41219624198004,249.96726169906322,381.3524007283102,58.811665457783434,285.39557157782383,127.6446843607255,243.1209380561965,229.6878414268587,92.58439282313839,104.76855452458425,229.40225754259308,42.629417098007295,151.96860152440033,110.89099947645904,198.51034176799538,265.3145677997935,174.2624767032658,138.05502911918327,74.12941183560281,145.88069666927316,104.73840248149048,145.88562235663218,109.0760053821802,112.6333140343472,138.79328493273147,151.0825506024218,217.37623851335388,149.6778801285285,130.88697976436987,177.99446081379392,88.44836819542961,157.27761161869296,158.6893351154836,58.4144824082025,198.0360595545194
8,0.0,241.05569225167756,333.02877900512425,327.8702892279482,198.4093715778948,244.52669482402123,58.783600560525144,205.9266101968059,204.7051958524103,277.7536329275705,216.7371972034797,342.48631423597095,396.6292359492099,91.04990042883429,0.0,242.75788395359348,311.4825767653723,139.18863718957476,224.68970828133453,321.42065587563053,202.3359519166957,189.77756261031385,109.79579986909802,174.20735321043367,299.03069064983924,205.99851444885678,229.45488918454,243.09397963364583,420.1097893764422,236.5977280169537,213.68301820898682,50.66305488858501,270.4406099845805,27.502877204245095,195.7650470393431,199.6780164729339,204.85992604019918,263.5068576938488,215.73950445933846,293.75731332840655,200.90428639697464,370.82423912329034,371.06951339552074,498.93563650327246,125.02050291962759,339.4556231758157,0.0,176.63965684286234,280.4511660059858,127.09659194985075,137.62772451221082,357.20478345778065,219.23063197668282,204.804619592671,161.51105970598243,196.02127748328553,292.37550243811205,237.44630711669885,78.98614550376331,228.23349507258513,167.8959807474272,70.84123481251362,349.6837515884427,281.1391068772915,230.73759143964307,251.63229636164738,25.93875133597959,234.93666486876245,262.32044540096155,366.95166474549944,157.34783735439783,232.2219664287394,154.0182372263302,149.93305182658614,123.91313023645152,398.9796179519216,383.19341099399855,113.57723001027072,216.07813463671,160.249468129152,198.384029871267,249.81446139998923,442.00208611882806,216.68119489091228,126.43956538356669,303.7033566686845,274.1698592480405,203.79341947392177,169.8556960056655,51.40077138044256,271.7791525418256,142.35846428073668,64.11120161075036,317.60724677500184,243.0128689578081,146.80707469910737,313.0759392073918,212.67565717397528,311.4461257260871,149.72876177115398
9,92.99585269775554,188.5872758388725,215.23616704206873,374.7700486471281,310.751265499169,334.1837376337362,156.9563164695364,317.688665613431,353.4953094548239,244.92056350040215,225.69526647157042,256.86997494510666,159.74232681503545,108.40288580875486,419.4157575799775,455.5277346140181,131.18978047680991,51.43735749343398,302.79263535818507,191.40471072319014,357.34491054699504,524.4107068670942,273.78337402713316,114.01236125289674,241.73776025897345,226.7031244745808,150.36567735919112,252.0947065759513,399.85004436056545,180.22525418421102,158.78655289481733,129.89415140134355,276.6902036087047,386.696975557174,333.0376470722215,118.64252550445912,303.7059517755083,73.35767645235237,160.4665339742167,433.33558306826393,374.0797107604386,169.28009411199082,290.94842156476534,276.1500290529049,150.48701057245938,85.81218223273532,49.244122757205616,274.8051228861848,283.66571188827277,239.60108567472582,218.53400010293154,382.6723426473977,374.05239028211935,455.35688891072664,258.7939072696491,0.0,286.51720215048823,505.8490156465484,138.42246339926288,265.9077431958539,162.7010097543975,346.6629783862639,262.18241915109263,226.94064005516532,415.21108066520435,377.1220897176743,481.03882220483524,128.02716926700185,334.7836709949618,164.47379849665583,346.9505835325408,230.6397689201828,310.79417617069214,276.52283599634563,362.1015037419734,396.44469551169516,238.32569752934063,24.875421468156162,463.3709020435111,0.0,201.72596522982923,0.0,326.4973105406145,128.73467154740467,286.23564470438106,56.47278849867132,335.04936522817707,266.0379618483217,282.36032430553365,304.0264345886331,392.66298356535293,299.5823833855967,354.6201327921027,469.6531700350214,237.3455472130414,300.6412728368169,524.8985969894832,55.13081689746747,252.5392534758118,392.2197495826346
