hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,43.22940936277713,97.14063168874705,57.159535353992624,48.837421375026935,1.6232958621058433,65.22499075650472,23.7572250851863,5.807769089427545,31.373082210019767,0.0,0.0,17.558848903522133,89.27997066635339,0.0,0.0,83.35077359096468,26.578159814846,0.0,0.0,0.0,0.0,0.0,0.0,26.010487036842456,8.586046295127321,57.179089185603004,22.88532082469133,16.626589874497746,9.098503684202967,0.0,0.0,0.0,0.0,1.8454972727860461,0.0,92.16287787317117,2.165604162144188,53.45723660818278,7.911536439606129,48.83656597464271,12.280861189037346,0.0,29.147026273066487,0.7237528082474878,0.0,42.21986855059012,0.0,13.031858754734705,50.35621605102764,0.0,25.363299043338262,56.76522740599619,11.069331699004168,18.673842121325727,85.26471639712415,6.437533643044784,0.0,0.0,3.541849915625294,0.0,32.524974982765315,0.0,57.488199138582324,35.81775273570575,41.40384894820562,79.9859783018446,0.0,43.81350815656009,0.0,34.337685634252246,0.0,0.0,0.0,52.340603300381645,0.0,0.0,0.0,57.27105599991177,0.0,0.0,3.283595056991448,0.0,0.0,20.14553987119112,63.58944291259247,80.66933512026864,0.0,0.0,7.291742318000207,0.0,0.0,119.39575213885973,119.0176287200535,19.302070698738216,51.41643093796638,11.775747906581,0.0,0.0,5.71761211198999
6,224.92614051161766,166.97236275331326,295.81508694593896,261.4550481502674,85.64387701997173,331.5653165612355,452.594838122076,0.2013476866601991,85.14064893226896,151.20154067574072,176.5947265904827,0.0,374.34099833044576,378.80139682575646,222.08480154461176,479.11204599352527,328.83715179711515,214.76339425493265,443.23695321055345,161.6987995089404,305.6788935274568,72.86496059596772,334.15936552677977,251.29742086724187,136.87049230336282,351.9429656504101,149.971728789384,364.8344347943071,259.52574051309745,190.27000308058481,228.8728656169977,265.8310992523486,146.34493312781416,10.509784322663052,170.2107780050287,296.846371818012,0.0,301.30905305710905,107.55537142996344,185.56528939375306,369.19516835156674,119.09660951004771,171.58462983844785,293.3691915374924,371.6926518751992,41.368476869106985,428.20752959194436,193.04547916103036,117.59787774377229,142.07131492126177,463.59515383358666,37.4244802164053,215.58253971217252,0.0,228.1309338528629,43.61522562808281,64.95330868128929,149.26376491342538,207.97597951805102,170.23590530694838,49.00775889445441,599.9215987075592,469.8876783540645,275.42621573642145,56.067147224307746,281.59557742216566,308.4558602602062,233.80932056343482,272.75792935072957,470.6744757770057,369.0614677933995,156.5580179684609,167.09214839444726,375.7864290041624,133.23308337315962,350.8225181194982,118.83963993848353,373.414003980644,52.848720438637855,418.30828627926275,174.16290990673113,159.6120216169118,41.05861608016451,327.7644853566595,359.9187847591172,408.8406214615744,227.1544768392388,314.7662329122695,255.70411161030535,31.610618931567785,211.9948677608128,226.2921747728165,149.8227136771835,368.89350585475785,110.0212501047055,159.1700522146101,143.22564465868066,394.0271662523987,209.3168896101139,405.65958070662805
7,422.8461048312794,59.509561616678695,976.1776862353913,0.0,646.9138699974494,786.646864461002,658.5750299203037,0.0,368.0494341573425,79.34314723896671,547.9306880832352,783.2593554071527,458.6319494782026,282.16015041445155,280.3564848532594,841.4568628906734,742.3233452158902,574.5076228499283,675.7225630797818,81.54749472497286,58.53700391519345,801.5521899930045,472.88421845127874,1010.6022339957411,497.7169316240052,468.8254287725969,206.0994333349323,756.7222457056916,529.9996994339023,235.03324290798616,270.8454214004553,908.6278009132675,0.0,689.1838503938927,902.6819251158729,822.4329467234174,470.4284571520659,1247.8987110345347,78.68290031619392,184.35992175563598,254.77845556549914,71.7245958668284,1067.1627516044832,708.1976266446513,495.2982245090825,633.5053048961028,0.0,675.6723078577128,884.6569423780913,398.8419600470178,0.0,648.2039690461031,667.5132333160285,601.1458848978209,1171.2686072452775,636.2058094469861,1055.1679033278535,557.2999318951671,997.0836590902896,570.3525521773545,425.65347939303524,0.0,491.58072456455824,943.3339233166812,810.4528790596818,301.18110286809065,0.0,488.8704076878771,564.2738366552468,374.92165254145283,1237.117658724126,728.8303166902331,623.6564281127277,744.3189550295165,162.08819384448788,234.87686437837993,516.8474553115227,133.16340525681392,578.5594367926147,823.3710880031097,328.25840098327626,799.6883515316943,299.3942905739902,0.0,772.2292914872403,95.96393906090549,251.75847279947024,359.850580004941,631.4124567220604,339.68176448881945,281.2989103991031,475.12922504570525,1089.3285254462414,263.5158658135369,88.89877542527648,264.60539846496397,722.3314292233679,0.0,133.55394768625217,205.24607371829296
8,1105.4243961931134,560.8258122276817,803.7876400180967,793.3627126708379,697.7259861534054,649.9871390703745,744.4724341583255,1280.4341472107326,595.6844117676453,1205.3586369063682,885.9242276606356,1332.8275316554982,603.3759923782975,940.8994108649844,642.7359015653004,1654.0582331852129,1047.8356614067704,943.1839684814496,705.3770211580297,7.129017903115141,1014.9384756982099,92.77687931807293,216.74639524228309,1116.433436030075,0.0,1222.6329667881746,831.7911771220763,470.63220190983736,903.6908655983391,470.3058343480185,188.95683894935712,695.6218408039301,188.31278506582942,1119.1168218937526,888.1063681995219,1258.2576183468482,258.0570228232717,893.1693470515409,1253.436075782995,288.21430177912686,120.33987365656606,402.2412851418585,786.6034000854406,616.0919144058947,387.34895357146706,746.2484908511574,614.378088622266,0.0,1063.539692288171,285.6201776994675,694.6433395316036,872.7643902206896,1537.5904673577336,367.2804608219091,921.094142428665,1117.8564660451416,117.54313435482572,214.5421735762929,39.041350302405135,651.4001363813411,447.1368802623757,1387.8998028840272,737.1715792477489,445.51383738088043,1043.698943007767,302.17388086801697,397.42789707123495,1170.9307767633713,817.3189716737882,735.1410982982109,563.2917837629955,41.679477813894096,738.4301054271956,1762.959900293055,1033.4601022600593,435.74252353711404,753.5258172879196,1014.0798714067141,720.5488131428908,637.8516922571795,1325.4642584089775,635.5851192528404,1097.3312678272175,1251.2155356438432,188.4649717497898,1067.8014176003685,969.8753777396228,1407.0133568568544,1464.702475242114,1287.2654379510905,320.44466630557355,643.6614932339485,620.7931202084436,477.6644269806685,0.0,1245.3960082330123,834.5238845292431,1006.0390304317998,0.0,343.62411634312696
9,893.7709147326567,639.3920457061865,850.8757705235118,1690.3505197454178,1535.7957707894448,1362.258240606313,536.6159233742014,898.3469165799663,1386.2082480679553,1145.117333991382,328.8899963362502,63.69368404131035,808.4918001235527,739.4063181188651,1375.991955757116,672.1253082813904,438.7207306181072,0.0,1309.0917610647093,0.0,1314.030990391795,363.1057139427306,980.631112474681,896.6428277011375,1105.275656213144,1133.4168399567536,185.42284356972823,593.1210830165815,615.366712548906,723.8584549510492,1090.792105594372,480.2584350478936,900.6146660188869,1230.9402619577959,1731.4503489431236,868.9586662561635,685.7483031346453,1016.4362098280606,1192.4093426750578,831.0558340920261,760.1468814536939,1115.2526038246374,578.2646365684943,544.0104491543999,1081.940740858362,548.8436175477377,1152.3316052283958,924.9373868089726,829.8711279147648,865.4126293357733,1597.2856932408986,1009.8313989885129,1625.8780894752663,793.6054135678385,1032.5806339990772,913.7453832960593,298.75581501820295,889.864385166051,920.5959193913675,1411.3404817602204,1658.176857241288,763.5299967734145,558.7621287383763,238.22955847707613,872.7765372153333,227.25782949798065,813.3152165269046,719.1247552878597,343.3884564760826,969.8184008138953,445.7087067333224,330.07530559304877,1157.8427120930385,1055.0917575071749,848.7294725377621,1557.443820099723,574.2837610407864,854.078234866278,1313.238533721396,484.6116663030853,241.0742437196019,690.3593843817866,542.102556245555,1074.2934732099473,726.8006533144289,586.736294149116,583.9448872259906,486.98430018055745,852.0135694709477,374.3359398792154,683.0772391467419,1037.6096110489007,986.2238236741559,1042.815055063159,650.3587928131677,721.3360129584121,722.483826607169,538.6321100500572,679.9029160881353,1169.219899771596
