hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10.609341612637529,0.0,8.01640827276135,0.0,0.0,27.710162435594423,20.126857392415385,0.0,0.0,37.00914795081443,3.512376172599014,5.340114523916101,0.0,0.0,0.0,7.128864075488803,0.0,0.0,0.0,0.0,13.904520272129723,3.959158746721737,0.0,0.0,13.85013901955884,0.0,6.181809030500861,1.2487207744378825,8.945526883132295,0.0,0.0,4.719954277972045,1.5249070039674626,0.0,0.0,0.0,6.712525934186079,0.0,0.0,0.0,22.252101698839642,0.0,0.0,0.0,0.21481983985990105,0.0,0.0,0.0,4.6791549131508745,2.7473444474750472,9.641913967232615,5.64179782732664,4.181294044488873,0.0,15.922923003153102,0.0,0.5819240900420606,0.0,0.0,0.0,0.0,0.5295202233752214,0.0,14.57187897065967,0.0,10.679187389903598,0.0,4.613322170183923,6.755775340592256,0.0,10.28984153380831,9.052650737443042,7.504929688677618,1.0755049510655688,8.817076994136935,0.0,0.0,5.458996696278282,0.0,0.0,0.0,11.930728959432116,14.91610780188653,0.0,0.0,3.6425950701630687,0.0,0.0,0.0,9.6806585092885,0.46478218230735713,0.0,7.352930554066112,0.0,8.449434541966825,0.0,0.0,0.0,0.0,9.543386615353052
6,79.69212555504856,60.86196464937001,0.0,36.44448811508158,98.25499503004666,79.27252983173665,0.0,81.81080664465019,46.403941800197444,70.05660500409627,76.06243148083323,0.0,8.03899172197746,86.60009071987692,48.74393117421706,0.0,82.94037571828841,1.6893850615235735,66.1518165801976,16.296147784752236,16.7324954008811,41.92704635863763,36.47791353238473,54.49652044142799,54.867838468765335,60.42616594754972,65.10490132232917,54.18062855676669,47.5172727914862,0.0,37.766645254233154,21.234106260211497,67.94304386368333,67.52710664513717,136.30963541384074,0.0,63.5616244636773,32.85729871066018,67.23153721961539,24.889834863260404,59.45909183895817,94.79007835255439,36.69299408997425,81.14360217254114,75.59504775408172,130.21738299615794,0.0,32.14834426975181,0.0,0.0,42.59147811148532,119.89257686851528,10.853511878771073,29.852873088986556,0.0,122.91553429836512,67.33168977296148,84.26024896817385,72.35658501409131,23.339615273280863,31.174127436273277,93.60087542197616,75.78684805705606,87.62937305753933,8.328397364292641,59.05315911554555,82.55662265695892,0.0,33.311861269824746,0.0,16.816838825992768,49.388419656414825,60.978967893471946,130.91885649079535,11.736145388271972,74.93055224060235,0.0,54.206664602201485,44.879559184729615,43.89019889297231,15.223832655248486,141.80848552171025,88.68133779319714,94.03216799386739,57.07132128055704,107.67854285682179,93.72838707303194,85.20162237505114,53.95845798639075,120.98735028056362,36.2707399885436,107.8289569791749,57.55541541286157,87.24177636024707,66.17911062014548,89.9392607546311,83.40320142065752,75.81008414211358,75.97743670188208,81.65140776104042
7,186.095890548621,156.0386246480254,60.823658766194,214.717233421743,140.37516641556326,391.39056984664217,160.73571842763062,176.17956071005142,388.68179197308746,336.528846833188,255.60739706084746,116.21166946188697,403.1559022435034,144.1584750156475,231.42781879677338,205.83484134154563,181.60341958235307,195.923900509412,344.4493839285109,311.6377215100064,106.90696525166976,162.2320642697073,188.5924560398454,199.5531563096222,361.2978008337278,257.3140723982535,127.9291347029357,172.79059506055654,199.30702748861123,270.4585614263208,123.80806087709759,206.07362771851584,164.04848300803036,237.28490269047265,252.44022432504676,253.33970117446492,358.73370965102106,181.08945745864582,158.70592005502908,225.8498024064388,203.81608678569765,263.66178692773883,93.91255156965391,227.64258408009923,251.74060671587944,214.4769538296829,127.84589682628231,199.14914744356324,299.32646473874564,288.6185544875115,180.90455856009407,215.2277102783619,262.39693761834815,132.85075827333918,227.32517202378222,273.4514983067256,205.1697958825153,241.48441303773507,149.03493117713393,114.30129835025822,204.28622466707293,163.7887550480091,173.97588481474767,188.05018589872068,211.48071156995871,189.38369202904184,88.82783530139946,260.5579269853909,250.36075644851144,196.6945995853197,145.26943782882074,118.27238377677769,312.72805932428065,179.14676184241563,52.482951402559536,269.2623009644516,172.33653710993414,169.61180089170176,230.70894117243003,280.0369854905228,312.46623162815774,363.8752483585429,72.73439923117994,176.22574324877067,130.45022692893986,103.46645675527901,322.03975563384523,116.23086980235391,212.50423813946435,141.1202736209801,264.27867682357845,40.01137812704755,199.92760675405395,183.7959324197391,296.3650327155072,189.31403776004845,225.915969700532,331.6638696276692,250.7639234765017,101.32591735738475
8,350.49003988352973,309.56259571660746,252.63098201974043,129.24124336416318,396.5531206517727,330.1242962466965,261.4214239579331,337.5180137095071,281.382551180208,337.9088687517815,262.9493049818052,263.0664259819133,337.85595247822295,199.0809815169402,338.1710612275344,391.1802438948323,256.10621272204025,267.12966328346516,360.9430396314797,450.7323177637122,289.196538847909,340.3675381226007,474.0712989478793,466.7252304812613,231.8444308079478,503.6237881438557,324.3728020368938,385.05076792413655,446.54937664599265,441.56574103473577,171.42856068941606,342.6651558141119,449.84287755495666,260.27131032698617,467.865872081672,181.36407402904666,206.0189559861652,449.60726825252095,401.0875679784274,362.41092729408365,429.4989074552158,225.94869145611062,301.06363850251176,280.29175729976805,160.79896142464816,167.02967449554095,324.13590550958276,392.5162449342907,46.79426040779481,368.3841242325889,404.52750556590405,309.4878635523435,425.91547541996596,424.54758413938214,119.67278349188518,413.6333905141182,389.2085464643098,318.00722909641695,332.20925945938706,350.51181223909646,340.76401968540347,207.28325075481646,321.85454580186166,362.58875901206886,400.5909603803586,220.28507632887658,496.91187135217,370.5741899768344,340.222300656722,241.22707119800623,367.0872678970437,360.37426085043586,384.0610534607398,407.4966045279991,382.09205873622966,312.55988364593543,205.37931663585567,467.41855569830307,328.45415348981385,316.9148729473489,470.0606957188535,261.63127722620834,442.80032024510695,479.64630022374365,292.46009634134145,353.35995651574666,291.86742630381787,410.575180233012,341.22652207027505,217.9653744365191,424.45369655767246,497.911763935506,183.94513079118664,411.9802835107275,299.1534600870462,179.30079956678676,199.20049695292914,146.1774336530454,314.1157891930265,311.4110962275086
9,478.84660223911123,442.2796445164388,457.2368273018154,562.1891280317986,321.2860727891399,331.3262853072966,568.4766221012593,312.650667696708,532.4471132026052,340.6773334555807,523.5860073824217,274.5061122180354,433.25183840182814,254.46857478642482,345.6761668059845,467.0026412649632,372.2469869699461,285.7484402786348,492.452374066402,536.2417718750492,410.5611435873467,454.6343140872276,519.9368341643706,609.655235863004,418.4664252507441,520.8876075986876,454.82375418517233,437.35591291558455,358.6723510081265,320.4918389915939,419.08826326808327,440.05191187211295,357.321603201809,369.232940117525,149.59355114167755,415.67374842236245,402.29747585318563,397.94102171744777,177.10043996066202,452.40415197998277,658.8902456690591,401.6124535756702,490.6029049019972,524.3453763585107,655.1283869335444,451.6415560752321,374.15837479850245,126.75552611558146,307.7384399777709,288.1842941144754,251.66702088154943,584.809816758098,374.7360712903256,414.7595268350632,665.553322775204,423.85134436248524,320.6952304847313,636.6318743095775,491.1190285023538,412.23749258325375,316.8351453738402,329.49886538342946,501.01558188197845,497.1980066866871,450.1518789376283,447.9438186568169,218.5493123687807,284.68654702737825,315.9563412919116,558.82505421445,343.37362493487126,303.8933791217587,106.15829556624891,347.50155557373387,247.68045969107274,232.91512242917847,120.86341535699785,695.433242573429,424.06507636330514,13.45285927347095,211.47229870367724,492.5744672552113,501.8775825376938,346.71157086310956,432.53556971589165,384.22442016290364,256.4293626006788,380.41745418447357,409.03344229766026,458.78988919668734,324.94171119285886,663.5004496289883,734.9705360198259,365.95965641677617,499.55118271280514,247.90936305344934,459.77699368172273,327.57204444242336,326.6867760155091,294.4941503445326
