hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.22749081140270241,0.47821364328883453,0.0,0.0,0.5078603509046516,0.3951392417948605,0.0,0.29399310959732394,0.41981855282832,0.03040201219593497,0.09324151236499748,0.30799463004014216,0.07766890356947212,0.0,0.6345405197766663,0.0,0.0,0.0,0.07985886157249095,0.5359916445174925,0.5624359118685336,0.026464993451176366,0.0,0.0,0.7329560695077124,0.006596772094513037,0.18245265595344345,0.0,0.2084390768958181,0.1703414911321816,0.36764049386254105,0.0,0.26107676306068994,0.81638620230433,0.31427525354959757,0.0,0.24262414647073288,0.0,0.474906141808336,0.5717072823747613,0.1097659773404083,0.1230492023107323,0.35027809029202533,0.6930296745175355,0.6349443513841768,0.24570977829562088,0.2586619882729036,0.0,0.5722351043170566,0.2795927419233556,0.0,0.0,0.0,0.45391610673856525,0.0,0.39896657858543294,0.014159748276315998,0.3636350876578265,0.0,0.2899832998097514,0.0,0.0,0.1133347273601526,0.06264867718202938,0.3714992037747324,0.7759796304564864,0.0,0.0,0.6608484166613303,0.4357096677627733,0.0,0.38172693528522894,0.20773213484905215,0.4680875016131043,0.16147140002711724,0.30622561981314317,0.23803354393049814,0.3972681908934137,0.47052406333459323,0.0,0.0,0.11335013022884932,0.42652165571784667,0.0,0.11753148334510369,0.24019135513313136,0.42323912900648986,0.22431811405244145,0.9821723757910239,0.0,0.10799114544761973,0.15416481983719887,0.3880801686726355,0.6867559190659565,0.02491150905679626,0.07845933237658811,0.34881227842575974,0.41815264189507184,0.0,0.7603116084090735
6,1.408034270207136,1.752107449104297,2.092578029028318,0.44133818132174096,0.3927191662728756,1.777968466477943,1.2003090313368947,2.009374544129853,0.21932610066977576,1.5379898066361855,1.3539213104728631,0.9919119768285614,0.7191168556780062,2.1794786116354707,2.663154370368897,1.0026725160959513,0.5021804058222914,0.8472246265777962,0.21352986876140923,1.1104290209110326,1.487648659215991,1.01624966680313,1.5415972327926524,0.6283574368418483,1.1495546876389058,0.45162607726909254,0.0,2.3469237860977774,1.6927832534727831,1.1455988194861022,1.5947467606405914,0.49463480367784973,1.8688583153475542,0.8881746106477303,0.48103049965336475,1.5112144846873141,0.862836157943644,0.11451345735125962,0.9192501191734266,0.4805617533494596,1.1001379301406025,1.3443306617984225,1.8630407436535292,1.7160412065645678,1.247346650513884,1.0333029433383998,0.3354294707973632,1.5101292422021837,1.0712892229618156,1.7811766451828555,1.453192024511042,1.2270741871390092,0.8007256746500164,1.090913065999142,1.4376451006593673,0.8288491931835609,0.7374758379325754,0.3853623584182282,2.0491717096195514,1.680280531473509,0.25677624758421036,0.7630545990859234,1.4902620818688685,0.9589405550293771,1.5195264923192804,0.0,1.6255606461414933,0.26021290523147034,0.40968208588058885,1.9233512260771497,1.270634452963346,1.4556749006544691,0.5519845531528708,2.166645308856412,0.9721854040400391,0.8510069635705233,0.48025870051533903,1.5649161360058625,0.3289653672601093,0.4457267993644569,0.6873753497189228,1.3031366983803558,1.5172895082730187,0.6751400926149593,0.5605785428263277,1.4948593624052426,0.9489114892793675,1.6795993175769088,1.090381362311106,0.6552975404282615,1.619732564279933,1.8508871254839079,1.367478390347429,0.6741163349359407,0.6022956366193937,0.5141230145291609,0.6399356283081087,0.9014340668851664,0.6459523854126689,0.7178452575066021
7,2.0686993024883193,2.433226403347116,1.3144648031613864,1.669661491127702,1.7315226246503352,0.3554786094959623,1.5253463958714222,0.3456956882089607,0.28871511060185817,1.5216947261506544,4.72026478360961,1.1742855500282794,2.0074350045715166,1.5787929784865893,0.7479436581989821,2.9081268660503294,1.0006024223603047,0.946432650792788,0.297049716691246,1.90087678008104,2.587463131280787,2.1669269437300533,0.0,1.6648891648817798,0.0,1.1337556855850526,1.3762149555612828,1.3174029953319533,0.9750112198249947,1.8748235245797096,0.0,0.6433123260220392,0.9163421194011454,1.1010882778643991,1.5861132701264806,0.0,1.2786149610321562,4.372936729625446,1.3553184254415378,1.1724702997066365,1.7756799777759151,1.4182431577804082,0.5048782177919094,0.8838021860428271,1.600901131398048,1.1996122496700452,1.6424402641906082,1.3517794501719778,0.45437002010706573,1.1897497176646332,0.5227211152989212,1.510461659354382,0.0,2.0594112099741526,2.2336252702263057,2.2511278671053514,0.9750859022082063,1.1600180831439661,2.950404411640584,0.1474689293629068,1.0062983439919517,0.9529268551816943,0.5105464660470684,1.783593146710679,2.9067189544818293,1.8015327526220442,2.301067839542534,2.9537975070319926,0.0,2.105240499444401,3.4891640145674288,1.106765762633704,0.0,0.0,1.6434037249502724,1.9431002958689843,0.50123560445752,0.8708095704777601,1.8987853980904676,3.107813748837151,0.962237850993985,0.0,2.189231937906455,1.2044132653667554,1.6939346882854203,0.34946214563458866,0.7687787468702089,0.7935483366393304,2.4690342749701895,2.0772401508886933,0.7866775078827661,0.7614146664277855,0.8239089380445606,1.8610800651137984,2.4476088595408885,0.6066281232409899,1.588524429151535,1.0217778427067452,2.616012590825153,1.1889411399398697
8,0.0,0.9049503475917638,1.9922342859686304,0.0,2.4242139554153463,1.921265110777252,0.0,2.4486597792705687,1.4067234742088788,3.373336069764007,0.3675379814186037,3.4978764380914513,1.8638499162828899,2.6718682122428916,3.231488829520499,4.657980428970759,0.0,2.3590062704499095,3.06822135566819,3.0530229611124113,1.1462576014002641,3.019224064461042,0.5005434843143219,4.064691173810147,1.9272044255226701,1.2658317581543996,1.4590186723585927,3.5357458917592757,3.134723253326238,3.8378622533029096,1.4298346493818883,0.044429477306296095,0.0,2.905930526302481,3.062185226725437,1.2585300796021701,3.118246788608376,1.2241577199848923,2.001353287654015,0.0,2.0029197907607053,2.8021795588612917,1.7388172153708794,1.6499869373248217,2.707523398930877,0.0,2.517566524769359,0.28866309594164563,2.022378457076554,1.519344904560315,1.453784039161342,1.3636705040812531,0.0,3.740082518330774,1.4766408660470518,2.6984457844510623,1.4071054764884559,1.8249274664110762,1.2315169318770183,0.4944132705717623,1.1522978153957042,0.7281542712190974,3.7688469173292294,1.1370730584011162,0.38570584963622445,1.0203123519965458,2.453107655450004,0.47093879011985074,1.2287295358312125,1.7433991242435776,1.1589053298701424,0.9930945419289019,0.8021259417740588,1.9171603826125305,1.0783048277701224,1.3753417212434886,2.769946023447795,2.239842351946777,1.0720092621742068,0.0,2.1337551351824784,2.199875402132092,1.5792559560688813,1.6333920729656997,1.5427212376507022,2.114405440673101,1.4806373482052155,2.033228837442719,2.415736828380619,1.5134062168037166,0.7640870612696358,1.0701058097864795,1.6142791241937946,0.6946860626533236,4.280354794629459,1.6967328534090178,0.8390195431674883,2.2622263000835723,0.6925973553074911,0.0
9,1.9124002168671015,5.9175527582443355,1.167406750260231,2.5176207672824304,3.0346948819787416,4.039588188804171,2.490932974819481,0.7770827160617042,3.8315947367957417,4.088879906150944,3.7918516342044493,1.5447763996789126,1.5667497212482389,0.6288341883261701,0.9234385733670876,1.5748014427835104,2.959497881987872,1.888570580770992,3.6135338430428554,5.5498489998212825,1.6410427794359574,3.315152250749797,2.772339049717739,1.4658748805203874,2.3446059154093892,0.0,0.5549193302211579,0.5412237001002969,1.9911293004033308,0.9423176112595096,2.0607163044188597,2.438127393432339,0.44319925401906457,1.5917847660574358,3.889542819215574,3.7115911811003564,1.2774253659675157,4.657646181036008,2.834624592270244,1.6979059045734695,1.0057123411719062,2.282919384409407,0.4230761062259696,1.3515324544605765,1.1171930395314433,2.844060237065864,0.0,2.5683751834775683,1.5273294109754718,1.4126228643812961,3.329005697917381,0.3893742449034332,2.068364873236198,3.853531783610319,1.2710623251777098,2.028037085337574,1.8086766618322956,1.5971052906922112,1.8917110858744641,2.5890898323929976,2.965399949411859,1.9360398899433755,1.592656382117743,1.0060117062635214,3.2734821750292684,1.4601793706717598,0.0,1.3158851001761478,2.283522829815358,0.9807262339128503,0.28632024318486216,0.08808518462396253,2.3916998357714254,3.795602725965216,1.9650649688087298,2.1890064492852113,2.150554899660607,1.143088794436496,2.361563018362103,2.494488115645086,1.395378906867009,0.9644022281341267,1.67745506325254,2.344093973187681,1.7079607017388077,2.0480805102482798,2.1656928475765294,2.5356553020759662,1.4816449969193655,0.13514444230621114,3.0162921844753425,1.308186287133876,2.678400305893928,1.668858577417681,2.546422307520547,1.848616600664525,4.097410260739583,1.8492226689434714,2.441480776851819,3.191182107412496
