hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,164.27794603966743,178.00927771690007,164.2563605221435,130.33977268854917,95.45726536891108,186.4301559390173,222.56850177530356,184.52284080848005,153.54255792689284,200.85572116360925,184.34747008004078,137.029035545259,248.81547292444077,103.00735993805156,168.3647835627026,100.80102263962996,174.7757397877312,183.68710881143798,169.23181645927002,178.46095817852637,170.96261302550576,141.78612596284245,223.72799048545426,177.24402761023447,189.65360711936106,157.14793843559107,165.59594202049274,153.10238363773192,123.11812530194226,118.83789936522248,139.09641943357252,107.1038188201284,116.87853829562135,91.00277360162174,184.90262356493017,139.80876704304444,163.47081434580318,120.18322131143617,166.27129892188418,139.4266566442829,60.37739214150331,161.26508574474605,196.08818814806287,156.64403013978554,67.45015130457372,196.28924646922113,166.27279494836662,180.72336567179843,173.59314774160856,232.7889044134718,51.96865458655398,154.36294891340282,144.02390881370138,245.22963448282854,176.3313232228866,178.4857988073155,190.33964349243774,162.59341033400003,188.16966419195552,132.7234286996916,197.3077004447834,228.12869301702057,158.3178813869494,145.7998734189054,213.2838321430513,232.45775771317102,162.56673512700235,65.05004799437759,127.51581529943401,239.93753663912918,171.46644842018944,225.5692878034349,142.33452067090275,119.74306357494342,165.7757615072586,93.9489052763111,178.02161977595057,172.9773470892347,189.57062296580537,104.46844544733958,176.30975628934885,63.932646993155075,158.60320108790705,207.846989727039,176.17293292110264,203.56281564402252,221.65705376529485,171.49698663785782,123.066127189637,172.56439333545285,134.91443693345582,173.41336087334733,78.49251777401915,172.90095540055435,140.39899429842632,164.164205131112,131.63166512198725,97.10785233627409,210.79665918913102,211.68100330271412
6,492.20519238324687,271.04559028571384,559.0944903627961,612.0015838728557,665.8958645123233,712.1397177706306,385.94001845804667,593.8939093580996,639.2421260258487,644.8874474593655,645.8438679433732,592.1043083093803,461.17925854785824,568.8914364261972,683.7787932692025,750.0854883039002,438.8052173833794,527.1722643511002,671.927871271889,520.002958240245,465.86367932739927,597.4984079136204,542.4224944435335,875.2506326834732,666.539025399413,638.9476587573574,484.56633885042703,677.0220032043021,561.4532696252851,690.8962600020136,307.9092366116831,693.7306923937133,630.106244618653,495.58382530704586,842.235117727558,585.1880634922736,496.68206821668196,540.7894263378721,565.8636552343842,440.30294449879966,502.33445831965696,608.1343130332282,391.9502350154573,561.0073984503931,493.2634600353274,683.2199159097737,342.19513461918655,710.9974648731438,488.390796492809,381.553486474852,674.9851841953822,448.47786683091215,562.7543872670841,422.06116299732935,559.0962093517953,635.1134326006137,607.0644230049884,481.1241114537206,629.5828559212904,516.2444795045308,702.3430294810855,443.8766959563362,569.3668973342315,571.7022629965662,745.8198397549452,568.7646933292779,454.65914418940963,766.2409236082135,731.5297084673502,654.3779993420123,420.25726899943265,492.8603359989618,644.5369914988127,473.3240555856353,615.9102575997601,577.5915226868052,554.6450459473693,565.0838130127416,457.49822635363205,849.4724131453905,534.2011048818871,711.4401832707028,590.3641390415422,524.9589167131538,683.1939081011708,496.6614497905613,415.0032976500852,591.6358614059995,466.66904098318446,578.5387758840773,666.3927352260878,765.7890032025696,619.4591354634574,636.5510224896371,727.9107764755511,677.911201279067,565.0065556131811,503.10363759510915,644.5976699301893,735.1132265585787
7,933.1180903355909,1084.8352145160582,519.1544491316787,783.1521985705116,604.1575499269777,719.9766521476473,1050.082488058729,919.8704357127284,921.1855798832685,945.0274784394365,1313.0075052907016,777.7448072204775,966.2658145314742,1212.478504039103,1153.889707219403,1449.7018704447773,1461.8869653570925,1088.0339375919236,1135.6238572619804,1106.1206335223824,802.3193468323386,1206.4444451811644,1206.0111000552456,981.6297724039233,1060.175894357317,889.6760697010318,979.5842626674108,723.380923616701,1010.9595270000183,791.524344477498,1319.710487144611,934.1074247785507,785.6627922385586,549.8826531644895,880.7426198760128,1140.0564240512356,884.1825080869988,826.1423127578983,1010.1329970711815,1027.2698458118114,832.8506539205929,1295.6730299974583,1395.387257771872,730.3276262612312,978.2150133558451,1000.0227503659653,1206.7068420587987,894.1504812146964,874.1630507655021,997.8708340800213,1060.5753864010212,761.6843456367073,718.5896332547096,1142.434279285496,866.9170853113301,1039.8385910052525,1051.9062409630192,859.1786196426368,937.1951877403902,927.5902608612737,966.7171416983736,859.1316524159199,1130.41213842364,962.4395503308017,995.4405892111467,1010.3094246718587,1369.0329295956244,769.1986805838515,1305.292897996005,791.8155066918896,675.1608567276835,1162.6254510634767,1137.4097616701954,1518.0717856996782,974.1945684334287,1310.0183996117967,1128.0120484209194,556.98837888017,554.0733639464303,1388.1410779387422,1148.1346165081786,1101.3292790116186,783.3425182285091,998.0558561221895,606.5148589506027,501.48612041268996,436.10495041578054,1163.6773403707937,689.5106405273689,818.3509429968261,893.6736975693957,850.7892867026239,1123.0908119511566,1433.402439192335,1087.8279473318678,906.5302285707667,974.9970419017689,1082.1078468948028,816.7666267242973,923.2730912891494
8,1064.3924635091375,1762.8117803415612,1602.1876126559198,677.7211836737716,1374.4964382187413,1465.1923813631875,951.8939209560574,1708.2267659574682,782.905085318944,886.701278831043,1447.7483301127495,1583.9902533247714,1256.4927105169556,1265.3174883810173,1000.7583087545001,1588.65440570262,1746.8467471848414,1753.7573381107452,1708.037607914948,875.9958300807284,1252.569023418425,1131.7575197312403,1319.17097364552,1267.673569205286,519.2479642091579,1444.1527743229597,1043.3168003190203,742.4030680308421,1473.4192215055534,894.5570691738797,710.0646639411744,1467.1166269428163,1494.852298171099,1382.834488256739,1485.756970435004,840.6117121747094,1390.7474332223428,658.401548182472,1071.820677947082,1056.9809072066123,1336.1375292666432,1050.6151732611988,841.0305184622279,816.4194800894195,1418.0000113655453,1365.99211460041,1355.1961636890198,1644.3151059216834,1318.912660357464,597.9409440249067,1321.963924447083,1638.6861754084164,1777.5753697708753,1660.1561841710845,1095.3619098186743,1107.3797515626031,1166.8483243790638,1713.8152147528608,754.4497453598867,1257.1684163507302,1028.3822542091207,858.9457411237639,1416.729240843726,1280.9452632084829,1426.3003781874056,1526.516485904552,1176.3576190054087,1404.9010863901192,1526.5472683120784,1224.1908048797627,1304.2546588495745,1150.7262785703338,1457.454217564506,1434.6391885685823,1138.6733425568093,1584.4091306682676,1653.593811524104,1163.944192567523,1153.79640814266,1091.2580134232344,1473.9631960951647,1543.041893418509,1449.0047564610436,1141.1409460588484,1291.8930688784026,1776.8509533511851,849.0854629987614,870.0883340194175,1827.2350390145343,1362.8170977764914,1535.6944783359727,892.5817718586497,1082.1816543321618,928.0795370744481,971.1856294645938,1695.7230370959544,1549.6408251553457,982.7719037995996,976.0250530629087,1121.3649811491007
9,1522.627242928083,1198.6648676170557,1075.0240891117053,1118.6134445086534,1362.461231299583,1755.352336769843,1422.9763652366669,1556.9109237073385,1400.0730087458332,1614.4717952373508,1525.2691002048348,2167.035150506852,953.1903952862905,1208.360615784631,1531.6771040678566,2075.6467835841986,1415.104550107737,1262.1017138935267,1865.147690553591,1070.402539612433,1309.5021692298092,1391.2089505478373,1366.9014236827045,1606.8932104142602,1253.6498302295754,1105.5811739871672,1430.9274829929536,1217.5207838387794,1298.3034858765843,1551.497641123251,1555.4218184455442,1520.6392018602398,1065.8903892533258,1575.9230356014282,1270.3159909465003,1393.4842987105446,1219.1531669637448,1195.499816248765,981.7793074975788,1519.17423647568,1489.3761707295307,1492.245117273513,1198.1342871749657,624.5444107013142,1824.6283928603339,1520.3511461046014,1164.454918602773,1331.5071537160707,1405.1341757586301,1331.869644260193,1155.0671378439324,1398.506682213625,1167.8428425398592,1585.5098209515834,1276.535920160316,1615.935684728139,1378.0137043424438,1252.1591797205638,1340.2994560580814,1790.0870238303878,1747.9694554302453,1165.9464584389734,1145.0396848424925,1880.2165890879303,1244.0834593690324,1194.6044132616767,1515.6183550746246,1508.1715820318993,1499.6306918338894,1063.5253778403553,1464.5681225842281,2155.0972138036,1365.4801639741895,1023.9392445198112,1463.760626260761,1531.2912896035443,1987.4626437932725,1225.8677061111719,1285.1055752824711,1314.892250270687,1146.6342710973074,1050.6835610290586,1526.5250032188385,1411.8458470281435,2316.2458841511,1663.0983744708024,2295.8184399743063,1346.9712021041992,1244.7957588152542,1346.470553935047,1831.1229372197747,1561.576095872064,1684.5743549343983,1313.8987471877754,941.7914528063175,1046.187284189078,1654.8016266546301,1656.6117291827,1785.5122534708137,1652.2214307309782
