hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,405.43903422144433,293.9415351319366,286.62363792849266,0.0,43.105719924134974,142.30542542730524,274.341101336627,244.661307419573,202.07312250266688,11.427855396257257,345.22744366093406,275.51477457788786,496.7108248075263,88.29607680060681,25.67233440462101,120.27328497301272,182.23607674601652,229.89699254387122,227.8266816453651,397.1670836338231,338.3678243143612,438.53527867887436,43.9747373082015,434.012383793001,0.0,581.0361073656836,328.23563916056594,421.55564706298424,239.83572165271946,360.45780081658165,269.4171934841576,241.57092821041482,144.46623663095875,222.758711955573,409.48977109515863,280.6101580343142,39.2086893417426,246.28771830053486,351.2071700401899,113.62949918843063,535.5060664789114,155.1205506404538,193.1027150897522,242.61974115495616,39.193547032721824,363.03005596436816,374.66461227313755,360.2643904654245,333.53483494635054,195.05504972623146,0.0,276.11007967734474,342.55844139714395,267.51593958089757,215.0467886361674,570.6272077172569,401.2911048994663,225.85502595494725,272.12021613417284,153.24700567618044,26.554199399333186,379.378055411578,134.17024858566427,368.8330545373182,534.3995167869136,165.69720667406736,363.76231480293814,354.188234635557,348.1889538231789,235.4687789589408,100.55078183630928,302.7132644497569,395.27990947938076,137.30338199920953,191.32396561099506,45.17542488212908,372.05805574637577,391.84167705279395,387.48340144176797,276.8183182212021,0.0,322.2105995781159,362.22596434485996,449.90858900933307,502.8030717077627,318.62257839144945,58.25076497270203,245.78376052615954,393.0818657125784,83.71166335643883,315.8412188232592,52.95536521548556,234.04492740544333,297.5621012702583,395.63504246178206,282.0923695214597,310.84164982013624,351.1517801550377,161.47671123453358,358.33765752308943
7,783.312659220999,1149.221293672595,1010.8222423173659,1161.7106001315503,1081.8110770702624,845.8124313038356,934.9373304869879,979.5248974902793,1038.383145009279,954.90369810652,1136.3632088791046,1155.0045627523318,1029.1245008130716,884.9846002228725,1076.0364743666419,1108.8042771832772,1057.8048828158137,1030.4489621869213,1059.5165299952914,738.277127467702,896.0759180186524,1315.6173434355258,1140.1967498111428,797.5413899848251,916.3804724473657,722.7979269831922,930.8590255240267,1099.623691481222,973.8995602423884,1055.6615105145127,956.167458822017,1185.888480744257,1039.8933860345337,1188.9377999173757,1248.9987069608144,1114.6438532342233,968.6343054015753,819.2227868070241,918.7815137493379,854.8669990116464,1102.2774402181774,954.3883226180579,1046.566106456566,1286.3918691662602,961.8572380609935,996.7966864912355,852.4438804884561,1106.4437261909748,885.6054312246459,904.1908383177428,1169.5857822846274,1346.5186549779391,996.14198552322,851.8980551404719,947.2595417481355,1101.3559360971096,1031.6346993068903,1251.23224673613,1039.5408220108911,1096.7548186451422,1193.2346977960106,894.6699749800307,1092.144771082156,1044.6971957168596,1080.6767690440347,941.983723077391,1024.3388380541433,853.0830966686868,1180.6575108639574,992.1457246728431,1063.5467734953504,1168.7712743267346,884.2907904207685,908.9266962674985,887.484505500734,1007.8867111059905,997.9396336132273,855.4133277079596,1149.484049341094,1256.5114266484995,1343.8005988336386,1193.7479700282588,898.5986532886349,871.9790203768594,944.6913503397026,997.4135830953302,1051.5719578617195,850.2726842296368,852.8564247462234,1159.410769217186,1025.2475648981883,1136.1016883026616,1059.804214055102,1010.6021857086116,1158.3572238885727,978.7589294828839,984.2423029636516,1285.9389807082612,923.7271480966128,739.3066554472207
8,1991.493378168605,1830.596594255827,2552.003663526427,1989.1742398785564,1791.3582864704936,2835.0445769589915,1556.0011941422558,1792.9821665847273,2120.2654851221773,2551.847178349902,2173.2248188235985,2320.6019054431686,2110.419892217221,1949.8423215009625,2017.3963015739498,2242.219799647689,2374.0862012035327,2087.035429411563,1930.648901631644,2489.2851478391212,2445.558699767149,2832.8739195343546,1829.379849113675,2102.38586561232,1955.054496527856,2691.227908346625,2308.867355383394,2201.3803926203086,2339.4711105611477,2348.3929580511876,1888.7785979733058,1985.5896658874385,1936.2554077093603,1941.8529465645418,2074.080627223332,2215.6534635930066,2514.896326644348,2314.4713265612545,1467.9401417506842,2180.8492655856467,1862.4815723353775,2490.092512543571,2427.615186965572,1610.4289293830548,2418.1632509942124,2190.9308900066108,1817.7572347877747,1609.8433879698587,2191.255840651822,2306.5308109013745,2560.626153419425,1586.6807182666278,2184.1061219837006,2154.1636687623018,2802.4651361241936,2553.8298676947993,2221.774079747538,2386.214770265567,1836.1458269351178,2428.6180821350695,2084.6605819888346,2090.405648820642,2575.4368660662713,2596.2211236488565,2022.40913490411,2499.4351368107673,1971.303191541451,2710.5396709863603,2052.5828933729576,2696.4885322503187,2623.8843163606603,2166.5841198926473,2605.914331213341,2424.148719960455,2249.1087084796113,2567.0127204880805,1649.823712046826,1416.100170369935,2242.3847019595746,2548.6637888807677,1990.1334246438523,2054.9644331649274,2571.95620262329,1863.7236214678435,2226.2770910026857,2113.9539811093996,2100.1690841482027,2140.5927684540607,2152.9652869787064,2358.6634320096755,2290.907790592575,1604.448562842248,2548.509858338565,2020.1985748961179,2483.752971468389,2180.32300871375,2207.265943036349,1474.2430985764013,2495.773618956464,2215.543096678675
9,3103.7781990058866,2025.8868480073943,1453.720355027316,3346.6508932796105,2579.911585316882,3431.0149853379894,4060.5002370384327,3541.4620136862704,2879.469258659011,2676.6204024600415,3799.9287284878815,3474.4834756861173,4004.7585966789666,2946.3434590681354,3351.0545949654756,3061.763815390738,2703.473079527765,2980.2719762137917,3770.388017088296,2440.203401497623,3374.6567193715173,2365.9519042488637,3599.0207932398935,2664.6367219964163,4008.790875213501,2437.849634880099,3572.5764341947815,1695.588984737572,2699.0016894564797,3424.7194366957065,2873.416448409756,3747.457340105458,2196.481155142453,3331.5199003065877,1518.6832352635538,1272.704996482193,3565.4008240726766,3494.1144157779613,4490.031974820847,3873.0431975701576,2569.072147810904,2130.437347805071,1996.1268764917415,2873.843201711015,3943.3447072082276,3808.0278730058358,2292.3664854891667,3403.726211211434,3417.3551983144835,2453.338553141569,4103.576967001432,3464.5949710092905,3086.786809917798,3520.64106949705,2716.5672507831,1821.208436190002,3083.9489664557486,2930.3673799993,3209.457283642453,3672.9620450646007,2785.2401491923365,2683.26598464305,2006.4484300152797,3851.651389124427,2007.9527531829117,3362.841938475246,2615.3971417175353,3532.2702579692927,3232.1254521227515,2734.0928639603003,2682.637561007855,2673.1931031318113,2339.2098359974425,2825.4501164774006,3416.68241009832,1854.0010304126415,3289.599412710894,2733.5626071156544,3335.0954871768017,3477.781594694536,1331.743971995822,3372.1981907954164,4416.67908349607,2300.584222340103,3080.1289967013468,3496.8688846331797,3626.1262814268594,2643.404532646572,2563.52888841612,2513.5026547349207,2885.1837903185374,1912.0721518264004,2962.6085515460286,2818.0524642265354,2086.077256709827,2518.4754633242137,2286.590079376627,3346.9158320424453,3571.4028961905287,3090.911418803905
