hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12760056537956296,0.1980312058209319,0.12336467893013128,0.04834894804450512,0.09517013929622001,0.29626725093564105,0.03446784645889099,0.09299326941693233,0.1944587358398,0.06719163771052383,0.0,0.23966768205315003,0.041983940374809924,0.21127337169664312,0.14264000770090335,0.0,0.002519069107741953,0.0,0.21346815966938143,0.08516241054029543,0.17940813637560898,0.1714068919098676,0.06012366912065225,0.0891557625760392,0.03426526850139747,0.047593145979937364,0.14708499866874739,0.05096736767512409,0.07269763018622569,0.21484900096863452,0.1256141110057912,0.06697539845539922,0.1301912342036052,0.0632209945050645,0.035645626316826884,0.05576809293619384,0.1862043624959559,0.14336533636667084,0.016880955970935044,0.0369478977238437,0.0984390429557222,0.1354780518679624,0.11012206630114973,0.13647369209052346,0.19321821638672748,0.20582963607337984,0.07843162116808389,0.19955183129048387,0.15548356017408632,0.09448110666048747,0.1722539896164729,0.15474081280839702,0.17574101371353698,0.07633642985857717,0.17445515656641541,0.17664023837749265,0.10304374018441032,0.07759252971116543,0.08587551765107684,0.21971338533848336,0.057853541928042165,0.16638633839694417,0.1561613890791273,0.07038810689317458,0.16933779193152543,0.1080955083637308,0.12614577141552574,0.13488835417297218,0.16186591597270994,0.11721941098887766,0.047964401051981145,0.027264616890804033,0.04892637289133674,0.021188454578586202,0.0,0.10148493210052861,0.19769989048058223,0.00910216194787232,0.1409617576315772,0.0841845583118311,0.05692269519596623,0.05737118740197681,0.11318766116483726,0.05915314433673953,0.05373262943614154,0.14024171966160276,0.14711141385881848,0.08622550067713791,0.05476654294624471,0.14609206469991326,0.15704988380516344,0.3076223996864098,0.11188574143065377,0.13835922769656342,0.12079682986532314,0.09697884268088192,0.10561959011764678,0.07114175383724543,0.21812580347840121,0.11797932318036301
5,0.871205987812159,0.0,0.10981399379145895,0.3697731489170045,0.2594922535204554,0.8572377115718675,0.0,0.6605663942957327,0.3257216333792313,0.5523672676363396,0.0,0.0,1.1460110638707721,0.5930134683417723,0.3582720357127423,0.9750385648346231,0.4215454598263065,0.38993946146205927,0.0,0.40902377148248426,0.0,0.009720680281994104,0.0,0.046385814694880956,0.28398986741154214,0.3764715013347466,0.6476694872737251,0.0,0.16736138404083262,0.05607000074677421,0.31132918643191293,0.0,0.740581362542243,0.0,0.3964634621391891,0.0,0.551074485797001,0.565182180310041,0.6479987641565086,0.05653636812969992,0.0,0.6317942524539296,0.0,0.4931566646987489,0.3865457623754317,0.0,0.04730934540339765,0.27726060135553227,0.05511403671619225,0.0,0.0,0.1570579510439535,0.4874427626420236,0.1623237247212566,0.5871884154387097,0.11228956575410093,0.5719302414567586,0.5733534959572733,0.5155396863858802,0.23635944467014525,0.3213913407288985,0.139683936659518,0.0399517506024642,0.0,0.2900904309921929,0.33032114207727636,0.6356483257590766,0.0008976948759276959,0.178778189900541,0.0,0.31873377940886327,0.37597640285023204,0.0,0.31558920806289087,0.7382390049902616,0.17046305002862594,0.0,0.0,0.0,0.0,0.44933934611579185,0.04327401365366104,0.6243273340196513,0.0,0.0,0.972761974643926,0.3544791073350862,0.275878385566407,0.007239391896584069,0.10644891288833616,0.0,0.0,0.010672131579859856,0.0,0.0,0.36344025213728315,0.4454116216857389,0.0,0.0,0.9048370312355933
6,1.1194938331227395,0.5712208825496814,0.0,0.42949146188715515,1.4066837540001629,1.1270702884938015,0.8125454226737457,0.3105764183912698,0.0,2.0966497478574664,0.9445095263319071,1.0477979925946899,1.2993669419228104,1.5444318354579007,0.5116704529867443,1.1977365203827892,0.0,1.8270753812857918,0.339222675500797,1.4707341003046595,1.4569837766837572,0.5994461319923113,0.39218198626707124,0.0,1.7954289919651112,0.8665083424959502,1.5802233255238352,2.051167905590972,0.2738947401563091,0.9718160129322635,0.7345641227098351,0.5969970168487018,1.1967994679588414,1.3947518397631595,2.0953794944624358,0.7095872734211328,0.9859166278547192,0.599242473361596,0.6224904605249904,1.5221436537447566,0.0,0.0,0.5505060878929389,1.6094801228824225,1.490584861659608,1.7898685510609198,1.1723977049243706,0.484842092442893,0.1828004803045179,0.7598650841619621,0.08938165016815014,0.8356405841409627,1.7891233506445499,1.3691294412720139,1.2756187094384854,2.007008845807389,1.048294834117654,1.924117477101619,1.0994204954496691,1.9689675925754382,0.2602340213825497,0.3284779463744104,1.6671691291186956,1.0219152233618707,1.3970936234742815,2.145478192818378,0.8182351151766092,1.3994807291318345,1.012560194906172,0.0,0.6185272696892774,0.16937686280808695,1.674910352498994,0.8865100368449785,0.905217221104146,2.299930492082418,0.9775988168186139,0.6085659955255684,1.5335405733026477,1.493217149506831,1.4778450726363568,0.31412496086001773,0.0,0.6950235636626568,0.5678254529878372,1.920687267840356,0.7141855136759345,2.488874449861348,1.6635114524004817,0.553879153649963,1.6980880049063938,0.6365145717749796,0.6965771931154356,2.3616793335322934,1.140618638048544,0.4045206463659462,0.9588971057468908,1.6157607980834041,0.37342947387952485,1.305182773470987
7,2.2802810666696383,4.7352973644095995,2.9528045597552017,0.0,2.574644846158955,1.7026125969459902,1.5665592541239999,1.7290722379999977,5.526199193050638,1.421052088526958,2.1331059091494824,2.326535903282134,0.0,0.17410000047514873,5.1309621167167005,1.521928686506103,4.510128427054443,1.8283986680088187,0.96331681040289,2.1968336182401105,2.585976724033374,0.2857810543955124,2.631825807552091,0.31294302935144147,1.3253835114540542,1.429130869903048,2.2847217107868385,0.652242826406745,0.46838184992776366,1.716705877222084,2.7645736795987643,2.546843674861285,1.5452300855872059,0.748649347758983,4.839781229612079,0.3292116603646915,0.0,5.202936406619012,1.799746423573763,4.239306045268026,1.2165726440762006,0.41083544912523284,2.9771708396994354,0.0,0.9880572912967716,1.258013943812661,0.793729109874127,0.0,3.105334452522229,0.8157267501484355,1.7178813857186996,1.2643035346685643,0.0,0.3339497890487326,4.4050264264346355,0.7642375487195806,0.7380611701649537,1.6438217319910629,1.2960401651447477,1.5249509291166647,1.9596236162216158,2.918296181570869,3.463198445732832,4.814771322378561,2.0329732763939417,1.7188446734523717,0.0,0.5989889140928206,3.932831470162334,2.543201216600518,0.8534585131664412,1.8488967470574784,0.7522323603777982,0.4807018766441522,3.552199882677371,1.6254561324967693,1.3764486795693411,0.3357353699461585,0.0,3.3671669754150715,0.42547979996419727,1.1492735732815003,0.0,3.0379998974792053,0.0,0.0,4.9643548424898025,4.58038306629789,0.0,1.4504927991885719,0.0,1.9007950099157993,1.6543967101400094,0.46467846620516373,0.0,2.3835320836084843,3.769950222633864,3.8971098821194072,0.9642652064110024,2.6822130889461184
8,0.0,5.11262418670891,0.20064571247724716,4.07550146852996,3.455062569714359,2.558575047668133,0.0,4.626191445204649,4.468580016052268,3.357871380743939,0.0,4.377789957184584,1.9290535297353872,4.218361898682835,4.5662586315684655,4.203450745410008,3.358005353032105,3.9162427147967773,1.344090447342018,2.6545613505297254,5.750608771181039,3.276379167771225,0.8603420150676839,3.4709517818076137,1.5413018800541642,2.7323141787039895,4.264543257024518,0.0,0.38852404721372746,0.029699415305547205,0.0,1.339287348040848,0.0,1.2803454394660236,4.27582892363263,4.018497763632871,1.1274585477269399,4.875499230325853,1.5242406710562997,3.2206700536948274,0.0,0.0,2.618235070277062,1.9012412742830926,2.5215189722010147,4.353494737083715,1.1574284058285342,3.3561758937802857,2.1309020682334667,2.7790146680083367,1.2397216605454255,0.0773606529379065,5.425074278695385,3.019183041142903,0.0,3.9452621495227103,4.59372663128276,6.230620201696368,1.6143053905143692,2.699170872222075,1.050835408868617,0.7571566317841256,5.537079640156664,2.6036678810777465,0.6647530592774706,4.475883793373288,2.82153352585818,3.3792649763950173,1.6524359613452877,1.7385686981883006,1.4338640665366036,0.0,2.248121448841861,0.40924460199347523,0.0,0.6768478090144618,6.017938051002235,0.0,0.5269701598335101,2.267946745974937,2.3859426664281433,3.26552476547517,4.449949650470288,3.425618907096819,2.1849281807772463,7.988999887520446,4.122217845194986,0.5578655897527198,3.7776678161291075,4.26685376587502,2.6904864753508098,1.8623676129146847,2.354601464303752,3.133690681534205,1.1066078677580367,1.4169144087393544,1.858245783167507,0.08779364266569312,0.2713078101540063,2.065370735944954
9,0.2536786703438283,3.977277870895713,1.4871184631091325,4.7198179063011905,5.529955442327341,0.34331338727427374,3.4016860896807457,3.775417470023736,2.893599050602279,0.82094389395721,0.0,1.519848141203561,1.8241406125787152,4.686674241852344,6.69159773022763,2.779020881533166,0.0,5.126623568512111,2.170835871696832,2.115070997497871,1.5519871411966466,0.0,3.208297787033148,2.9478609594002227,4.793045848196671,1.369255922112645,4.815364781056237,4.053838426465115,2.2248126352559696,1.1213865676130728,5.103447961528671,1.902804280972007,2.410467714553516,3.7253362461803143,2.2555960119127803,3.792009073889153,4.418025756894926,4.8654512849079286,0.7993469514830385,4.130106106002532,4.274056907652055,3.117632475343327,2.4197911849044176,3.3035348352192146,7.1247735228862314,3.5650798461647635,3.795617743127546,3.44885750733684,4.754739442676479,2.3838826198983245,2.684981406260591,2.0809378708983894,3.7270615394740676,3.4393383554808463,0.8625225710040547,2.4525455146603043,1.139921411458019,1.9222787532140437,0.6945326258943574,2.5701835366547177,1.8254612347687305,5.328619575202859,6.230617693719682,4.076692436549742,0.0,1.2135929735488864,2.4514406998441745,1.402216690495876,0.0,0.8966286490195146,1.8037125498032702,0.0,3.8193441252773876,2.745305400600389,1.8279746579450142,2.7136681230312885,4.396564336923861,2.7109290321121766,4.644951744380677,3.389649487346366,4.107692802855754,1.1943908738521674,6.13142192442762,3.4499227025235095,4.211773667081578,0.0,0.8646578661847142,3.1279548356293545,2.883949691718455,4.717298053685184,1.4549529936000227,1.9651230767117565,0.9677475839160103,2.239089312947169,1.946141084294272,3.597697869676458,2.9407578817812983,2.4718951178478714,0.16369442626325803,2.9523673591591466
