hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,307.8616650183993,160.82442724653697,410.6433546991098,159.2902596359705,168.20347799646296,211.42764731357883,296.85876994827146,140.06962526862822,190.46821849687754,213.56776385865354,216.28793143268413,242.97870830137566,260.3651543572549,90.78321113002474,232.0921394364263,299.57745557894543,315.6205707023406,236.549708449594,299.82930578143015,42.249213641509385,281.08705989589333,217.11139266165634,271.03098848477896,145.82419382699356,140.6560245515053,154.33623498912002,123.25882299888254,273.2013686147383,88.79124487732727,247.32821264918638,278.7307345333335,238.13691929040982,397.94816314551804,206.38837710396325,255.72909282567375,249.14323141649766,174.30101561392604,270.64974959617524,228.23528409308094,301.2134987795828,294.654961339898,279.46947206924483,139.07224486556123,333.3977643787167,167.6492053113077,367.91346694921117,177.21555603107726,199.97069497725786,229.14479569928167,182.57937257365643,277.46773918216803,35.46760928330835,145.6595809269333,371.94651553942975,160.53504653633394,226.98477975749228,269.31396768557767,169.5931274165368,247.83382653467424,187.0484898461303,134.09595316517118,264.5130467293597,340.13149315600504,261.97846508887955,314.7964458266581,215.90670239442605,293.24570777449185,406.7539419792837,274.50799224465413,122.75375078489883,210.46729126016962,208.86365678873835,46.94282490351651,184.54490285024266,243.9983898777941,257.6825309329747,314.2204859099537,142.2071951349215,113.37968559074741,312.3866531236908,215.45980968782197,231.3258069042131,215.14788611383864,261.0819453731875,230.69251685368766,269.0046890406255,191.33669773959178,261.20234968309336,246.6351796079437,76.84403892777462,275.77893173807155,281.216448915166,176.523356719604,202.17856652801888,194.83654999181564,342.3215567661139,179.8889709861426,131.14374067235357,112.5923447384004,168.7393031457962
7,757.5279865670789,818.638149157209,1230.774025754761,1143.8645894681056,1289.5374130054474,909.5782961178353,1053.5577489395712,1966.6601059928935,1127.106426191004,1046.2190425821132,1366.451241706479,658.3971848945187,1010.460535834548,1179.7662028039028,867.3285734218122,1166.903642918814,1406.685768072276,1251.8974435813404,1349.498514363893,1334.630690055966,1321.514320421038,1070.729248284612,1421.0426551360451,1286.7897171372736,1258.4386510519737,1215.0076797615402,1432.4798469594907,803.3065722478316,686.9810995755101,773.7413550712652,1146.678271360794,1228.1030597095883,1456.7569988849648,1665.4492154007216,1110.4412747742342,1038.6602989497046,1353.8665919392918,1080.3880675512848,1009.3034453844389,936.4608815718168,1560.1239280734142,758.6363914239655,1460.6475990245665,1088.3495834914668,1181.6087128059692,1856.156197556612,1377.5936405687153,1563.368464174332,984.2847920714626,1072.341979059656,1030.8189294538076,1355.6879896263358,1068.3777932220937,1198.0948548255978,817.7291177594655,976.0637832559663,944.1508606305733,1429.1186104180183,1199.62401979133,1186.4191975783021,1369.0094811611248,442.9623906548104,1342.7085909224386,911.0597151685068,662.7231369195639,658.6537154237654,1447.1458351437436,1083.014061454559,1073.2276756379686,1189.9586152670688,1424.289850099639,1033.777072418643,1234.9613165520284,1927.1332343313243,1324.2913665273118,1165.8067757018596,1179.807021865486,1270.116362447909,1075.1388308172745,1244.1256007534423,678.0740906859871,1577.627416830285,1506.3127453125185,1096.9723350681336,981.2306357853361,604.3805780113634,1674.9174197859265,932.8022677939075,837.8531437104264,1025.1431448427707,1263.3533942977056,2045.3125042390616,907.9025284886192,1566.6317700983182,655.2091474012727,1285.2071764388304,1288.5720185813534,1252.601604063373,1109.4015529227202,1373.5467872086092
8,2175.5540978469735,2522.6160094400016,2374.6976819036418,2467.009218298893,2806.291919966263,2342.9045283487517,2694.469491923518,2992.3882956566285,1321.2205748901201,2783.6493501500654,3149.5041975123772,2922.0311421848,3044.340863351422,1630.9076898033304,2583.380680324781,2640.1822560817714,2878.044875137212,2133.762381328155,2307.822119959275,2791.641656617799,2432.595724781273,3142.0869732370334,2470.109785118468,2677.627292255424,2400.600016291342,2402.2099484145647,2271.3941739099614,2038.1039694239216,2321.185922397763,2678.4400018457727,2950.120301870585,1948.8363595305204,2687.715655951612,1600.5766062060493,2013.4511126572027,2751.271038286536,2533.117934984844,2569.782566216469,3047.1193190269455,2763.845760877555,2149.666973645219,3199.1551071902086,2387.0031698656676,1795.554896808504,1942.6790664774958,3088.0193236289306,3146.510786536714,2015.2946355991435,1468.8812968683271,2489.7901208979347,1606.538070793923,1986.6012690067203,2572.367446610698,1948.7772971106701,2248.9602595489596,2412.9456710216464,2012.8543482256944,2082.6688657304258,2390.9522627745437,2187.447588140129,2207.2274439397183,1751.9675179682824,1491.003443796708,1910.943823311326,2196.0039381422043,3312.8915665527693,2240.4064732326483,2113.8810133226557,2305.1818491146078,2116.672173986971,3244.554859632804,1006.2330153313385,2596.758236417887,2460.1389222369,2740.3108035787745,1956.7483268932558,1968.241937123617,2364.8669432292927,2370.402354207394,912.8445719592471,2694.2957208183843,3141.478547194667,3309.1555824101774,2037.8145302981457,2420.157706615603,2455.997517346468,2339.176641961815,2703.519573307892,1832.9459547463823,2204.0974615873665,2017.281676367685,2204.523717446833,2344.8510025001406,2117.5201717024297,2214.720933927417,2758.673212034908,2867.2169350890094,2330.408890533627,3122.9309677447127,2410.823505030603
9,2790.6040920163,3562.634436349876,3619.367850758726,3977.574229879108,2954.6050737513096,2978.9430920060886,3417.4201275272303,2987.4876312714896,3876.8114581854343,3949.0300713364245,3204.457405533576,2572.2661098435224,3445.556820739502,3379.5630197873343,3855.323485909553,3015.1880072854924,2916.344457687882,1742.3153151461106,2681.2420102714023,4547.005440672568,3088.084942883763,3235.407110970571,3262.271448389882,2902.805694108731,3356.242994400373,3099.607565185766,2887.23317639623,4128.0381425172145,2356.7170150576535,3570.9932224406216,3160.4361945065407,2519.0042978215397,2930.979874685345,3969.3431097697285,2870.910105776332,3505.540348713099,1829.15468211775,3491.064225278907,2095.4779122200152,2630.15577310519,1651.6334287347875,3481.5813203907046,3766.823964864242,2911.923617419599,2282.6338776330967,3739.8714641850825,4246.510657533729,2442.4068686033033,2456.51169515892,3253.3841897098,4398.285350449596,3743.514872583926,2784.8540792546196,3008.354255100221,2857.701556728564,4376.860406726198,2850.569449854756,3438.1667548128025,3453.6796154761796,4167.533866980749,3769.4081887995317,2702.385764247481,2193.2672653657114,3607.213353558846,3290.29788550712,3893.1107030478074,2734.868400403135,3671.147236058423,2514.4433140971314,3280.436030162017,2383.5499491160167,3131.4958869930488,2008.9070675949904,3266.8630564138266,3794.7503433957727,3324.3933160582715,2371.224606624334,2865.2448130420344,3194.6276942589825,3181.6111244311123,3377.180848300218,2568.9969653778703,2923.3706804241747,3758.1893538584227,3093.1327512356665,3648.248034879607,3067.754199125421,3082.2511807208944,2358.756287058029,2581.163110570011,3892.5162726487465,2888.892433914003,3103.339915867935,2181.1839519994874,3280.9116910739144,1903.1808085352966,3428.8186387247224,3144.775050991625,2927.2706940552875,2260.8580942369076
