hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.23201275293588727,0.2001063414394137,0.3734180526171259,0.0,0.0,0.2362473188113905,0.18821990074755396,0.8196223256426229,0.9986139433926984,0.5593822656720249,0.6453924347122506,0.4213711939683785,0.0,0.0,0.060279714877717466,0.4889089260153684,0.39945417260561866,0.5604950610807572,0.7012817340544528,0.0108634084291796,0.19826082913657872,0.6816601630421313,0.0,0.0,1.1478909683773388,0.0,1.1245096688804979,0.0,0.5430877251809317,0.1756614277361792,0.0,0.009157610531824928,0.020444129928228083,0.11507277614382559,0.8475943937877707,0.7869323911669059,0.02797840964071538,0.5375542788447648,0.3619605365442828,0.0,0.3276703421099142,0.15443645092239255,1.5876771891710388,0.27990794788334755,0.7019340079880798,0.7115656218840942,0.0,0.0,0.4263441377910614,0.7785407914376806,0.0,0.27835099100750127,0.022187010896267123,0.9357958243397011,0.1778160625200187,0.24628915666763831,0.16094143346289208,0.0,1.320901408024797,0.0,0.0,0.0,0.33583150723303523,0.440212804304336,0.49203942321118244,0.4424082755924975,0.5112145003605633,0.0,0.0,0.2802609791729067,0.03502518954339895,0.0,0.0,0.08777248198551924,0.20370571607310595,0.37357999218283855,0.3438601638512852,0.0,0.7600096892206498,1.3102338276363794,0.35069327057356336,0.0,0.1972289486978351,0.3303199167984435,0.6157202162451523,0.7300669565769099,0.07867744193849252,0.07927589299517748,1.0195952520705887,0.0,0.0,0.1901265346079293,0.0,0.0,0.5274199278782612,0.4855245735851281,0.32487183203779324
6,4.737626365370199,2.0442639498985917,1.795029921542246,1.530943367720118,0.0,1.217998841897075,2.3509162201457454,1.084941890892149,0.0,1.6370674646164087,0.8814095627998393,6.824664393523755,6.265293573979295,0.0,0.323057255025162,3.314689376967625,2.22677903521178,1.3017496094455925,0.651170861632155,1.091673818444631,4.047090065878557,3.553684781455062,1.3226237640249812,2.3947515830489143,6.220219245320787,2.2060927454666435,0.0,2.163045788486446,3.7132999784666056,0.360896098684675,2.3980975693778155,4.364585118606893,2.44847094742116,0.040844863182407654,7.40307295647788,4.252461102110216,3.285185044495411,0.708120135169676,1.6072593046602046,5.548425777555168,0.7008193788342965,0.9856467680575534,3.2430932431409514,4.779641616126206,0.5482730689786999,1.4861810753668636,0.0,2.855731915718178,0.0,6.191840850803114,0.0,3.236026778749367,0.0,2.9215057505468316,2.9736610347641492,0.5446158649297941,4.836721146534175,2.793045075213041,6.221872229342934,0.4469627105129821,0.0,4.04207828398941,2.281096247510373,2.916943435913653,0.9738933818144817,1.8929812101666943,0.045266768809653524,3.8690223038999716,4.380116517483957,2.751342988946065,2.466400306179431,1.8836129858441903,4.169721245234999,1.0992230060205244,0.10594703122744153,1.7022652711736546,5.348580640394032,2.1226497312600077,2.294518047370445,0.0,0.0,0.0,0.7142397615713354,6.467134274255292,0.04192311951357519,3.6948044949753456,1.9776216036757135,3.148356993702394,0.772732352065993,0.0,0.0,1.970892660925149,1.7373523637905721,0.0,1.9534356841348544,3.434247808750686,6.376459428561531,0.8886151450521824,3.047814582778761,1.289471804134766
7,5.564856245094711,10.656871895063396,8.734685345509117,8.942218058326194,0.0,3.3104735674097654,3.582143308396172,0.33468278352016334,0.3893916278358702,3.4569993797519722,8.793125745738315,11.291664361956945,2.854444995848693,3.3768397501710554,6.010240275677095,2.9117725494074467,8.69507239789915,11.637536276772137,1.2199545835956984,0.0,4.708610542134209,4.6673938164501285,3.887091098444201,13.55612098122677,2.879901136511112,12.8700951323336,1.9436879809435261,10.018060135943312,7.504050372605683,0.0,9.423271646165883,4.9813773673292685,4.638569556455596,8.872866987793945,2.97021789404649,9.296095228087122,8.771039122998669,0.0,0.0,0.0,0.0,2.9495567541819394,11.978371991264586,14.852433321278163,0.0,7.867152018204232,2.9756458223254536,6.368236928422661,3.379400230091347,3.8614263453962065,5.906967099525106,7.3564037406734935,4.802667335179977,3.521979595965378,4.313612490522723,7.430517329683797,1.9794659610434682,8.03822014171796,3.013023992896227,5.995869621642044,2.7795748289757896,0.0,3.586215106029011,5.8772617755028325,8.200953547345975,2.7679371888803113,4.495498990106462,1.163981757936393,2.3543261745743016,0.23786199296891208,6.0159909889339085,5.294398684969272,0.0,4.812818054193547,5.026720545026348,6.4252400854234,4.868181702246395,6.347941807532476,2.90951567367349,2.2638226011577824,9.63081084048396,5.197780949264343,1.5649071686205125,10.318212660180684,13.093032647114786,7.779494182230668,0.0,1.035981209571859,2.315077837825348,9.917527003922721,10.14804259042418,7.838500246347798,11.490451075657523,10.871830718723487,6.24971446607641,8.138329847962483,3.0957693804261996,8.398771674983436,4.8593083819808305,11.602606612992476
8,12.934613647657121,8.790133470259297,5.365270173603544,2.7545217900545764,10.685854695031141,5.7471934663125355,0.0,0.0,18.598024198249554,17.896493271970744,12.161856749710296,10.42589592295313,15.53565971391798,17.410293762638396,6.614271978679404,14.181681042943403,0.4780364902083001,7.651007890225033,5.894817018729783,6.421901059216813,6.747433254814394,0.0,24.946551563048317,10.026675703931504,23.411424438851547,1.416935398425002,5.728730267280226,10.40650565394102,3.902726209371749,24.46000005023109,2.851163732893815,6.560536620065368,8.48484300835804,12.307532495750156,0.008610026509058955,11.62685688860952,10.723761765240216,2.842333810907563,5.872955510923387,12.550520905966415,9.57737584063115,1.1364874356828771,3.13892409284868,0.0,14.239630968535149,4.304751038257361,10.225787157443,9.922446479463531,12.195483483139192,1.0476941781371512,0.0,8.674092772351205,8.789102902182215,5.728205104491856,14.8882002316101,20.607515256332004,6.205169081992868,3.464378469966331,10.846366107393033,0.0,0.0,20.10221587360437,9.744450247711011,4.660886682136475,7.1663053759710555,0.6365895843674059,10.772690837535478,10.574736270250236,7.015389303284495,5.981152366022287,2.8782928024194385,3.261238429152965,14.338266313823842,9.719954538709338,9.456121150313704,0.3987099822220852,23.850594431755184,22.602060108083865,11.453902969036816,1.4373085292533565,0.0,0.5476044222699352,4.321003429608046,2.448619087465209,0.0,0.0,2.278232552030281,2.894437468801524,10.129260721077648,12.44518565311482,2.927580976995298,13.591383088764076,3.725514889893488,1.3397406093100956,7.352238562370238,13.090011276151564,6.379944931829576,2.3034948444200323,7.127749104641132,0.0
9,14.699365623023475,16.72816256073579,32.160452601139696,24.08023576884382,10.097726517860892,18.84465527473064,14.401090616521506,8.291646352536443,14.913286321670586,12.459375584191879,18.981938283608795,30.205161702677174,23.65062719037208,32.14869496231859,17.00023173308144,15.034299423742594,21.79457350392448,24.919054503395138,23.61169801784639,6.757710604068778,21.27183648706653,25.350691423682115,38.7564251678659,36.59847743027461,26.562570223935264,7.012614452640467,12.180388749150808,18.032239656042904,0.0,13.484052064497103,25.26072806022291,15.120326569305346,31.72262450374211,27.525723293406102,10.084987129539583,12.032345970492418,25.085019891925974,24.739105865589497,22.449641522401013,16.660693919270233,16.965168623160924,21.21404133119069,10.865437158940034,10.897869838263427,11.326317854668776,13.12718964139793,7.199451764363067,27.16322415090667,18.44976488338577,4.232144594307181,24.334492096821222,26.473971778674713,8.163775217627268,4.758885315455675,18.584500395324046,7.432827936500409,22.302571484301193,29.557234550399347,15.159903300842528,15.205980813540958,25.22126078925525,7.946880846754226,12.397816906520848,27.474895392112934,35.92572019881626,3.4898375960237065,15.94962887693961,37.58922020662574,5.9353350945646675,18.12404412334893,1.2313237640939434,23.031372799614346,24.946253169873202,26.334507246765583,7.134539648833453,5.777617013406092,15.05270203519684,18.794766923519475,11.981255713787306,19.538825467379496,11.039615355460604,2.695961027664401,13.509488274226392,22.758593415762746,24.621766606844574,4.861005291178671,24.091353031592995,17.37594063532643,5.256165363075787,16.544587758206983,12.496905204315802,15.572525763167324,17.964469718717183,4.305389962210164,10.894280708533996,11.352781015328073,17.294312229392776,6.571183946322121,18.60349396776208,20.78020777521551
