hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0114320047304282,0.0,0.9716356449251609,0.0,1.10906806925689,0.0,0.8276444133261048,1.4245948698588435,0.3784835488215387,0.0,0.0,0.31426483640833147,0.005845972837369762,0.6565404999968203,0.2002557077505115,0.0,0.6879758508281162,0.5996968192792604,0.6267258484125525,1.9807729870206803,0.944267913791012,1.0431688261544918,0.2655418078537927,2.026071296851902,1.2684299489426203,0.6692228083305226,0.0,0.0,1.0770099414211949,0.0,0.7175423201725216,0.7307607275669975,0.5713288309211724,0.5886864420674212,0.24990905691193893,1.6169099979664712,0.8542169899817388,1.2844515112402801,0.8476915743063348,0.07790595137659606,0.8503944231217029,1.1593845301135486,0.6377701169478986,0.7857768562943903,0.5838676933000864,1.3476418737303968,0.43264048431864244,1.1204051609141867,1.3139582686415021,0.22943856786580907,0.5770485522695313,1.5663411355585573,0.9307199326911514,1.921424590637524,1.3225642383922191,2.0095325185451927,0.5003521475924978,0.665072193271506,0.0,0.984248338656761,0.0,1.0015778271689462,2.23984306904554,0.4041953928360448,0.687216654193899,0.0,0.5044671396150422,0.6500888656091929,0.43060877452709556,0.5186781678631132,0.4795388013350891,0.5769922033065831,1.8384996178159396,1.147298462069683,0.04576352106036041,0.4226929169310777,0.15934446585392714,1.7429485173800445,2.791540587529478,0.3304528166136478,1.0380581104764568,0.408542633173818,1.014480364845459,0.912212900537846,1.1962831581582403,0.1648373986790178,0.15342055140025146,1.5945495032313275,0.0,0.0,0.6377709003099609,1.4633420469875538,1.3077019938850447,0.5321575399428116,0.8000093617914592,0.3583388529848991,1.1850670156521166,0.09444585962616403,1.23531748852291,0.943552280746287
6,1.8785688049012397,4.312905830598023,0.7902049598976739,3.754080258483676,3.0657089502419814,4.3942344291401465,3.4859397801354235,0.0,1.0935323187626156,6.4463604584729355,0.20787044465499127,5.567594622875066,8.972939106396312,3.2100106937062383,2.1491544251952117,4.2379481234027425,9.724917381811554,0.6496941413205661,4.453509859048701,4.848413320541407,4.79741093493087,6.997440069959886,0.0,7.966230945419571,4.557645702672617,4.82366976369242,8.016286707054206,3.690310735650595,5.368247002094621,2.0762016158033125,8.639650250075626,7.471971849532226,6.82878085186244,1.5591200389540578,0.0,3.902531481217884,4.488681269616595,0.0,6.210609910693211,2.9696707986862756,6.2880139186538955,3.166927957383544,0.0,6.2730812134618645,4.9874639871566675,8.32155291445921,12.385448119643002,6.908045448035616,4.722437571475783,0.0,0.0,3.6969583151970697,5.559375837520775,7.602530467593526,3.63217234192667,3.783842990974956,5.673542388357401,2.8438913980712703,1.094458610548101,5.916814512370071,5.193339060336374,5.084306508715201,6.915093494263302,3.883662741174312,0.0,2.1613450715916476,5.5034001059018935,0.0,6.9581723125317865,8.287917581951614,2.2007422323365633,1.4954333423538917,8.802586515922187,10.645383871100076,11.513112629236607,8.823882803042284,3.2029318231325528,6.851858393379943,0.912599757510073,10.178000424282775,3.2183206262173085,7.7393420734540985,5.224947029144793,9.293059504077654,6.3096160438178295,7.671300890246538,0.0,4.293895550866353,5.399138290623904,0.7090020766534324,2.8261319770722064,1.1360758701070148,5.970554252884597,4.085319107679474,0.0,3.161427562642766,0.4702003671870547,2.7956795944549224,4.2564915347974175,1.1424783779532635
7,10.547458372936518,9.416550698792243,5.7381471563193625,8.146486688253514,8.689705689160936,9.122883216313927,8.242226422345912,3.67633101651681,14.242303949305768,10.237711521621385,6.685215340128161,5.052884641142785,14.578193669241857,1.6976936317538343,7.327041504798385,5.115362031881765,12.115788105501387,4.846126635116677,1.5721203886324213,6.751344874621162,10.157431073870438,4.41174657151989,8.40834430670181,10.31651270955836,15.96853449485775,8.596748195613765,0.0,6.406619072383361,0.5853566142775124,3.3624414555891486,3.390665800276131,2.9424202626019147,13.464795205839284,0.0,0.0,3.814121847778856,4.007781436027851,5.883035214074265,3.083768661839988,5.712030409424775,0.6793036185118071,6.903929022478667,14.539267779605314,0.0,9.342298139128093,7.601795429461527,4.178641994017238,15.411916714719887,9.322928697037199,3.3462131730322695,7.401593183568009,5.192868252238682,11.589057139355642,4.439460926375175,9.766477007865545,2.319552374475359,2.396733409934005,7.4919042696717915,0.0,10.805084784756655,4.914363574753133,10.725584688009057,6.544482119854885,5.9612907338686725,6.701744402078029,8.600535065769645,0.4627088039163203,5.201464372016886,6.956309262936184,6.188460090190178,14.759115097663834,2.5764912489782548,2.5650405213164795,11.478414487199835,13.029471614403352,6.092700894704394,0.0,0.0,2.0723028558154253,11.448175201523782,8.533110245968283,4.993307060032181,13.296443940217241,12.954235172493043,9.766039896239889,3.743026874185106,6.967301411881046,11.047400458203244,6.5387603717881735,12.25229977202033,10.41091901282942,6.684113760213082,9.860446632344196,2.636286890133597,3.488241210126408,2.735268168320289,9.557422216447447,9.654713567703329,17.741287675636244,10.094329504906069
8,15.726222220783253,11.431854290176418,11.53221293968963,15.545134575036819,5.75155444201647,11.048352672817447,5.463410862448062,10.962477084586894,11.747467687255552,5.189330251208829,15.770631740853627,9.515323004072616,11.738800619483397,6.602214144905836,5.243857037603429,8.604408862383712,19.38547215275443,13.08573165053965,9.369291107975545,0.0,13.76670977840863,13.377449394395713,11.739517924348531,3.5195307185331277,0.7023513763629783,7.935132445387678,12.403101140320505,14.060009970791402,16.009068834705506,13.320041116041388,9.913363834351063,6.41828575985625,11.943531933381719,13.495179278057286,4.493825098659806,17.932895844247316,17.071328668993576,8.4233490067902,3.8311956949330934,2.1737136659387417,2.2737867129453804,8.772340886215982,11.35484076678259,16.47509700302197,17.834069544148917,4.434115066486703,8.806134855009896,9.83525799749002,7.664140820227676,2.2647330113983575,14.737154057725405,7.599570326122026,15.588548719250529,7.847349170150515,12.407483797446096,11.110713138254969,6.728781582056296,13.820850638893273,13.012217149322968,9.302718854873028,4.465958640800869,9.84493763884702,10.962143696591088,13.163958449653549,7.276333859088366,19.04769443274453,8.706447155625254,4.298891482737955,8.796588221461343,13.4108287764265,6.473816823223363,8.756894982570893,11.766536714497349,12.20938571223612,9.292861093166277,15.386707941107103,8.069488407287793,12.861191347206548,18.579909817146586,10.792144633187318,8.275843183355786,14.53186565256047,6.933412657432768,14.194909336938656,12.166176705910328,2.5554576583259037,16.059129065393204,8.291791599505997,10.808628177152336,10.01248325962867,25.29874006388657,12.623642314913894,7.83693988085067,6.0092285013721805,15.052039683084466,18.00005004718945,18.171939033576777,11.28834892418771,2.949707622054669,10.487675541937993
9,2.6926908496011457,7.371414719291614,0.3701489132021738,13.431877852228393,20.00018882767431,0.5467447380406281,8.811616785931957,15.250231919130346,22.475092609159503,13.895395367928577,26.53010545878848,17.239740928080465,11.528647030686978,1.9820138071253943,11.338180290901093,15.461968035748818,14.4298392275568,16.138513323273582,12.756006334969475,15.591150086984062,12.787268161420362,18.090076915311467,10.042330355780807,16.11871893386031,18.71983657919773,13.397395396213614,9.605145403382439,8.422432190818082,20.92457671635845,13.592236578645757,6.473082224351226,7.279612425116291,15.226073950619455,7.891376546458247,19.176027214750214,15.391317036111461,18.565133063416685,11.9475268492999,15.094303678852846,9.887933682507622,14.182330927836079,11.471837532466319,9.818768730190094,15.76282222415528,1.2589166273043322,13.047116635402974,11.758420753900452,18.1710268947191,12.706427405970427,1.7039844420979051,15.269485089252655,8.940490131139143,21.856845315837177,13.913241486261523,0.7830468353442832,17.9387536117622,16.474317365868785,20.019918733483152,7.472735596394064,14.471040054545247,18.467972595311466,19.7275679427885,9.365815385072832,8.756059436602058,14.28008856999354,6.891678362724893,12.131080906222868,21.822986191687498,2.4663884706210304,20.404243400753668,22.495814891620473,18.615603210557936,8.55580950266247,22.913663253538473,11.095885728008534,18.02957834512418,9.866400638372177,17.531829463064447,19.413925815050625,6.392212471948842,13.085677969101312,11.699004551172655,12.187677531107227,16.093682096411307,15.975709756698537,13.041026982954815,13.770918675877457,0.4546230770917248,19.017393528895965,14.82596354168996,25.33182704874873,16.38188879440533,6.944826238407385,24.227346277211097,15.649860007655391,16.393442436089096,11.696834621904936,11.638295097137926,15.159699441428142,6.359051999537609
