hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.058460991465659085,0.010410244129863529,0.05060513326575248,0.02703971093323143,0.024629869123609476,0.04387977092966497,0.06341187737091908,0.05339885569142763,0.04957632134562863,0.03840081772992656,0.0244039357437984,0.06696589364461919,0.004996880165130245,0.05701268230883742,0.039206072667755706,0.03211526883747263,0.030235654068623358,0.0,0.018511971984432395,0.07205374783285765,0.04340891303587342,0.0664370091029273,0.007761939040292178,0.02154035387999916,0.04171826433416194,0.07150031047145652,0.013546326989529425,0.002955478706423313,0.05071544265426252,0.07796008246987643,0.06833487900959365,0.06547346053110015,0.03440983014038717,0.04014619806843981,0.007984758727860135,0.010658824658390808,0.10227027910523895,0.05495811493801664,0.0453063944607339,0.03259673976731823,0.044228040838794704,0.03440406892269831,0.07331194215210612,0.1489906567993286,0.099549536750331,0.07665989791020852,0.07759760784510117,0.0,0.06993467858823772,0.044954398833102795,0.04273891153377834,0.002969822233959099,0.07133843467462508,0.008313283601205472,0.06298033334379347,0.04090651409693695,0.0,0.009628253591556796,0.04955365174939286,0.004745162622365566,0.0,0.0,0.022488125503290348,0.006513326682339896,0.05694594993930166,0.04999953414750863,0.04570719399401115,0.07055626035922638,0.0,0.03175177743751755,0.052855279628132884,0.014463355816405742,0.09317836157481438,0.005954798577773656,0.047569441096256604,0.06504768000724356,0.03883572477081902,0.0,0.10037223310900442,0.046704171450434595,0.032227552115726754,0.06352772208583593,0.04680740771049828,0.0335937453478903,0.060518578107943186,0.06722392687246363,0.09219548609466038,0.03363991914549105,0.05188350444615605,0.05250678477974095,0.019437153435348752,0.035607296847348584,0.08175046791899726,0.02552123988417324,0.0,0.09124601724024163,0.043623688972998946,0.014409147870126902,0.047274126418980676,0.05521443564581789
8,0.12944476191406545,0.07439880074113314,0.24040113827696735,0.07342906583922244,0.054691171367221014,0.06459088974764947,0.06617913664873432,0.09975145799818212,0.00313320970500415,0.025742639021659394,0.2528499372593613,0.0,0.18122288269986023,0.0715417253417554,0.29230407171675865,0.11449146370908378,0.07539828740300208,0.20832654823110985,0.14611746791722985,0.12426738186369105,0.05318482290345229,0.1966446418296003,0.04177529260219916,0.18420840062520435,0.17086669595673856,0.07345358958650036,0.0,0.16816150322632123,0.1629875490608872,0.15765148848217259,0.11272737330563842,0.15050494769493444,0.22849342380516488,0.17971369653636843,0.11453642260993427,0.2324110533387326,0.12177066359290507,0.2112981371764413,0.0,0.22149023967183815,0.06806476568901154,0.24844228994181433,0.11440156441900762,0.1738230545607667,0.22588798285206113,0.1791984443389294,0.1756273528070188,0.16476259526117948,0.0356663463238744,0.08041265718766162,0.0,0.05838482726007081,0.05065413977736237,0.04296538705314594,0.18418216446524815,0.1725543043332755,0.052525655162949075,0.07728867596436867,0.1504366038375991,0.32747840120470323,0.0,0.13964372213973006,0.11224294965062578,0.1198846079599416,0.08160107028838473,0.26990181177363476,0.1744382270587435,0.13380982342619138,0.03918422531968163,0.1516406325261344,0.22218323193279607,0.10616449140274706,0.13010259762254053,0.12683534317143327,0.2393562984091451,0.10657918407778767,0.14774402155908767,0.16617775654943603,0.06232276721307012,0.08273934995490889,0.014943605076523314,0.23799974705961782,0.26657599819717354,0.0916083004262174,0.1156561975563937,0.3628215438477597,0.15125338030568938,0.0,0.07286895030979287,0.1508036637086099,0.10462689464334976,0.19150590456628092,0.022862967378039847,0.0,0.04478478189607213,0.04694797512506935,0.1649225505815629,0.08067264229247881,0.11925434639267608,0.021270139398113758
9,0.22309587180288834,0.11587056485968844,0.30817700453852553,0.18718733936768123,0.3325833984768125,0.16985405157956432,0.2632378857615714,0.38175799976991354,0.41131504360432347,0.06398538523307512,0.2806900616829679,0.16734346726106722,0.2621089213570376,0.23011728959277566,0.39444639767990974,0.3006824646646404,0.3937182337064808,0.31937897381153546,0.14737076537677732,0.2181003211587399,0.12012422141199314,0.1605654476107865,0.25061843458295946,0.23226933138262618,0.1253941489591489,0.1200052846275931,0.1022623546041028,0.40534425163217025,0.3886021449546865,0.3871031960023602,0.4400712835398812,0.025018190308383342,0.22613277331644505,0.42257934808152375,0.3435571772023414,0.3205946529000796,0.35314271502850525,0.14675708034883822,0.200854841030001,0.13129969486961002,0.36891446963045704,0.0,0.2600430507792262,0.24859887377920564,0.23157266915276928,0.47527194510541076,0.03064578932568121,0.2829385660207741,0.09329199217185707,0.23506001592039774,0.39478123012774424,0.3251660898406716,0.4760765052814518,0.20455175981721885,0.34015102619370335,0.1623590227340651,0.15988841915154384,0.18509099233626944,0.11762255106191377,0.3105477835727527,0.4628956842808839,0.15573269691376943,0.12898092452865823,0.2590566066869026,0.13865710214385196,0.20364566328684597,0.26914240565307235,0.11467092343725738,0.3822135091482214,0.5238072384777394,0.38162742965634366,0.3313378131524287,0.6515935095115557,0.20520749854674825,0.18977595634342437,0.6143647619569524,0.45660374834842465,0.32293542406517795,0.21265509130391666,0.2569870810886159,0.14664229691948316,0.23709236621252255,0.18435562664161814,0.26836653977850744,0.3038891057172785,0.11699029143154202,0.3496443833953955,0.3202991878520256,0.2820809861959358,0.4200518023324419,0.23106796689478964,0.3088797507840751,0.3686775462471731,0.07231649694599127,0.2903695622095038,0.14765757171607005,0.18913067675274547,0.2739174691333542,0.4261664778247902,0.21030670223886955
