hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10.832523983965103,136.63414964220908,41.58605879586521,8.8071790278875,0.0,60.935095110080574,65.05353472368962,160.83756998131875,135.36973555247144,30.965362486877474,206.49391530698583,31.48511508512395,5.2340506832197065,78.53959526335068,171.80561160645144,0.0,148.38542080268058,56.12112012507907,132.7095200989378,141.13072447288607,108.39095299448053,64.92099534154978,104.46924772030019,98.41129255850106,64.11969072894969,0.0,104.41593328261557,146.64956663509145,158.63250928983177,106.95238635278002,229.30976783430737,0.0,58.1459737155143,99.90652158235937,63.10064283741897,46.06743024334513,155.11809437166346,75.20922115449059,0.0,228.0055736480133,0.0,287.47176669100304,14.347207380676771,0.0,164.06539888679043,127.7545318546441,0.0,183.53717317236112,0.0,127.62997928322477,203.53954186233835,77.95256766002468,122.00486786265375,123.14065385231817,0.0,112.55622436386253,0.0,32.77282614270577,164.23763581928074,65.80825640128009,152.6809868829186,101.72332236295779,0.0,78.50544638643738,0.0,59.1109686401616,67.87341324654912,0.0,0.0,31.123231152257752,132.17175887601996,239.38448826695614,83.41613921943504,18.02120731054596,95.9124811684435,185.62883943405976,114.08442828349541,101.96735789398836,2.8441820303758902,115.18397443572259,156.73296273382164,91.82499633186904,22.15875243051179,129.68143453138447,110.95855928025816,61.71318228836186,124.11182784388686,65.54185347593067,0.0,0.0,129.69031729630325,0.0,107.44551285792303,135.15376054709265,17.259773570715986,64.34987323505683,145.79368336968207,0.0,74.2129843076799,58.83793883718791
6,1207.419479670606,950.5246781425463,1550.2785494443938,1513.68140214066,1524.3458106921544,1030.030961007429,1672.4284185425588,1383.798998203832,1684.134201774206,1479.9793875088596,936.670898028411,1544.107180401355,1668.783265719903,1634.7379634257838,1466.1370229613888,1720.6138425534566,2085.5742023818475,907.5283606362616,1370.7288119361244,1266.3949226069435,1396.6750236592702,651.7666636634385,1774.6072877449003,2506.8650636404927,1125.5332800399758,1275.2024713642709,1297.965444700405,1370.5379383433908,1085.018411155997,1516.6537490204698,861.3660672983523,1713.9987465489235,1567.1925095477998,2034.0269037214869,1730.4470272028216,1759.6295041523558,1255.3926452779722,1338.4372243948985,1439.430382797152,1515.9498606101183,1369.880073324081,1781.771194792254,1883.4386273673285,1978.0198595957227,1684.366218118828,1487.2729514310265,1563.1605882209549,1566.921336144937,1313.905593984854,1087.5125655030747,1259.9534945512346,1287.0558586351679,975.9690784175014,1649.3585084692045,1347.1698994590395,1822.4450416606674,1109.7267610547221,1791.784391507388,1738.6444925843714,1624.650085008196,713.5429199267143,1628.6664560995375,2057.377513134209,1648.9057341025803,2070.5230269585904,1379.5244079994425,1614.5415023824708,1913.739868751313,1415.0586385174577,1069.252718614448,1321.864929228139,1212.3463771416084,1585.3648836100792,1717.018843730846,1499.300966069914,1804.1390807436455,1993.6183648599329,1793.8253453753666,1419.0353482626842,1638.7612128599644,1490.2462198019118,1122.6779718890798,1624.3324676688935,1834.4966620198552,1962.6388844788953,1326.4483528753597,2084.570283966239,1393.1072840673478,894.4517083139375,2341.8736337759124,1943.475056345397,1226.6754488329914,1270.8812560582526,1391.3758366473733,2408.5246995977523,1861.8010868632944,1729.9106789624138,2021.4240346493343,2109.3904402679004,1771.9649773303893
7,4424.582391182093,4388.362153953117,3768.5235962521565,4825.51424307827,2727.0651755928156,3573.313294954437,2832.0940617332935,5430.64795463261,3727.519241120133,4839.87255349234,2671.299557933019,4024.7317946033154,4481.362128981632,3792.3777186562374,4084.755361484394,4240.4425331577695,4223.547506038608,4020.6830271803037,4957.255027881276,5433.66247469963,5111.965082999119,3529.943866757708,5214.332743309125,4287.089632097777,4467.55183666773,4907.830103877024,4924.70784964599,4014.671826171946,2912.183609340004,4133.893658072716,4593.663842019583,3149.7715391950665,2701.262479128522,3606.9305162372316,3390.08662216607,2811.503625513472,4060.343177744759,5579.105820372834,4174.754961869726,5196.643468669014,4866.888380350246,4166.142631009832,4750.05691808009,2385.4259772747637,6412.596103850212,3854.941653263075,5174.261689863935,3408.4911388108985,4756.326671233768,1757.888923852342,3524.7973161080354,3577.5743479589664,4913.304993867483,3243.261650169109,4988.424294889964,3979.4137205886886,3938.814435869363,3633.8441803928,5410.156390367947,4826.508560169323,4665.475114746283,4653.02445694683,4451.626115038924,3157.533594683656,3467.08388101687,4525.89096084005,3246.2100875005576,6253.515903035419,5069.767783616598,3448.0889302320084,4783.440098689807,4000.9392087550173,5134.833453643292,3817.6688537441305,3798.53751708571,4521.867287406148,5682.4971368648685,3509.2778716427915,3806.134297670759,3076.96505646459,3490.5649718677128,3641.284147194491,4080.1636298477483,3522.3212445162526,4736.80810884503,4749.0461668429025,5079.358165571232,3802.259817404607,5211.716711269608,4631.300443788623,2706.2602165791204,3960.1681994661717,2853.487162746559,2765.0318626618828,1923.8511717659549,3086.911083445578,4886.267587131626,4924.670458845544,3065.526539087036,3363.814117302496
8,5360.760573913454,5613.962736416587,6411.0223982659445,7327.595945538893,6049.6831994293225,8177.621700879938,5393.310104533838,7369.733012289842,2632.943468796422,5669.7224432432085,5122.748569655001,7502.4548310747405,5515.615385755865,4149.541568756746,6722.470036517748,5933.096868649069,7375.209594468939,5175.951705623539,4759.818313199843,6182.679619383195,6780.137331446215,6403.046927171118,7882.900666133099,4765.3994258804205,5971.050539852961,6355.882859801055,6450.839908524365,6708.013447464914,5546.434716710493,5268.563959762966,4648.692669936225,4898.531957227303,7536.504353547524,5072.417522678717,5343.507641016988,4462.899129501964,7649.716531096642,5777.320886837833,5393.925399091994,7199.97358149926,4554.572430056955,7550.999294899587,6256.638145891833,6483.9992377855215,7360.927962065002,8074.73211666408,9360.604660807778,4532.021179201654,5511.017645535407,9133.152243222054,6672.5960676281165,6639.715962917227,8088.593302355547,8437.061662545202,3488.185614289225,6064.520826800945,5018.827233630526,7080.402915353327,7003.366500641427,7089.781296596735,7008.695259651454,4532.716321030084,6303.588394132209,5322.277335167693,6477.479091346426,6698.657281989176,9475.808968490928,5253.708845929935,7025.760029194133,6929.216035272985,7516.104934400261,7609.014344695865,6125.048345429435,6476.923147389027,8344.301144598756,7243.407442696015,9960.58364779255,6644.7502102698345,6617.856245771881,8193.478180531425,6872.551832902045,6582.344967153906,7682.09557671151,5791.014037728795,3515.2866144691657,6723.81215795694,6519.438568369448,6402.828290621622,7467.486557759488,8304.823454390837,7061.730608632269,5823.8233798441415,7086.407457061403,6646.9881570594935,7599.544233849915,6626.007254580889,6548.42524518953,5212.211994168365,2050.7418599602897,6748.2756262574285
9,6041.7748854045785,6984.342934184911,9413.11183334708,8192.670967007283,6857.3300689881235,5838.822708720751,3670.196585796529,7196.588305360842,7651.32446238247,8191.671933200225,10010.089101822836,6390.816697336784,9310.909529203185,5739.319826430706,6765.935266579138,8048.914866190862,8574.163898230585,8277.805307377446,5186.67484703593,9155.555501587813,9083.354041481134,6192.6129276179545,6573.229715026209,9193.886274555747,8452.296904505409,6241.0275621647725,9971.245356169617,9455.023518738033,8512.01910491404,6644.527188778886,9271.383429154012,6021.871423704653,9056.943106442499,5330.821709428748,4057.910376772554,10311.092827714598,10673.92543744094,8201.524158377733,9848.57956742804,7346.842772965072,6121.26059150644,7163.443506407119,7842.001002081204,8385.421374344754,9467.003618582321,4178.452814637329,6113.226749716018,7368.288844462342,5895.003053043359,9722.284923831689,7148.223231766637,8359.333765103,3820.2851612466357,6840.192691767077,5831.045376243063,7921.544413200715,9542.337934452662,8269.404532679115,8571.755918089078,9083.285238505352,8573.712162213556,7071.3851264345185,4538.217035684054,7724.873892363384,8089.069594928709,12619.65932162901,8053.913761916632,10271.305684289666,6485.97300127378,5885.26180077669,4616.7054598591685,7850.845423512939,5491.746783855334,6444.696043943636,11794.7786025058,11160.505214688594,7306.38453200179,9497.50378548637,7069.1675308315425,10143.658239653098,4567.211778896104,8745.756462875972,10200.94806629454,9192.738160926203,8713.556112166789,10917.12097113195,7760.368172712893,6140.999275557,8131.2383985273655,11917.840965461448,8137.16005247672,5815.942080284329,8924.44817071694,6640.474599690504,5105.153676114702,9673.55888278337,8867.92918309686,4925.676262129897,4338.083299585764,10580.019066355027
