hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2216020331575228,0.0,1.707311936195706,3.3628046245302574,2.257443499947438,0.38798060053018046,1.4786356426944507,1.4167000032730226,10.88501392949875,0.3888150796809007,0.0,0.0,4.220215157901718,4.223235045852243,0.0,0.0,5.010709344603667,8.07729301078665,3.503599898457149,2.4613322911250233,0.013294882627770122,2.9159391022711674,0.42336360703628095,6.020939914165385,4.650455597717459,2.7044912111135946,0.8921421576812756,2.901968611865351,2.39310026313927,0.0,1.074303318203517,5.326977136127277,0.0,2.717503680128715,1.3117369865819826,3.2612609488042827,4.477576223047443,8.157335921438625,0.9316887347907947,0.0,2.453584546181147,3.255350515743462,6.199384881802743,0.0,7.138870791202699,2.3530030229596153,6.431442014777875,1.0004949960451073,0.6418647403095434,2.071891074598571,2.726498041692094,0.0,6.604858035637685,3.615921524525941,3.5947708003542207,0.0,6.899901573843505,0.0,8.51888754535896,5.420007892963133,0.0,4.593156364324467,3.6746363320822715,0.0,3.6288216866076515,6.383543329179006,2.697021297176797,0.0,2.0619996956702096,0.2480579713891995,0.44833500997877884,2.6581457954393444,0.0,2.002852384941408,0.0,3.1560763302304,1.29574213660476,3.320255387261984,0.0,0.6792565247349995,1.8330708745781612,3.547607003157093,2.4975341753019586,0.38462154696652995,0.0,1.065322715297743,3.1134871887745867,5.444157647100061,5.539997149242984,3.696737607157353,7.482654390508558,2.425081035529949,8.45333590372768,3.078456119776503,3.100360826594506,5.27595465923525,1.6553254674621245,6.427432713389974,0.0,5.267991257821825
6,14.44457969524874,13.476219493435007,18.431987955346468,24.028538079094723,2.4062434702483237,15.996426917927737,14.299463850478059,1.457971852062327,10.775819907258217,7.308448016891862,5.202805213701812,4.341269853947714,28.849930401463766,10.16903474792616,8.811640391035537,4.095851176813713,18.7457054486346,0.41678521632002585,16.335216963808325,13.782394187950809,12.78935817444953,2.8999853438060876,13.670667086622208,16.73953175446015,14.789471948121854,14.711114277905999,21.77856796509021,8.163471290188548,2.639947569766094,7.1646356330398,26.732466728437025,11.676659983968495,4.1716181030169475,10.893181449782816,13.938277846612682,14.00861895829501,6.779921404791057,15.184893927719996,22.51358021898701,18.358552622716786,13.129276656208884,5.186167786225562,11.248771283158765,12.87100857990335,14.692884980488671,8.328178512291167,6.78452653025975,11.562648324580046,0.0,0.0,9.00157311909969,13.364023169850736,3.216410166964698,18.448381356431412,15.546985388989334,5.107678009371781,10.185534498156155,12.47261340679919,23.35040669063922,0.0,15.747609375397994,7.332273446950186,15.440155711140271,10.813672347177173,3.0780156062909567,7.798758422781754,14.176926640868944,5.729314731192281,14.174973148938355,10.725356720391297,8.03144243429672,4.962194543035944,19.671475047861584,10.712973883475431,12.420372270341158,19.686739163598126,3.138712808218636,6.7245300310988245,19.8657213243729,0.0,19.150016608699865,18.628595632029032,14.591744357058914,19.06854915407247,2.1102419483045196,24.169157929931707,16.23729598861852,11.079594402153448,23.892378360775638,28.916180239242735,12.762194109941891,7.387603963638837,13.571754875659282,20.000447985259207,9.33363338294437,8.846041587713545,7.691451401949452,11.922871581314427,5.200026716339335,16.942329071317953
7,0.0,14.36343189477382,10.786125492287283,13.869789130131409,27.06828727623094,6.691527829501032,5.05157018768262,12.035447997357426,3.506084295063248,27.089200764136734,17.535226664009393,13.635756234041645,0.0,11.52529623059575,15.138065478407118,13.103408273811993,31.76244978613825,13.793786379300109,20.305282067157577,18.11151709086464,23.441031419106142,10.844207848607294,32.12720972672044,0.0,0.0,22.035685639904834,24.317045748962855,2.0562971295951478,19.552858240713896,29.719810707155148,16.321307341429367,33.97587442447531,6.539571097214029,3.2818209998463175,9.443377772912086,10.956760958891861,9.954357357118674,15.312972172890465,0.0,21.156833940867184,2.4942654854286026,11.633300551368409,21.40048437422747,20.19824477276605,0.6361908244402343,18.773463935207527,32.1336511615074,27.062360998801864,39.93279976882776,24.916317143446733,18.58293554672546,23.137557415495742,5.440832734942411,15.84654708479253,21.55422538509518,7.073747616388722,8.360084358151052,0.0,20.732501734255866,3.7344218113286978,10.326569928349917,4.150658794847743,9.287070134405305,0.0,4.509769819193192,18.029655832750453,13.736983181345051,14.090113510445757,9.361188240316913,17.691067587055716,8.56227069583701,15.76711506836344,38.10407000154902,16.62908250009979,0.0,10.141590634770875,0.6742925165649645,11.999606238804756,19.498012832834636,22.773866030122665,13.994899776322187,5.89758141610341,20.548609684575794,21.417704438772482,14.713605923058484,29.889756259572962,21.145682052974124,10.595305017632763,26.931702176895502,10.593266939751167,7.845218886222052,0.9907794376769186,26.250993414574012,23.017556698481492,0.0,14.396662747083813,0.0,14.393465726631067,0.0,47.88013452986175
8,21.317230298355756,21.054945133420787,35.110612951742496,40.114856061088446,20.822835847952476,10.608954404627422,2.4779449276704817,17.689136580376584,7.684811760356016,17.84531913657595,14.55743901752503,0.0,52.41299227546722,28.752696532500412,45.69094471481744,27.681026108553407,37.15302055754297,40.03810380205892,20.494835870876628,5.098848864101054,43.96034641854601,0.0,32.3126493397782,7.476346156102318,56.063988866697265,31.346229753690633,5.384652525504164,18.043386906001338,27.690856344401247,17.996659750563445,27.1006669890738,25.10385187666627,10.028415222386391,12.343880418469752,18.8725510962402,39.731215034416344,53.57278196626647,33.76891824263997,12.975717515332352,25.328206121306536,24.0872406687305,35.66638690136947,9.722910236934744,9.393674976357124,0.0,28.967556533375266,11.50231005575901,19.517506203324906,0.0,1.4866798878969583,21.95050013775842,14.060637719294094,23.851298384642497,24.047612528134643,54.07891289785506,26.604207007051464,15.795750593045957,27.42190631322643,46.981838830783786,32.329971976458644,14.562923549679024,38.621122505647335,13.247807537933468,30.771491799463398,20.20057185094711,39.38907865554936,32.569621035535604,16.60695833700006,4.689252584220625,24.23352532452564,8.462360416857951,19.43433015294886,0.0,7.014903606112911,17.521779643820782,28.480094532050483,9.331602305597954,16.61354461039834,37.09803333523564,0.0,15.853579094492058,30.172316731256224,0.0,27.280391095552726,27.20002620318138,21.36172744945825,1.1449064573690677,0.9806217803675388,5.560863148936784,22.992358247570227,19.381081166155234,37.27281199900226,34.971286224853905,38.389130262982725,24.0379563881614,1.695580892898878,22.414086210646175,49.90281686609315,23.985045400162026,26.681364383251545
9,32.48900343162745,8.095057035504807,14.153624280750666,24.783594960115273,33.87424740826992,7.868415056024219,30.869758677968456,0.0,24.445418970719018,26.940889184703494,29.966980487339526,55.24768561614762,0.0,27.677942983271315,23.463144860104638,32.10071808663244,36.81765704219599,13.115561065522018,16.138697329383632,16.128907855608738,40.642280122488856,26.4441995383632,26.623512816589574,18.8841077474822,10.97143083949679,0.0,17.56043788785942,66.24489134488996,38.14885295059747,15.35748727756114,21.567179557196084,29.364101535305117,3.667805920778008,14.720907277868298,49.47702199658656,25.97208841405638,15.208113438827572,34.0856503888125,31.27836876735442,14.996946088372134,11.046836054089352,4.727096258052256,52.987510899689234,39.24347098114347,15.961344848483161,48.79119167299697,23.087306285201862,8.975115282718441,25.62255357416588,26.788230488666404,41.36303197512147,19.309402861332174,9.165701661045134,29.989214132340337,18.140194875101272,38.480454350727655,25.182264519484978,0.0,53.41854978833193,33.06881604190158,18.527048667815,35.37885374721847,2.951182768287236,37.91203352400886,31.854608773812345,28.084403024417288,13.176033895075951,40.674959761514415,43.80407626601161,26.837017937681452,13.726033079208236,26.369306317357434,20.959376478962167,35.6165811513315,30.42025087261061,0.0,20.271357589732304,0.0,7.919084442092807,10.412635562710568,21.985683832229363,44.688025714860714,0.0,8.11185228901946,47.844054251800856,0.0,2.097547411382731,21.00398984318845,18.87861833630946,25.05410506093862,31.96095279155852,47.104896804162266,0.0,39.60309316861551,35.63242269263108,42.8353409835609,9.234954850591025,19.430903529866026,0.0,28.882917250477828
