hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9.02571758533243,4.865198438281831,4.5476937482396025,13.165173199483714,3.0912049605582044,2.2378457703764263,12.245711421686845,13.66418836639307,10.087895150284092,7.518875768240097,3.3729106355078406,0.0,1.8844332145380376,2.3987816201670267,6.556684889861018,0.0,6.565487070315512,13.200215378634304,3.383459924265159,11.185737148582508,10.145249800209445,4.942394118819609,1.8624491882018557,0.0,3.665285000047236,2.3096137370553724,3.7806397357051456,2.7397037324422877,9.521330455382678,4.103020898775286,2.46390805677324,10.592652713215678,8.004676664333148,3.922703351539889,3.041311277450241,1.1822203749594067,3.188718666005067,10.821688055987652,4.375468093400389,3.361601623579042,5.924704902597557,9.681441234335978,1.753352636266853,2.600386467567025,7.709993487707614,10.192605500784156,1.7596198733727553,5.776686171742308,1.8129492661238449,1.121570583483103,3.5392942443184374,0.0,9.28461590186031,4.636190092040145,1.2416029377856495,4.993581265438256,6.866176324884772,7.2314630387902605,1.6755910365801756,0.0,11.591366658463544,0.0,2.638100285649524,1.0891067353429795,4.429111746144717,1.214677382731871,8.861751937469014,10.077754402325631,5.405712172859209,0.0,7.452606778643465,4.648509499569527,11.200426674212558,13.617701675509053,3.3208640618842247,5.681050014263654,14.680430254950767,2.5573916752211416,4.415943682723819,9.377583460605004,9.498152732062822,8.722221419414849,2.4936453803207277,0.0,11.290584906933432,4.211637639501734,5.644547500347123,1.8997852229536885,8.927387388052736,3.672632470859418,2.663122811621991,8.446583233181755,16.911369081510607,7.19565557104426,10.356530197935168,0.0,9.978182279661754,0.0,8.348630030030177,5.475317342100155
7,45.69560354127015,28.76108331207557,27.924536644427004,59.27685236425097,7.40138924333807,25.895882652270675,27.312089602749985,40.207816339069026,38.75585263714738,23.919507022307773,38.482654717806,25.832235104220526,45.33478593857441,0.0,10.654761750552446,43.068756436479475,18.96865547614736,32.035557756039324,43.14857437206429,28.800991400223534,51.19323275045935,30.816850734667778,18.124699455741165,26.217350927611548,33.5049792416103,41.09637314175703,24.907427495144503,41.04450779066731,47.84762998825226,19.92398499536625,35.191588416513895,34.254972945656924,32.27035547826373,9.275039679865067,31.57085023380543,22.735894870277242,42.45987802414267,16.270346477598412,10.558239911497491,27.08205922185046,47.03088015179083,24.65989842685303,42.423146384996315,42.17465982259218,40.24093370661767,43.2775440900594,0.0,17.06703464408399,51.131228425130885,27.991506068974555,23.18355637902174,35.95013595700067,32.228681487994955,22.206711343145024,29.851711132479487,27.176640637203473,7.861065765633285,0.0,43.8542427305893,26.833749346185687,29.58536119100722,41.08309477030933,40.53087291735882,21.280421857672536,41.892086835687074,42.56443804733949,26.66858065085415,36.16459497937542,20.110155594310864,14.393240957519058,26.895961162249147,19.73936990501199,5.2494795381384876,43.96519910409447,34.254985032874465,19.43346950830986,37.30790689372427,35.54462116594198,13.856740191426578,35.598630853866325,36.70991141223463,44.66555611830635,22.56145430416339,14.326799105907142,20.207670559750007,21.291595818484197,16.26803946139887,43.88009809140509,43.69080211719707,19.00392654642698,24.118631299922548,46.35281902337747,43.005892899341866,20.74522958847824,16.56589577293085,33.555600295177626,44.15322363752063,41.26258947563153,21.015852754930094,16.76413361313874
8,29.32559285640352,21.739180267058686,64.1612549818939,18.765486628343474,33.959510938679195,31.608681467453955,9.463214816493753,17.15345079022933,49.584287986449695,54.36098248255304,62.56824328710724,21.569321828670997,34.83484828339937,67.86505375279438,41.640420728928504,53.198489540212954,0.0,27.23180614104227,30.45967720332473,3.797861786061521,28.75808874970447,38.4416607683803,4.436084337342251,29.373447397710688,0.0,21.384976770713266,40.933565589626454,12.703971573764374,8.676814497347625,0.0,43.90867553097896,27.453791250746775,16.672812532001235,30.580336675964006,22.640334267138638,23.355434001507774,0.0,23.770204500726585,12.966752271726437,24.014118841050728,54.95237074582582,0.0,47.68001078662361,15.728131714218954,54.415318500397895,49.7955956954783,15.325344389564687,19.933250555255206,49.14933600604016,63.50592973911762,7.374691792729184,15.475819678564136,0.8300418675463739,63.31126315021237,21.070976425230004,30.72387079465737,47.97489087152243,17.20145784979049,27.24644820784666,29.188680789139298,23.752915306058416,28.783251819377675,40.20458518223119,6.0048141237762,22.369248231357574,28.823389432012085,0.0,23.46496405120928,14.402010023179422,72.36009552574227,61.00323784571698,0.0,0.0,38.816871326960296,48.2164722329095,18.950847993802263,24.92421697839283,0.0,35.035295125453054,3.7547434410778635,48.87082430694157,25.98245704197102,59.87482697213656,64.36855599400191,34.735982814334086,35.59207706155555,61.72098850076601,14.946876139187797,49.02562498737947,42.61522767469216,4.530957170486754,38.59733675553513,39.66627810718675,45.9144376866311,23.332427794775718,0.5255262507664575,10.740112627591866,0.0,80.67943504306903,11.56884130670112
9,55.18365839365511,79.1009846871149,35.34258563544264,84.72465110419034,84.63842086423011,52.96135898905431,12.011984314491201,41.42314676408493,0.0,27.681095915345715,70.41249747289632,34.195769734534124,12.845851855590034,54.786934607681054,57.28025125139284,67.49100204108086,0.0,53.78077289153755,57.35492265599913,0.0,56.917748493755084,77.85391979987136,27.474899134809608,28.416655671857033,36.770616580978086,27.516220344191833,51.1960165888021,9.157485179750871,41.215514890973644,19.26677466121924,22.627844582874424,67.75246261059269,21.080077828095934,0.0,69.5631354412752,0.0,52.79133700065895,76.76027595036257,7.004398746710667,38.42936949272395,0.0,64.43629194533422,69.26091582084148,1.4965066104747606,12.648869108565364,5.001139925539455,38.62607268821934,55.10471489214248,0.0,40.34943899114977,11.924786071793516,39.22807617716498,69.64237130369868,0.0,19.604554898025455,62.92578115087194,11.182955537554001,67.37408669246797,37.3208687468913,23.336565422040835,26.317753869705534,66.20792797438335,42.79250184187383,27.21938139339744,76.93646179381051,34.49992366646114,58.673697329305156,33.4437943721038,50.12320960865635,46.704903337141616,36.6001919351488,0.0,90.67583450437783,32.982280199092045,61.68554903159186,17.24216046027487,55.78099004440166,38.974667632487204,11.852579676844293,60.29138505813188,76.13656457385021,57.18917185506273,28.827357754413644,42.77880062811161,66.80358652078391,77.80479102135634,43.53977058707216,14.966745786257345,29.794603903256238,52.578041531306134,17.762821437786126,62.78283128630481,87.96092615020783,5.966699113272526,54.71301511871896,45.8980913176305,93.88106352467747,31.13375241077444,2.257485845609615,59.292185228379985
