hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.014873175315038692,0.04338627535064338,0.13230972210171227,0.0,0.17020834941924057,0.11129874768328563,0.006283686825373544,0.062183483905810306,0.0042078486718677005,0.10578926170359768,0.07141037424645869,0.01165653047544992,0.1305911543211698,0.16367739939231174,0.16469921552237093,0.0,0.013365470738268805,0.02944939855129304,0.05648101191164415,0.0,0.05846457837505552,0.11810043063991127,0.13002124499113824,0.0946561450837958,0.06393783560889617,0.0,0.058530570852950006,0.0,0.0255905325861141,0.03554476769009144,0.1830816541236711,0.051340916038287304,0.1020405799759628,0.06719470491435087,0.15432889754135287,0.0,0.0,0.08846672455124233,0.08733560579024932,0.0048597120242588054,0.05400994981808087,0.08904832455980656,0.0,0.03097389357038334,0.23782869715779098,0.0,0.26192098108687845,0.2074765533146871,0.0,0.0,0.0,0.10762969100841593,0.02611537242316264,0.03761224602596712,0.13671290454500534,0.14900137559577217,0.13010997884022818,0.008350268844237854,0.014385170333019254,0.05815597463506192,0.0959588569897901,0.20285064626383348,0.09127337917319761,0.17268395345673926,0.0247529629005544,0.0,0.056417334134735556,0.17459439819907246,0.0,0.0,0.2208913269778356,0.0,0.1500340518907712,0.13372260584702683,0.09273676047942328,0.10117168609726793,0.21785982337649032,0.18521814135093043,0.2054342064169692,0.09859198654795856,0.13759629416621716,0.059743521481302464,0.0,0.0,0.11149610659861844,0.002631847656664632,0.049027131870087635,0.10614460319550885,0.17257328351046863,0.0,0.0666762815550199,0.0,0.0,0.03185874462103598,0.0,0.09266468196867575,0.20179577325433476,0.0,0.2684592972307971,0.04123197219212604
6,0.08526743147024476,0.23591318511567758,0.290139936944104,0.0,0.0,0.398241234824716,0.1922216895644831,0.20593086460821788,0.2692062262426072,0.1746101964966311,0.24932973921138424,0.12107828927536929,0.20008975881690436,0.36619824283841773,0.4215429637416963,0.16098192287621987,0.3323694393545797,0.0,0.06486379967098485,0.0027137916885338342,0.0964525682876331,0.07212689369299877,0.19591566390794854,0.2686338367094304,0.12723901411515073,0.1520383576513054,0.20547315689762333,0.0,0.14348944662819854,0.14656376027460133,0.4595810983818076,0.2511997581212497,0.16595599318458257,0.34837858854022463,0.13448501210150815,0.34116266512480736,0.5814030885036379,0.13521515350904262,0.0,0.148908563843225,0.0,0.12586017756210213,0.39874472902002284,0.4526443492672868,0.1390585488038621,0.32562447882119605,0.15953379799995654,0.22818819974488416,0.6001264646662949,0.049896552872725874,0.0,0.12644333505873911,0.0,0.0,0.3170954623750387,0.22016917808802539,0.15386300485460108,0.046806118964519194,0.2726494297977319,0.43528706655309174,0.07334756334684642,0.32204545065821455,0.29787018104207935,0.5844761452424008,0.17049867071666316,0.14406039229651352,0.3823413194476199,0.384453423242631,0.6405411344641262,0.3743868136569568,0.21223228428199442,0.5637769366219102,0.07343218166864166,0.0,0.7282253519389021,0.4500849356341569,0.07190300528829449,0.7085715165844971,0.27686388526807626,0.36020964052397086,0.4177631947598511,0.3116421024095253,0.584416109399887,0.6197381927691221,0.40577975605696504,0.0,0.29369853315950334,0.5752240589050968,0.20147020802851007,0.43108297327213174,0.2510002950553939,0.07259433373290153,0.21159863952992716,0.5405436951551648,0.0,0.6012045893747108,0.2175717519200233,0.8505176318721557,0.15458052693982247,0.32058723390268373
7,0.6280176380129283,0.5536117341717518,0.36475902661581,0.0,0.7458258716127377,0.3185700612983241,0.05325767079970489,0.4571957351934504,0.023378808575389376,0.7347884157158843,1.0183197938591475,0.0,0.802535948974459,0.32522252037099647,0.21180756604796794,0.025738384355281918,0.4804038943774851,0.3615727781750807,0.24399813585027136,0.0,0.0,0.7263256578334585,0.7477414964264399,1.7084757812754918,0.84673771934667,0.5201508010179822,0.0,0.0,0.9653195064624509,0.23116283100696833,0.014076905287261965,0.7536637177884686,0.3974935892680314,0.0,0.6243762644468135,0.5526895943041743,0.6651147653001197,0.6326091373446641,0.17220437007082257,0.5179921832991501,0.3654035293979238,0.3027939208510068,0.5546816602469905,0.41444523487935386,0.6092977762706511,0.419215602090244,0.2625288797005681,0.7388049263322092,0.7645025011601286,0.8682120228900783,0.15821891448900754,0.06691281179684627,0.2530924649631697,0.9805404721772818,0.8642714521868798,0.0,0.5116195840975523,0.7884011263429259,0.1834226037621397,0.056125412553575005,1.088758245882957,0.7304275558581798,0.0,0.0,0.17156213720723007,0.3262755723970714,0.6480311027959389,0.0,0.47946360390939485,0.19328630999243884,0.34177031548203646,0.8302575388667441,0.3852744304671145,0.24387083712869692,0.2519248498181812,0.10054477456054267,0.0,0.12169202956449343,0.7657841208651256,0.8510539341353258,0.10926194138647316,0.7478205021592446,0.0,0.3068908798126787,0.5540715007339384,0.5824246490009541,0.754966404766749,0.30157759828936004,0.7276517170425135,0.759781717850103,0.36959860079281304,0.3975187731129219,0.7004355305100207,0.679919872233474,0.5595551803802621,0.8752769286879218,0.3324764322992982,0.6873152649815356,0.2038048036933179,0.2552389023070508
8,0.22745913853005695,0.8906847947245655,0.2574150030176676,0.4756129316053831,0.03414329336835675,0.45309155252255884,0.6621786645703901,0.0,0.29630483837769467,0.7286044737440183,1.2752688534169723,0.8053037956603012,0.6580525113991104,0.6422754079048941,0.32994295662512046,0.2791149672136921,0.582933077291808,0.16808231059989448,0.9114137591507471,1.2477455056409146,0.11790267077261568,0.7675280943236477,0.4744140847331084,0.3653926806530261,0.5861353191962162,0.39454182220127054,0.0,0.6536006550728238,0.23009296125284817,0.6380251082762044,0.2694753340374561,0.6947971566323374,1.5311033109708734,0.46481731341649546,0.449013122794078,0.5684312565313968,1.261681191713252,0.5547208539162144,1.0275352037084127,0.9602649259509779,0.611482260744526,0.7338604568230727,1.033432586760357,0.45420275037931246,0.35555462479524513,0.6010300290261618,1.2465238022760596,0.6905724165668126,0.8260181210173076,0.32710207112994144,0.4290610510214368,0.9860934062286373,0.07041413292941234,0.8682266488822756,0.710534313614576,0.2646132055546631,0.023321256653204503,0.16108733237813194,0.6098683469623112,0.0,0.376793773175457,1.518470869821084,0.7006095098368864,0.3398472698804486,0.7437150491585193,1.0326640985635054,0.3034923918914362,1.0134517420203064,1.5200611404753128,0.3013153743430422,0.5875547285324535,0.9830897736598365,0.7562928192481077,0.29646298783164365,0.21843510567223962,0.38145552381231534,0.841080932691465,0.5687905858317475,0.8423244827364009,0.7747817541516899,0.6883128465717849,0.8946824867573535,0.39103257045778,0.0005409833838954103,0.9180988683046166,0.8106729506268856,0.8955450658512691,0.8355260482241027,0.3696558013945076,0.1169168822115621,0.9174401832887285,0.15119346256753402,0.9701928706962701,0.18400327744881334,0.47836445359386304,0.8392358150924091,0.49836902896525415,0.9762692582987229,0.0,0.730035063438984
9,0.2740395403022788,0.20084658363242797,0.017563795837092555,1.2931190943764315,0.1347700540860538,0.270081823981679,1.1425966263808653,0.5298153278359296,0.9167976744749665,0.42000976707790144,0.5441464426831234,0.8029795410070029,0.6148189536147057,1.7568989534052144,0.355567604861706,1.570727888199426,0.7533423667919485,0.3396072500237693,0.6341199395501431,0.0,1.0483435689071565,1.2620379381579503,0.3864254750977537,0.6416266016458382,0.42516937519785003,0.32039024186155984,1.387137679684559,0.7308541441071172,0.7604317177814597,1.3799450217420737,0.8381798578908406,1.4046062479020516,0.49761531461428193,1.2171444294197076,0.0,1.0880702743544937,0.5676005939058967,0.6483049946444658,0.5736487670548002,1.4937451588388702,0.9182570018160188,0.26380831195981946,0.32279371306416277,0.5962657377137546,1.2182828868948667,0.7404690659350441,0.7784219948557568,1.328935624490911,0.6030234942046183,1.2087196146442905,0.508654733765547,0.3244753107380882,0.4108928562083355,0.0,0.8825640434683799,0.1040101353244488,0.11357475664246852,0.27499689947383843,0.779790876818776,1.2244495820856354,0.0,0.6748749664068803,1.641343850174445,0.21679762729361446,0.0567252684684848,0.7093675649090683,0.7480039780407004,0.585188495857556,0.8533246490738613,0.13776510717121515,0.0,0.4031530519834722,0.0,0.6147304182457058,0.7773394413734954,0.2156008913144411,1.0728731207530617,0.0,0.4165802580118264,0.5687740548124257,1.0845356952354193,1.0933508583643028,0.42421018359037915,0.010376293817762283,0.26446601044012236,0.7265165483392437,0.21928031052161218,0.4333385879499817,0.6766558121595982,0.0,0.7981029092115214,0.966431560916585,1.248457763290386,1.4840908157198016,0.4444359291836357,0.6299989498890168,0.899809748089959,0.31569829231153557,0.9135566504871947,0.21671672790134383
