hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,150.2721573571021,0.0,33.82253245021563,7.713904440437368,67.02212367570667,128.18221803264163,50.17161612114344,5.884519979477368,31.53269784218646,0.0,74.32658686772123,25.274681714030024,41.747662014840664,0.0,0.0,142.81691243276362,15.282102594627602,171.96093608098687,56.359962773897045,119.34048510937579,41.01122639815514,106.69813264754185,68.52713313201727,0.0,0.0,86.22095756281954,45.62826923095445,136.3885459246767,6.646780137466095,40.87486555630856,17.082013452082517,67.63199945138601,108.3734304755933,95.07744706380669,7.0922460027726615,0.0,0.0,29.716572458469667,8.596230314313047,0.0,92.37284956162469,59.37531720601186,81.40962200492177,48.53257062854595,72.65719803612406,0.0,16.779449013421864,80.75379210621948,23.482256449489253,101.1792073227667,31.113722981117764,13.937795585344787,96.27825748234983,116.70862100642307,2.8195941628885564,78.09393867715008,0.0,68.03391783597723,122.05305246523483,55.174359066013324,81.56238327797264,86.38610298400692,75.53490610996047,0.0,36.79921827840003,40.176549274762046,63.22383881129597,71.7966596552478,0.0,0.0,6.0630747238958875,125.10405480891755,128.94645985950444,101.39535207388994,118.83713551220768,26.884650466328086,140.72675552967962,0.0,34.80412706283839,36.30182654501129,77.37892404429854,68.73834465411427,0.0,145.53691272214928,140.19699172118914,37.60402793692869,37.25666927014104,58.10743890981525,157.83818783997162,53.26078440343737,19.25460238820606,44.847082998879806,45.67286736746008,34.8744218790116,95.0103914964013,85.23925821232373,105.76599239201298,71.33393188515757,102.78539217194503
7,355.6485123253576,499.7980877991382,314.9930079446856,149.6521325609575,160.5223961641988,217.57972708208584,168.32033699817907,278.7738757653292,489.9459514423477,399.673246467183,297.98113029829153,414.5955986414637,209.98412390461948,477.56951301574986,124.82013964994167,386.7448287876665,453.98745105628126,606.5636589489645,283.7766990173702,294.48283986060585,252.02719743057867,319.4514776177515,384.95285465694275,315.63539105813055,345.1106940454155,17.21819772357304,441.06337442469913,320.8369413156856,289.56112686438235,344.69964421384617,283.955322317195,325.3951611403274,298.7148889164768,405.3788748990996,116.88486666083344,281.2055854095735,318.4436841616672,305.2564679511829,452.614227593664,366.7954339591232,492.7188794944076,465.0093745162594,456.4973728616154,455.3032531551295,245.26331333259844,287.5391532715906,397.12077124079565,99.80621452422778,369.1002695830569,149.91431709216482,296.49181131132934,216.93238857710062,255.2656488783006,212.30780389358006,349.4935102618154,399.4899102783698,489.3101899166435,155.64024618069675,382.9243731742319,379.3429999503748,289.50478356127525,140.30811046396383,279.75117849291655,472.44919726142655,310.40340755374547,653.7243401662561,230.383241252936,100.20111758635565,306.96061419088835,249.20558278699235,417.8164778654896,175.34881519113134,374.2085963965288,281.59752319030724,362.244863635516,502.8768549721624,299.7980850030532,410.04116387505684,422.0723484937182,198.19339597030157,297.99908955130786,327.2402908796346,382.512604915383,492.80114306745895,347.1451397045603,606.5581132558477,117.0049604196333,243.16297600500292,358.7957572690641,320.6918964448365,253.53617209383296,289.8924502258528,285.19971777457795,259.704313515339,303.6785732984965,233.59227952178918,454.8828886736528,485.1000869193756,354.06357274940854,0.0
8,552.3021744081577,621.6463356093744,561.4858664026616,804.8844149368432,718.736027293699,454.23921522380874,623.2400280305426,1012.8990150721595,548.2908287634125,376.43401758911045,332.4770458217132,353.5972870076737,926.9816689622805,693.5049385431628,740.5116930507336,378.7206755711436,641.3593788181241,772.1293649388978,458.20031061277604,379.41867972174555,537.7966838497485,561.560544081667,970.8981849384843,705.4332329806413,392.7074308934249,698.1727173180054,605.3812582760643,651.4049734384583,700.272159633749,598.8323050699561,643.6080469022085,446.82869766880765,404.66511405271706,451.7492487077502,576.9010796294862,890.5597739755385,717.4887708533334,371.4042082196122,820.6139336624045,416.5200038055915,1103.8322790077116,737.5706210679327,679.2338308961722,333.76269007451623,598.6369646045637,466.06791922645186,555.0722456305416,174.80730752583042,383.3243829390715,40.98331406994521,734.4484790091142,400.4295402686573,472.2902683055341,837.026109752298,625.5672384783597,720.4266286208772,415.35817778223543,542.7934103113953,574.4517639249289,658.7772202577586,860.0893489487963,671.0908138232312,589.2963766394364,944.1929722832274,615.9187338377984,649.8353244540705,334.97516584229544,515.7982867975969,605.5590875610282,670.5839701001958,523.2290360763018,528.3302238690683,437.57249698271727,418.3417903589392,819.2722651092521,685.188398813637,906.1053571367088,1130.948582254321,721.6889526609168,947.0909445606424,731.0429206869527,520.712280602911,732.6285109482868,537.8155391912125,465.7680600609025,695.7644806529361,638.133050427538,636.6102095889441,1073.9283328367032,767.0789906936249,608.6630838143396,676.2735515462473,602.5832188394171,743.4959096645646,733.4441624182725,571.3100405138189,739.5211520368633,505.6736541461288,426.3372412532422,416.2465588935476
9,750.9864515900128,1192.686796462309,1128.9127084347554,792.3891001228095,891.7305646331159,960.6252042848955,826.9218201495275,1079.299947476996,831.7132211533857,643.5028728151144,216.5551551458459,930.6420705674719,599.955969752955,653.1223741467413,673.8150460191539,331.12607733035514,602.2804983790458,947.9893284244187,753.2625079305534,430.3147962237596,524.4061974377698,550.821216129618,1049.5332747926313,764.4126491629444,811.1382106375527,324.04939462060526,969.3480373020797,591.4583840242519,943.8267848583429,903.9030012034596,261.2211242529086,157.27172570426194,375.638106021387,727.2933895653215,902.9538803995815,950.874735925889,715.9503391512872,1183.159955555888,612.3606803541543,427.89997585896987,786.7547744864382,838.7408397411698,1188.2058474426742,711.8706100780864,856.4292920605654,590.7028137698667,808.4850935405985,992.6584724401077,1096.2686394886664,723.4008658224668,957.904803991016,318.7587993941533,634.0882172530198,506.85276071877234,1015.9745601002724,547.74916430147,658.6785686490161,629.2869665184566,878.2600891272887,457.38246370610756,738.1621245454324,517.9719794632053,727.3296678540056,972.6436756395065,618.6712456005602,1092.1483407255887,843.4984772510622,775.9791747876252,671.3961922768348,1156.5961300347353,937.0397252569189,1042.3160782949028,750.5145671489639,1052.4312856088409,749.5365624861511,827.325051472461,357.02908930568236,1402.4290321288668,967.1113779251143,1226.1511427131757,704.569023140783,690.6145555838324,1032.2633690263863,1332.805267942821,498.8556205118231,951.9258722351171,1250.9889900604935,297.48423449742535,397.9182631766874,844.6746435254754,668.0434959071343,1190.847578288959,907.6410754347014,1047.034396956605,826.9602356629334,520.8741919873946,1005.8861392094575,1406.0118481173095,759.9830764626807,1134.6686210744106
