hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0712110291258029,0.2479100376816877,0.4473751945571891,0.3335645051911257,0.0,0.7340253310372533,0.25132254514593577,0.08611393171903176,0.0,0.4924396451611752,0.4954095447717468,0.5931095401511044,0.44517005813679245,0.02654159010498508,0.0,0.2840582828290889,0.32268983329905676,1.1374399854395996,0.44889219771792366,0.0,0.6234316174000742,0.2529754600744743,0.5633895057256035,0.920498102016926,0.0,0.011041861752620452,0.24579620493570836,0.0,0.7992372612129455,0.3216186133406157,0.8267517600400544,0.45835081466584426,0.0,0.23310521380092852,0.12459379653042171,0.13703911729499313,0.0033496608805156924,0.174634995742396,0.1021789874459397,0.2743440505224639,0.5994476917047453,0.7427958617171477,0.8339858185557167,0.34814200860636163,0.11800106046820516,0.5730438651869478,0.3249075128038042,0.6612728485191809,0.0,0.9888347292664394,0.32203464310723895,0.6900450967980007,0.8330864561921412,0.39093692202349206,0.4790200030721342,0.8621730440319212,0.19330190911210834,0.9397748858732953,0.2001531247742489,0.8050404514936383,0.23966564588734368,0.7193800446093455,0.5902478552005979,0.2453012164137124,0.6562596803588789,0.07671493772990112,0.0,0.0,0.222592048622413,0.4356279684935551,0.3155688095883244,0.26995097605064283,0.738653370722798,0.11453050336832182,0.5306814440149834,0.6607404603668959,0.22047675940170347,0.0,0.8415244558420008,0.8699700576363789,0.898707257880335,0.8394781420717108,0.4338921127772878,0.12873407856750896,0.08752821980328285,0.4711822323833719,0.02420330456402836,0.22827178326814937,0.6812977859044449,0.4450381147268183,0.3082134242256106,0.8767772808244101,0.0,0.26975932236949796,0.767791894861831,0.36478417386834405,0.024403821865460917,0.0,0.6082115204281942,0.0
7,1.2179958373000883,1.9796399815123207,0.0,1.7714450779412452,2.7303649643034573,1.3314206469572119,1.0119898963500766,0.48543869448460675,1.2420001247074837,1.4729815964056616,0.7989426262386322,1.901784425787862,1.6885664005246652,0.0,1.9368601487746993,0.7440179991703707,0.9757452675769436,0.3246624376137389,1.0288849534724327,1.7929550160827716,0.9782959848696426,0.09249237659957799,0.44332983044831464,0.0,2.0320520817143994,1.3232219377813013,2.8120916036947956,2.4209558693723734,0.45157065739180124,0.7227479297850524,0.7096039260089111,0.8216366174082961,1.6088734450008972,1.5420041515404426,1.0458533170003832,1.8896740091549311,0.7400044739334548,0.8468471419549459,0.5097898569925438,1.3212689861242433,1.8495485725708503,1.9864442924628074,2.9691898690950804,2.933405991912984,0.724826598505169,0.04798452781436824,1.310505559307146,1.735257302869001,0.17767203398949127,2.319415124801131,2.201527685204507,0.389457929622103,1.2661984762917282,0.8402331771101477,2.5435209949122664,0.4054240416806203,1.3789714612601975,0.6003779376368318,1.5540299662790436,1.1579672146942503,1.1764621310687837,1.5708911392905558,1.056163873166518,1.2549015332773723,0.5727763061835055,1.8449824943572337,3.090556235264648,2.2534775003865644,1.249048687019038,1.1024873838540767,2.206664452330066,1.1148191291224914,2.3455001617004907,2.2634411781063064,1.2843761115794843,2.181757175836904,0.36198394720978955,0.0,1.6398014536727032,0.0,1.0038991904431942,0.0,1.0945720119252025,0.3379470164781756,1.6976192005613944,1.5754869030696899,0.42398285124672686,0.3182371992676989,1.4772325462071185,0.3818138740589898,0.8701571651478262,1.3400807464448679,2.215406659787577,0.919464312735684,1.6509408716351281,0.09172305246423607,1.8365752886423985,0.2224703355410509,2.2677676899992214,0.5142045311342108
8,3.707123618196604,0.992008475197792,2.6972839524871337,2.346129070143985,3.4060643096378493,3.296856572084603,1.5997418048691534,5.207285257970321,1.5254404372240928,2.9727590893977025,3.4037203205848825,1.8542134834587536,0.6808273886335003,1.791760093815392,3.22551357204264,4.121668524939889,2.3331015619800324,1.6886534768078123,1.1911644808429338,1.7833461370608876,2.6800371973937107,1.8385926709554337,4.2374668117494485,0.8191934706851507,2.8996756119852014,3.779624137889935,4.229885448429769,1.274123314438865,3.063858131549008,1.3719913638326178,0.6588320543511386,2.1673279345348724,0.3132115003937459,3.301260449417854,1.2513054481748227,3.324511121687669,1.926711845611289,3.6788624071869047,3.5978209084087607,3.364783589235017,3.1138573330877697,2.2960153145194333,1.2454869866570897,4.9979567230766495,2.9568151598989085,3.817347139569061,2.3504894326455306,3.016261880150698,1.830162027282179,1.4978993296210943,2.1225830647584747,5.503808950512406,1.877661557157045,1.6621128002561216,1.6754953085198356,1.8305994110663462,3.3973621936189122,3.8251612818122958,3.368800208278958,2.4724350188911264,3.182653223533514,6.771328276480267,3.395469770447455,2.7660790359458542,2.5727346258998334,3.5256432936318234,2.1468791781457006,4.099128440006085,3.466153198670956,3.1292877054629593,2.9901132281793554,1.8093594333891474,2.121530756550002,5.13324369136402,0.7884138679552914,3.11441873208889,3.006741815958292,2.267125371359975,0.050051959192311646,4.1488402770764194,3.682270210843391,2.573758385523538,2.1008417790648357,1.2337347480783556,1.9330208072423907,4.911406850005598,1.3355583786436016,1.7015418680781629,2.9812651212036543,4.233167744337816,3.1643848756857107,1.8091262880665953,2.474151500418693,2.2655816223837513,4.280279297067853,1.5163796888060974,2.0319716772750684,2.223647155341214,3.3312006268067416,3.994588624686894
9,0.35921644527449526,1.8795473928067588,2.4201997013856156,3.366255079512842,1.166805512897275,0.0,3.0399157168177133,5.2631688445087965,2.2868404959426583,0.9147559359159314,0.0,3.9045019268178995,0.883702987805609,0.006340384249353459,0.9959649659590633,0.0,1.464386728400641,3.061444523846179,0.0,1.918427253204917,0.9331198306022038,0.21148292356057685,6.6936121480031465,3.4753346960943157,3.25995099939447,0.0,0.0,0.0,1.2147121007297736,1.7929530080773002,0.7870056062989965,3.5558381345201875,3.861957056329995,1.3512942128763332,0.0,2.286924240891431,0.0,0.0,0.0,1.011515554794014,0.0,0.0,2.14445147952994,1.4733181324789502,2.565985978261591,0.6514193853573296,2.8689990536992624,0.0,0.0,1.492447386141207,1.0210429182809582,2.8685169124032606,0.5634112206899942,0.8099880762905507,0.9940734931695087,2.318166738592423,0.3664998008449438,5.218991023827424,3.82348676454967,0.09461441166137008,3.085599844642934,2.601901586026835,3.2007395366056146,0.0,1.1194667643613305,0.6908859490697823,2.2567763123837263,7.111163253588526,2.9822594003157956,2.9976747515014477,1.8250630825374146,1.3646931101112099,0.5127158700809251,0.0,2.5207295794147893,1.5247998152069042,1.458577777906167,1.383923565579951,0.0,0.0,0.0,0.0,0.5334305404398665,0.4589173770695705,4.297962825879641,0.0,2.3756579691073254,0.0,1.1078352262680393,2.2079736043331737,0.13054526082862705,3.0058503652925905,3.622959866613215,1.3167390627372115,1.2194277086247431,0.0,3.924062823112536,1.5286375271594352,1.592015746390623,0.8868417175042455
