hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2570674015047016,1.5193577043490931,0.8818322004084871,4.561392872889161,6.218315004114221,0.8665009103662766,1.7912807614266455,3.1698911754354238,1.5625708684154263,1.7403472518502445,0.7261098576827694,2.8425289230984876,1.7492620714429987,4.014704619355401,0.0,1.2314898898571545,1.8013872523616041,1.023192193579543,2.80452518332792,0.8102059266168273,0.3637073006992271,1.9349407131361889,1.357817612580435,5.062319705388974,1.1953296380767577,2.595441525909051,2.3149923257858736,5.826983097319447,3.9243550973176284,3.1902677134739514,1.22192705817747,5.963679987627961,1.7853388520508287,2.5993428345756975,1.434392480493878,6.367491359309409,2.5397950162720817,0.03827462659222336,1.8088909794796155,0.0,2.6062156413043294,1.1363758837087428,4.682277303855239,0.0,4.635688518237674,2.0977736571408054,2.575454378633204,4.362496737049156,1.1078691430554297,1.5741115968285155,2.3539736630207932,1.5277408305115638,0.5635514107401456,0.0,1.4303667706942527,6.226081792572107,2.3660236816418787,1.3762475278036566,0.3643806505208327,3.8516112901761526,2.5707023483930818,3.295983974783913,0.0,2.6315056007256605,5.2672599593781495,0.2738830412040978,3.590880721331917,4.77727599727367,1.4856704170274626,0.9777749562011191,3.10250235941328,1.948771626358813,0.6003474675994245,1.166525115946918,5.22459875505076,1.3196681725309771,0.06133657922557445,2.68552309044653,1.8097668225716166,1.536847186221658,0.0,0.0,0.0,0.07304358548397127,1.4539862269359545,0.0,0.8726738636844353,1.731921136459345,4.055833042602142,0.0,0.19356611571114435,2.811617800841088,2.7649110869786915,4.32570682357785,2.4588832211329237,1.3729838611777945,4.757454669293461,4.761228642895453,0.6844691396090952,2.212391948043586
6,1.7917271119417677,6.45242491082929,10.536223335390671,5.220487430097076,11.350629312025564,12.206772665311242,8.847663270897133,1.5251955132327861,19.44960849853603,5.631637966164432,8.165726632959629,11.757372898228857,11.506150113151055,7.170222292901418,15.089283257483153,10.595641516322052,14.729839067767116,13.170047476536833,14.6023101092378,9.834990603739078,19.816708144770807,14.507573480832216,9.995585433340905,15.565205102913694,15.669477264042415,8.668222614767888,10.177363925934166,14.92112712330821,3.1437550112370376,12.641784211339466,4.498170990380321,11.544979618658546,9.997650072764138,8.532187229261668,13.507616342086195,9.843358889230675,7.2549269611345295,11.258994082802648,4.131108836505878,15.931791640019238,14.896176700703567,13.575319291347117,16.10984947955315,17.843122609606837,12.645280173389978,8.1025250538229,14.019878996565646,16.60818263601767,10.903777229768767,1.035092345794002,13.183105408836845,15.255260515884984,10.62847785573562,9.33315833608493,15.072424982498251,6.835554366971647,6.407378925005884,17.47605901849585,14.354707072108567,9.07004349806055,9.911534576679912,13.916133524387403,10.814044790555112,11.954355122597677,5.8453210031757505,4.079608998347174,9.139347631217225,20.78416341023671,11.965385831657851,7.730500454584776,14.080960936398009,6.682565765505638,8.476697481412856,10.277074564887553,5.568642553506222,12.329889145540193,5.628314050372866,6.15625504772737,11.06811235040115,9.892584509375409,12.848599383381789,17.34319142941128,3.740315910369114,12.134643531454762,3.7192309873345764,15.7647505282667,9.288068910998534,8.742452081723634,7.6149383419782275,14.177458797869138,15.20203171755125,15.10257696387599,8.271607248541546,16.216553953079703,11.793656344446708,6.9471784178577245,11.799157445486438,5.541972458265207,10.198851363836223,14.183389083013262
7,11.927877730824942,19.11252267127016,24.08007653687089,27.2202658747209,28.09129787582692,18.78803436083807,11.595212482566385,24.10457911407478,15.677301618046561,28.12078134266985,8.04480606232963,0.0,9.487849789727056,0.0,17.674608613879776,28.981095316237415,30.286597106983244,12.621794998955654,46.25420282003698,0.003788355785022901,15.591678414280697,9.141625097159308,34.048787488124454,31.853587599397358,18.914386280809012,30.478661890819737,22.598085838033608,23.627188054147236,32.62486583730783,19.10754625750985,12.771503770568762,24.55034237299576,10.722438175766156,14.972311494701533,26.62235042856939,25.2848487152687,14.188465140500053,30.128561618747913,9.123609659058738,11.461134770965705,8.212767904027011,0.0,26.657645094581213,30.963692824208813,29.414709602192247,26.33244084701136,17.837813997825492,18.150068702489563,24.831894379084233,5.556388700020291,9.441981291288235,38.408301981971185,27.156439628818603,20.62217556394315,16.885926816267354,8.690407332091699,18.98683803428633,11.5563005591798,36.753331216511555,13.181743982815888,17.920872220379895,33.86018747627448,1.552936170472588,13.019322912821966,25.483617075427034,22.487537658896933,20.79563051807016,5.928009913907992,14.927356766287147,11.028932230619812,20.4911674984607,12.99489038814157,15.10379812276026,9.380903113107772,26.261659840261874,0.0,0.0,0.0,21.527962551775698,17.489929557590425,20.998419074131398,21.723304532436696,22.566668015334418,29.058935758077453,29.919800774500153,37.076563413199,19.877560915325894,0.0,21.146013727142215,5.478309535779653,22.374209321231966,11.516717130167859,27.924610646498497,20.86051635680354,37.16364833675165,27.55950447556603,4.152777738734375,15.592963141884384,24.63877234903127,7.564652730520615
8,42.46238484420532,25.84908245265941,48.28713147072894,29.391539240788596,17.531751375381916,16.937616412500034,22.517160176423413,49.28695584070905,13.317906259115885,56.96839401603107,36.20719635196725,4.723310893113155,51.17124955674997,32.800202867149316,25.512551966705054,10.397878270141952,19.931773623467844,33.14318700189242,72.88649297032566,43.93762119974323,25.577924315700646,55.14179798360326,40.635214408387036,28.00346982498566,22.531773859489952,52.84976146809967,35.25925610115871,32.25089551578756,48.09554385749115,27.85097709680305,24.234672003350095,15.759902664212488,75.09869842050732,45.86670696226325,9.550307128983686,33.11324547812403,52.35530012452426,32.428217163738545,47.85735984454611,0.7196502922317265,28.550735241777893,18.194476537270432,47.547445994823555,58.21676594205321,0.0,16.417388436723023,5.255368928967329,28.45956259043919,25.914636809897218,40.05443444912108,31.546782170825033,26.295787682575384,12.419860729843395,20.922766996431527,21.04064582571683,19.24332319868738,18.20716168052693,10.45007538889007,34.838893715564154,0.802823502185749,26.57220300970278,15.45311946793622,31.47416007229218,41.132453564771005,15.759797022245946,15.727575866412895,59.540954360760125,29.263124671860425,0.45425704408386736,35.58537399295672,13.354310667704004,11.519268794674561,42.310022651816446,48.291676139270876,61.11943221529788,34.46506452484256,46.519309468215795,35.071228942127604,21.067075454633702,34.26434961421842,47.382436737884234,35.715510294227904,48.57005245712451,32.144210680539786,36.87189421745509,8.28154680724543,24.47337940047052,14.36161284002263,5.992390410460537,20.11734005435426,0.31811043353800983,37.06443564533196,35.92122478732059,49.9273855091206,18.881380811730864,37.38150493583464,13.494696702340248,16.98926218705789,23.930135092646953,10.790348903251001
9,0.0,25.318113794935236,53.202998538197726,28.69789668252664,40.56888790046166,35.5084814782403,20.792278835010684,36.98802024420162,0.0,38.880926205158076,24.33920473158636,21.747909504203125,29.82540885576435,37.381592131947876,33.19788487014406,16.831121238297648,27.788509825233525,45.53047539607667,47.970280534505484,19.91927705030912,54.4286744163812,31.87184105897078,47.966224268099275,71.01447543695716,15.494418779439542,48.841160579762715,8.366771177015792,15.809211196998554,31.516535910167054,33.78475664821056,47.44820018435019,10.973630847172728,23.699549058601434,41.2279513893203,20.53175060381097,32.44504778553857,44.85182231263492,41.217840686769975,54.88255803169923,48.91834392162019,6.348468232143496,3.7164566474375107,31.78192372033626,27.37816208971219,43.66956514299685,23.779808841781097,43.775099351462295,45.0545378378083,45.743989664627506,47.58023433826538,43.7642390044157,31.416054569446423,57.36133149323048,34.45865909660443,1.0418331880965965,28.857878108902334,16.166731933449647,24.618285449074737,16.28825727902864,8.65167824808232,19.646037036581653,35.065187193180776,29.612422768829852,29.51782859457672,24.33138023290497,26.37271559122445,34.260755511165094,42.323127634422285,5.756783615140602,35.44677987730066,8.164610349439997,39.6020019512508,13.248888153245382,19.982199468823623,53.36333599949837,28.413764757532366,13.28391361255688,17.008154664100537,11.160460981793833,26.083220087159248,50.95034369255896,10.980436927426002,53.194885914525734,50.60595743874845,17.14179011659317,33.36914335219817,22.747664096554175,2.0790288265025083,43.60484702028919,51.55467677424463,59.50536365326392,34.81930767504328,28.774043502577292,10.43911671372712,16.950099450244622,14.084648840967457,41.35967256661814,19.91469579100469,11.745207225379588,44.84867071646253
