hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,36.040553960886605,56.30201639735399,29.130564738724168,48.29882003083362,30.316980270876073,36.87347130496596,42.20858783763749,35.79429622735877,34.671973919957125,46.44791249453874,44.236619999805626,38.082315721291266,41.148257271577435,27.073065057652247,42.46676914115484,41.953708388125044,45.29786560122387,43.35960286195241,35.28064254404697,39.93108166322375,51.32266505610978,35.61178064450424,54.30618009001573,37.308481042573725,39.671906300696236,35.616975980873995,44.743532765070384,36.02169260597785,40.88091305377023,37.09391437400544,34.19911373588051,35.39660806167973,45.73557558444812,45.24793674507576,41.64575895065356,50.15497099681515,50.23756651751209,39.92384998750747,41.60340070205976,47.88293364445968,41.74889011777876,47.985627443504555,28.804547519539426,49.74890010466224,35.707702140671856,28.672795365128238,40.24870947449995,43.40775778113063,46.130228326316384,48.34222900521183,47.39549930406504,45.068785355886924,50.09232981868101,44.1192015257498,42.41171835923287,37.86287024813296,38.41383482218765,39.01539847689069,35.46499060498993,48.692335903587534,35.93248084409455,47.74558450332307,41.46526172601482,51.11508059107362,49.706163105778316,48.71496499566224,37.000362590089004,38.604374445361984,42.44255553407842,40.19902287609991,32.31050075994236,42.557309498055425,36.29467604602088,44.15373746847041,38.920220948530144,39.872271404823316,38.67431714783809,40.87027708982787,40.652112784428304,49.87432359688978,32.95299652566473,43.148834479808365,43.058721419806986,49.89896252753977,39.56481222522708,41.880742034205674,37.99704141922374,38.897147643789964,27.83653781213329,42.97829014421259,31.167362287667547,36.519745008758086,40.03519235667383,35.333887641372186,33.8342286067532,42.83845800027608,48.18416805913387,39.61133372944688,42.48175816961135,36.19236276225793
8,177.13614433014385,135.00564279978127,140.34887316982764,163.1506777003337,95.31434925978647,143.8108493115814,205.85130178742253,96.76221965328517,118.29485640470565,163.35632395206673,182.32275762490647,126.62157438930922,127.44257044411653,156.83051695791576,117.41521670798801,207.7681290517097,162.63060402226907,80.6010211819506,148.3398359606124,160.16699409566704,125.64211865254244,173.22917582649262,125.53415548118606,133.58995299729503,153.6457726450988,202.39875818946584,152.58005843180152,122.89355379066245,136.90586240738864,175.9387238491081,129.80837955148726,122.57318043939242,177.5626330838137,171.7013178843099,126.84342521587617,171.8852225290231,163.42837330096017,136.3005732844489,152.39110203116567,208.62360080360884,117.43770665014605,154.87084836484664,108.67485644992169,138.47828736893732,133.5515189198028,124.93431302728736,148.71772040617674,169.9690516636963,101.70346349469179,189.47945414360842,192.47354684128715,133.3202858232025,186.67414565790625,175.28814189388902,116.67475474376906,146.46355896425263,99.7435121426828,184.84062562658966,123.16675937565915,144.63294950808026,114.5107785884222,152.18594749130574,151.65594063948816,142.56345102926593,156.8679319237723,139.776558307374,163.7844517215665,113.51485540211343,161.13265915132075,148.33023072523486,159.82979306380804,128.0753978916915,128.70607916865546,140.52244294810293,136.56458221008927,189.2298937093563,183.8996873642869,89.11200275467633,184.39221711124176,134.69696027693013,160.1035245430146,163.43679099885475,145.423067825657,115.06133483034779,138.11578685128603,125.46598497016078,122.27061409118711,167.17478476450296,146.85316977581175,137.11214032774066,132.52818416656135,167.77848449107157,108.12149282944083,179.48741650957467,140.9432358935962,132.97448372793548,119.84966252878351,108.97502957528226,138.2184539604983,204.84713001970812
9,330.47744665731767,215.2429502711712,207.54935589303867,301.1809148406879,221.88767401601018,195.68192830166458,189.24822281132944,223.4911736906943,258.87414986531144,263.85124308510296,217.84097284020345,210.00285405433053,224.07882918114564,282.05611229973664,277.1276866663677,207.2723161770718,194.84287677647956,141.65175103317065,258.1640054852992,219.30558529169954,282.4087549582579,267.67134330843874,268.17239275053464,283.8479610748358,242.5784144091818,230.91233076919738,215.2014084080626,253.27314666446026,269.4486365579516,169.6766809264385,178.35451685290818,187.61960701160947,195.94402357399707,212.31996650741527,186.87059746716545,207.37229930418007,316.95600205953997,224.55243826546695,353.76364112498004,178.8886321318729,386.45887166447386,192.41119396280783,159.39034237397803,201.50387375488785,274.6950212459226,255.01557346250058,190.10035257125455,240.8161821763527,319.2135000174816,190.0241753312144,135.55412778911068,298.80218062076165,318.4599108700243,151.4700752791572,283.40381343328653,209.3576293360347,171.89456334495688,121.87175490562062,238.8826231253725,238.89924489892164,239.79489448644188,290.4473322857379,274.50808788404214,174.6306997879214,214.48290470223677,236.66931621817508,238.78377153166787,228.56244019183606,227.17720671201195,196.27050802434184,160.3123651582884,223.5794307848939,298.09066081260994,202.29202810452887,207.9274647516637,295.06228304050575,261.08662052163,194.81094763715538,246.16336424182754,174.71264706592208,237.26573752963313,268.6542639407863,320.24122750043307,246.12144066679087,252.6070220109022,150.56740570030783,169.086637986566,323.4307758827524,280.9902896511682,210.3004804441721,224.24683025936997,258.4085630331933,81.74273559773718,261.2489432558424,283.383147254541,249.46747873728236,274.0804335812136,176.6187846593411,199.20225996707944,212.0646234953552
