hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,63.180066972702434,24.45658849284882,14.64803533132714,42.38856333149186,14.647285065214263,27.04164641012171,51.038064301833536,82.30791631539437,66.157281793514,4.892489304438129,46.95657811082765,14.945671818709403,62.364770980462794,89.58344711575876,0.0,2.6114300579063254,27.813214202003785,56.583999687465,80.67134188189746,60.39611840753893,91.08687836353056,100.30979902107379,60.865452823391664,54.3701979649225,24.74730002230013,72.13561593227394,16.66452234788527,16.070628325602474,53.89734019811897,32.64537734784414,97.99425479935331,112.14104881405538,94.76216225613848,53.96209383142378,66.01031317912205,68.76138921833164,0.0,105.87515358213925,47.07749838700019,51.942222649597355,0.0,45.14060314540154,13.426686924688234,38.8994120803122,15.954635809126948,17.97568602881978,0.0,0.0,70.25627884689293,71.99089125312592,25.82637987333407,36.13986816395683,47.57253442454873,108.26491038703821,30.590859897561938,87.13711037593319,39.5223343169317,0.0,54.104967394408504,88.44869632450443,49.98005585474686,121.81120331286922,49.42315761901498,35.93640957401987,17.87065258558639,21.30169597511322,40.29135645665149,35.1075074780299,65.12685357924903,51.11282372876074,43.10516238188556,68.73883437222355,80.50987413647921,7.859648910049366,0.0,68.84763790521076,0.0,82.89777597969655,79.82993755048503,22.656011298891706,58.52165753744821,85.26484410213493,22.977858108731116,121.262565473266,90.16558433488555,38.8452538468059,0.0,16.643239663835743,18.455612603586623,67.23689386207963,7.0804184108174795,65.61221970009117,2.7924726697693245,0.0,28.366443723901416,0.0,22.275284452473702,0.0,51.36370203963548,124.78064891965423
6,100.45524356445821,119.48283407130691,202.5514438180859,22.170243383648,133.9373419519241,45.20192670951869,67.9114788109865,192.3624906951572,136.41327484201517,73.31279333714656,0.0,198.72795187740155,24.207845385794812,263.35603782826536,166.24280705736345,25.947790823156353,60.18848306550673,158.9233584929493,67.99740735617478,204.07596311390574,100.57108722172165,0.0,0.0,149.04640062703413,244.18272353116186,91.55828585811561,49.932925364028804,0.0,153.71428660902373,163.3272805311956,125.92501085274314,321.7631440498228,63.099445366758154,46.25776290020964,149.61006401880135,152.27544884926368,47.090119812172105,45.280943226170635,103.60355730527506,165.7151691691958,142.62565408079712,207.86825540583874,80.94569736555528,71.53906652133998,134.42049964723086,55.809682988532685,257.6906929433326,99.43576524728044,193.2216200915541,144.74810369244935,0.0,94.18556969927157,301.80526535630855,86.3204347144544,223.20763163440455,85.26002753853447,34.93251473650908,171.9711432843495,246.29721627480154,250.16404506053152,12.326520915709253,290.69324955502174,87.491853477094,39.463645599754514,36.03888019075082,104.51255174500844,119.10800663043403,119.87009503933723,182.40674575011326,0.0,206.83971193189961,84.81615256543641,77.6945681647563,51.639000697327376,194.57873887945271,188.27022872441094,264.58924394300766,131.2417674196079,231.66588064940936,221.68521688570053,159.12550000530092,136.81295939157806,143.80505893597652,89.95694462133564,61.536017339499665,271.3906266619455,73.33960536583646,68.9211090928754,104.87325020717792,69.23803275455539,214.57146453573412,238.69594248991507,175.90131383115792,177.64416175345127,166.75436926142544,72.791030058698,242.29880601594994,65.71614052465588,54.489734657026744,127.53665824100317
7,270.32911743276975,128.42111612917046,248.834264705402,472.7909783792412,357.0929685392474,168.146461070637,238.0770051500748,200.575001951798,0.0,93.7039321088142,227.93628441876396,298.759462506875,348.284793375846,202.14035161404772,118.55530630239898,45.02798976563034,287.18965690745074,284.83957970467884,168.06911478771787,210.47511131655523,162.50836902853047,245.73123436589924,188.62540618057665,217.6940407343312,170.87005725742188,374.9363809648944,83.46823073617236,84.6447255293046,243.30841199012747,100.74632453917235,263.2848150676582,335.677361328742,404.5725766372316,459.11428683830275,312.79625773807925,129.62881429983378,310.7983579521182,115.81223039979871,217.46599158851993,30.2335284319351,0.0,150.3145445580385,260.38303181340075,380.91871214882667,234.5783762327225,343.4487442683044,342.68767403146524,186.8049773610452,308.07416212587435,183.11794344768478,196.20322367081593,316.6281173009833,402.977742448659,134.57010055857427,318.97057763756874,345.60632683366725,234.57835860481558,203.75499586568412,192.37599073414736,80.49888933800548,112.180464568496,0.0,292.17745772362525,114.68531369529595,4.37992133304661,523.9216385063646,225.8538973490286,0.0,22.80974580650664,385.6187788356249,304.4131027097216,280.169076253119,195.91645098274813,243.88291144001448,92.54481226893418,93.75743864010427,92.67092657364095,197.7917951538212,178.61456966645676,185.37805628877183,178.62646245260004,97.1768384543757,285.62624528256003,318.3939598479685,22.28767727508844,183.42215662973464,302.9982413904451,336.0023134617123,0.0,231.82677708801177,341.79143210804887,221.62566896103152,14.12530621335938,170.51908511216186,194.04801291419398,196.45686547551688,324.0960907531837,120.3507849100004,147.89063016212287,264.89421106679515
8,342.9515723345094,263.7300246233646,291.85206548108283,269.5086884881628,415.67745818726036,370.4694148826543,203.66142900080877,455.39786682456366,159.79721911621823,231.72071619687708,344.17348775843004,162.2033203888588,288.7162494201116,218.04165536068444,370.27655038518395,272.53933311824676,0.0,67.48349598375049,213.89300137548992,505.1104323007215,258.6995475325615,558.985397454778,376.58867908994034,454.5137562334768,648.9188063003675,112.54867870452031,352.15246017441063,244.73010008610396,161.8359774588252,0.0,120.86321942398337,351.65241865581896,393.56032800902045,267.93054130882166,252.89782757854107,316.2341204506606,95.7601358171041,201.92039825929191,315.52974123161414,332.11567154055257,331.1573694199715,97.87531597777755,124.89590128493289,77.48746845000596,143.57332886971082,664.9552936930588,270.8487628644307,289.99155293407705,360.58871545699066,269.4784963134663,515.776148840486,333.7013828348381,406.23361939505753,0.0,28.660811741822783,357.38237642641377,525.112941578124,235.95959306440685,313.1093607816737,174.2973021877046,263.62340112479876,468.6925343019791,0.0,326.02633959279393,243.37288455078354,281.41670713366005,146.11465801507717,446.9303609083464,90.00883119787534,47.629901664411506,118.80634296593479,321.53617263261094,490.9144068465442,106.52055752959086,504.14952298811033,215.5715980325478,497.0668879116682,314.1644341026721,136.45797369133854,294.7021828989163,123.55055325100653,68.19260419972059,183.27426230370878,396.1704338227908,298.16769562525025,258.15662656671793,328.46551742045216,182.82938504748307,449.8170447906442,441.06519276462905,125.82353926688094,361.33935143515237,89.13816737464802,121.72673798088637,312.9698753809467,327.30595253970836,251.20253404000476,402.30591286876336,249.48607312715058,101.89801136046714
9,158.532931098398,351.65720492798863,243.7229057834387,335.69788235604915,272.7788216803244,0.0,465.2055906121377,149.4668311564952,535.5738239627883,554.6465453139757,396.82958610695607,416.9265232329541,256.7076568561905,561.360974024992,398.6741494900502,29.49284691500327,73.84297913532973,355.2916337338456,352.34328405322833,314.2036224655277,281.7867537617974,58.46334601914694,186.61274909093947,158.6357192070184,365.7481078579962,0.0,248.72783245149822,174.3089672289312,107.61637328331571,446.42129338453697,302.8283492910177,240.87393120903147,166.25871057942237,135.17540968263648,210.17672281121247,217.99245877796378,406.2071493058147,52.56344173631004,0.0,113.40676132058957,453.6583191651154,305.0584412656509,346.46458447576526,807.2089363045842,197.44834991200904,291.9162163325916,268.68840407765964,243.72316416791085,233.75910570996004,229.61493769866485,0.0,385.5113884280646,199.55273715322937,195.86997529333289,235.33499874078854,424.6911393534323,231.45965643136466,219.9400225135406,399.9805592348,159.85711465471798,226.10249799326238,113.4815823257808,271.878030031002,178.9605241485164,460.82715856410954,348.01649067306323,476.91833395346555,134.15402685809025,284.15859429328265,460.40048687012825,663.7073005969173,520.4255192364315,257.09615764192245,531.394024090956,227.24285729054023,507.1217270836479,0.0,239.77347181715666,257.16278395607503,525.0410253915034,247.83227977945165,428.9804728364271,129.55701608359442,214.41046486924347,158.8618189325379,89.44584354443111,65.29932267947086,198.1647595697003,0.0,200.7508336894197,318.28505124921463,333.1985494667089,322.17807062359714,305.6019095435598,155.44386223168397,5.850048902016624,400.76490679817874,455.23358778644985,0.0,525.2743349435832
