hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.8342352067189565,2.0302878627903094,1.2204680411968847,2.492495085608344,2.7944804221554933,0.08762677882735015,1.4875275073697052,2.3429612481812154,0.0,1.9744390581843776,1.9371309684047981,0.0,5.893891817017278,0.6250248291368656,2.8420343408887314,3.9958621175068045,1.378581708936285,0.2472786996488574,0.8312571959353476,0.6775964356044265,0.0,2.0313714185809557,0.0,2.049036858496496,2.2349001974755978,2.1668436941624325,0.16856118473451742,0.2931528069479048,2.3932629552192766,2.721077894076075,1.7651348926873314,2.054278594833819,3.751978875951026,1.7505530064413732,0.07786250841015319,0.0,0.2780088967820624,2.214371589379451,5.27120281490479,3.211730136566817,1.4027810814225474,0.5012244162370885,4.5980014178458335,0.0,0.10859943596235344,0.0,2.5887684295406395,2.7616534991944137,0.6848825067584116,3.2469370395374266,0.6520269722809078,0.0,3.8579239990815433,1.1539719473663161,2.8795750357359218,0.7906411378721999,0.0,0.5829660226261469,2.3357151112734185,1.0254401128084139,0.0,2.7641751303040802,1.1601590575326244,0.010535577836102039,1.193818545157621,0.7696088601944693,2.672565838790314,1.385619006429249,0.4964717982842842,2.8555005357519194,0.04408836937861427,1.659481951574471,1.7189069887917345,4.697339185200387,3.8783817065433968,2.131590278792442,1.054335788350584,0.21162985415708735,2.283143521003948,1.2130744949701842,0.0,0.8406456820638403,0.29989241254490384,2.0263860490361387,1.9171349693679538,2.2554709808010025,0.4899593416200637,1.800423236029117,0.0,1.8823386237466635,1.8014517159179113,1.095853734510353,1.721657220706716,3.1305505459317597,4.943853594106769,0.6224244782074462,1.4332447838787747,1.2253383389259715,0.9485747106208251,1.7009008245364203
6,8.009942650158866,11.06627007742843,8.98519678374498,8.932976297014086,0.0,5.977105862123317,7.4850198425024566,8.068133502621484,8.474008090384151,13.866305208059163,1.7664992070528518,8.620944190865211,3.267025839281053,6.510672588814038,12.204430122627489,7.13152091949379,6.001114977670339,6.61593599361744,7.547482929575372,3.834502494339708,6.164050930620392,13.167565198143024,0.17717123527534717,5.074902718392053,10.439995685879591,2.882247912646534,0.6363868022550374,15.39122418303701,4.419963196794626,0.02742040336744367,6.068227306829703,4.692087578713764,3.4617702814198674,16.216668295987052,6.391923969715876,13.078933144762193,8.57759956977001,1.7345880753529705,8.428099621924888,5.058632276377059,22.01118163673678,0.0,10.40459788753007,15.790838269033628,11.082415616112385,5.628398779913953,3.1988810133039762,2.1565074536142683,2.0258663639109606,0.5354398404899099,7.243043779987871,0.0,12.544737380715766,2.86129602140921,4.755119387420321,6.539388778352734,9.487221712576591,3.0166271918787344,5.117752053690142,7.092152800119339,14.391036952987054,1.2058329901468774,12.155129121292163,7.901686779449152,6.83469626870793,1.1755418826065327,3.6266905700506573,3.7684382913086845,6.359233918918334,8.213807817488739,9.755356041221388,7.313408731668203,2.5034218597891336,3.7287573538987,7.041637125053461,4.704827230123039,6.07454476942009,4.7105969251983755,1.4187339493067386,0.0,8.972762112901076,13.083480153511733,13.124439960763969,0.23994540416762966,10.203899501154208,5.383268166489705,1.2502655153909439,10.412373394019976,12.059650758627956,15.829929152548328,12.56281475558557,0.0,5.889286513938427,4.163012794006791,9.133328377049265,10.659543326298014,12.786391882952922,0.0,6.3305919250925795,5.792174360724654
7,24.243654252496164,22.938527052244165,11.435695250153966,35.9389114933118,3.358392177690746,36.072049969163764,6.157415251939227,9.670244806753633,15.151931783431166,10.929671598862367,12.246407240483364,34.32424309344228,20.62327565734344,3.806258401295665,25.172310737287795,14.408842564421548,32.750033441156475,8.304065009859354,18.79918557637306,34.64621092270841,11.016109720668723,23.271822001653874,33.913522122256396,19.75609920849665,28.179919180781393,28.202019419449545,27.032572119544053,21.30266286353705,17.219308380150988,8.705355638527866,14.44652483189169,14.823159935479158,33.830424073363915,17.878688080614165,20.749617595064603,27.112639242894048,27.807355346936788,24.28659522470984,30.79576352683014,14.786408394138949,12.926031783405495,21.692541310541124,30.123197410129738,33.19663964233547,5.4090297779209,25.724962332099906,16.003324486608147,31.099531106031296,24.81470897369566,22.929856618142644,29.9730343595474,27.589389662025354,23.292643557387322,23.273140595969544,14.366655948777161,18.342764797224056,20.380957171244525,20.319409288420957,16.046539122109735,14.848742128516474,12.985169864858555,20.347266667095056,18.71199500946355,20.596556063629503,22.922863002003638,4.167259656916926,26.554028981227713,23.541346263608247,8.647386783977485,9.923102528462511,16.956247664364668,20.06553099077204,25.738469444240454,14.303380346027332,15.691417985608767,14.819729308265662,25.60106824530332,26.8435142411545,35.54790403185176,13.054847849445814,28.431894902493223,0.0,16.437255993040054,8.3930323871523,18.029336799390972,13.843408545532888,21.05934704624766,10.251816528400884,15.017258870351775,15.607570855921466,7.944593591893046,20.105788211358092,10.403925888726544,12.252991907560217,19.42582678621339,31.764878304858417,26.04450234354178,25.11389434191648,13.84489757528219,35.903851833041
8,32.92831105804901,40.46337756221786,19.92513128472175,43.91423112276303,34.47642691230094,19.29934369667319,13.005693398528624,37.72097117743715,39.27933898472891,39.33571835174911,27.312495135755565,37.115850718544884,33.31500488409331,27.432526757367757,32.8978064348934,35.887497142474075,48.11281868477474,25.517344708302094,43.27099395955931,13.613639053668685,38.85517283639123,49.73363212982841,34.1767632934471,75.48007247670769,38.77819008004791,36.548822177607704,25.23707022162351,34.611879846454386,36.37331903854794,35.41541221386356,46.00004610924378,37.60355527212284,36.463587498812764,31.368399959061833,53.25248934874506,45.76040773888122,60.006746335513355,46.60413589382345,24.4673751583124,16.752334463222912,20.59953492973842,29.7872659235852,43.10576424532472,51.92372813626993,23.140951520317657,25.243505908911644,38.64959781810101,34.46560891489578,33.52548843114668,46.95506927853958,26.201105732958155,23.851194412099737,24.5462380788245,23.741227903216107,11.64259372133398,22.173893858841545,53.4626920001777,16.99962774795086,25.22691262053833,33.50497519353469,34.17813123902675,20.854171280670073,41.98105154197469,28.501677375243077,20.056470266309383,53.21126450597919,23.622836856183625,26.494217851635447,27.305972242900474,28.399080602423656,27.880557714570262,44.29193901561368,48.826007820351634,19.31698999631627,45.359891706225966,15.828278579363573,24.15990806588931,28.741030218868616,30.80163325722403,39.55782030539553,36.16509081755416,12.306577096838513,44.48300049025947,26.34550445290482,37.9601846363743,15.955385284612865,36.511163610656,31.595019839203335,32.64332114861646,24.85540132594395,21.56747901306839,22.221343251007713,40.335181287979054,31.542505599942253,38.15092959922766,21.996407819650088,30.232557710511532,32.4309234316783,35.88174074230938,65.58456441780565
9,21.01790031592858,27.45921129408941,22.81247259322858,34.56762509787511,27.205804110449435,49.685982288595994,7.476539182813756,33.036626723574706,24.446685721747723,30.240280716456052,48.1139350178933,4.2066631230796645,11.903444508098724,20.304067531953663,45.54080659360464,30.93371922098212,3.3267290682357924,2.6269202836732823,31.124474848659027,0.0,33.512280163488974,22.20955873444601,23.315391666405244,21.956824786056803,24.53670886810838,12.551356801057358,33.73474464897918,31.340373145790256,30.02108836780087,2.532487192491338,38.127260148359184,64.2214563639607,11.79278022559436,17.532269872296336,31.540393202102344,42.150702221624485,27.31543973510675,29.12405434946571,0.0,41.83548737519871,42.82138556055858,30.083439689025106,28.627678718862303,31.774349792873586,46.885081894000564,24.862639921435438,38.462965900761425,23.14121420729309,18.762294346725795,66.52757273274233,41.64910029386068,51.388376150738694,5.120898853946898,12.896695255685959,16.55554280940938,23.132342411134303,39.04164341776101,0.0,58.046586087229244,28.924222731869982,26.592399718981927,15.141500514923626,50.4603730947283,30.242533368083524,18.881646693927987,32.10398426949625,16.29537305416843,18.786612028200135,38.70034537903731,18.54344149405423,36.076648729645456,35.3325646122408,2.7021814941336295,46.058117805612525,12.515638814402811,39.25390985975537,31.70183142700376,13.734601490093777,28.567461324221753,19.324050688788432,0.0,10.771409657331557,18.95797805378922,28.57825571827279,27.92183855246763,22.877629034063727,33.50695175112208,16.543432013792092,54.33098366506137,30.325751251431612,18.095377631499503,20.931472899012128,1.9279690729611119,35.039122101877325,51.64103050250557,15.120428229531681,12.023037216006419,50.446148993507805,2.8532194182611974,48.15451372944045
