hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.091148326258506,0.0,0.815100035362049,0.0,0.0,0.0,0.0,1.2796722164077414,0.0,0.0,5.655915955567726,4.804629659115178,3.0854665718773995,0.0,0.0,0.0,0.0,0.539478434707382,0.0,0.0,2.896251621353088,6.605263976289299,1.9093632012055157,0.0,2.9633213365248947,0.49238275406434173,6.464439543521446,2.497156221118465,0.0,0.0,0.0,0.0,2.6541209377889303,1.4560682067602961,1.3617513737777998,0.0,0.0,3.8752032975604487,2.567563142498978,0.0,0.0,2.600308876535148,0.0,0.7627360503512743,0.0,0.3382931396417941,0.0,7.146699389236035,4.595354377390658,0.0,0.0,0.0,3.633516701398037,0.0,0.0,0.8656932670050809,2.311175978472665,4.552192131291192,0.0,0.0,1.9528373407348694,3.2234250133177986,1.0011674999037647,0.0,2.2128524482357563,2.69572126142595,0.0,0.0,0.0,2.9808478890122703,1.8359123569687092,3.6569712888652446,0.0,3.1807570791602555,1.821840386234194,0.0,0.0,2.3401008366691207,0.0,0.0,4.396168428311463,0.0,2.529387483261358,0.7628018617363936,0.21860012172608656,0.0,0.34622937281493993,0.0,2.0630608180809604,0.05364709761822878,2.4156007868256992,3.985873502688057,0.0,2.309292704336363,1.8444626654963985,0.0,0.0,0.0
6,11.355774095091526,0.0,39.25828429281997,0.0,21.395550996942944,34.69679568048778,18.787343687945594,15.480889384922904,22.430851830171587,4.809183969740202,8.619044539077159,6.948461263840847,9.09792591915376,0.0,24.507238326617404,0.0,0.0,0.0,1.2199842550934772,0.0,10.285807421281882,11.16417141172847,0.6294929208008551,11.357057488550844,11.400777246891206,3.0977151465635533,30.3875248852503,8.004474485832418,14.582703201929029,4.6819176273670555,11.617416384663926,6.9057298019627655,11.967626616454071,9.300639302746013,7.225137083363432,20.657898333372643,13.573690119294774,30.00063775147889,18.05928700979439,32.39589363549908,25.896382188213384,22.291794468167712,8.186738630091156,0.24407683185642348,11.221974776373722,16.509505071097344,25.191127798354845,22.093104266084502,45.17875795349233,11.873948198625598,0.0,7.512837624848871,0.0,13.775549409183334,24.39400503036633,14.667238097674275,34.73234112853363,46.56704611157158,7.831803640497109,23.14048996186475,13.869924703465276,18.995300502372707,15.425953700024355,48.31963936040178,15.020955831331701,1.1925961679002821,15.065310537247925,13.4282980514482,5.895685598479674,0.7384040191419512,14.49069415453269,14.739370784119782,0.0,38.24093999669885,0.0,11.257317931093334,27.801038094771933,16.362165271694053,5.738158656855951,7.41810519393622,11.7011842447656,12.263338123023024,16.532998898057677,12.033854513598248,24.74115239589097,0.0,12.805053797584737,0.0,8.83042544239153,0.542114622612516,0.0,45.821751024708384,21.252395233138607,0.0,0.0,26.741368307991678,5.987556532319095,0.0,9.26127733793968,14.347987629142793
7,25.306987013311392,55.41892642350197,99.63884330175571,27.013359759005297,78.53889572256725,21.172513849161383,0.0,0.0,40.63346302022394,58.48636857889221,11.858234191703627,74.70154817572804,39.13390577392265,38.57771451855835,5.195928890697822,30.587445213728678,97.00914527260133,93.27961304458543,43.69707733863638,103.34988359654588,45.68066785245026,19.712087888830894,34.556865500386635,5.512388483906236,83.22896234204154,0.0,60.20081120452038,64.24461178569132,52.78752990969546,78.87971738773498,2.8506337881863004,6.537075027724207,13.921931620860782,36.35089254911077,52.07368279860246,0.0,73.38413183391543,56.57723949529607,15.843947826769462,43.31792942274266,25.340687120763466,47.42091832036972,87.7635058003465,62.00193755760749,27.40880500903977,78.41585647940792,90.612296907254,71.43956265032242,25.446818849238365,39.855148898064755,0.0,33.33736423141263,0.0,86.77453442023412,0.0,55.47534664264833,36.7654086321801,88.04847034375783,51.2395806866825,54.669269224433584,108.71245113603368,84.86745433112426,0.0,13.28500889197652,0.0,113.53495639762326,75.49793437260975,64.77492325283758,65.08069015018813,24.75854322689017,26.447297181441435,64.13786891424478,60.46844372845,60.51412791263873,119.50281305908501,0.0,0.0,27.62514817268632,69.13010256931355,67.15179535513215,15.689583959334048,116.22540839537848,3.638438254058741,0.0,50.76591552980321,14.0387388882178,16.40483004418886,70.85902200659403,17.955981160858055,40.41583792840878,39.75099580077,78.39610730618105,86.87716093626665,0.0,9.555191163520405,76.02719975757299,0.0,39.24780374516496,39.4551625202161,106.19739170299869
8,64.63389559720373,142.38343240419252,115.51408060722105,36.370667234752545,33.750932882227225,46.83860922542177,57.54069233260189,10.781065183210629,8.92150312632586,25.25313848443841,87.23355098558585,60.7123662359741,60.4954973132202,101.92135025686181,86.15602482977877,33.40006787606975,126.89719344338856,12.535400583456124,45.4337013698063,75.74322471486938,39.84981043165481,51.478033646804406,93.90319779662822,45.28026777214772,185.40892854494382,51.23787570432788,62.13308751182418,129.42344090894787,131.23172772625435,94.63509080325854,100.34507406407823,61.36222101717692,111.20694350324948,73.83400409204926,102.52868914878307,60.273034096503466,87.44556957612643,0.0,71.66194481047356,30.115218217307536,0.0,140.08638063585835,69.98379933164018,178.981749303632,124.32039137208221,65.21546471187631,72.6327097026053,42.57204765323423,147.20487031097284,158.34570951572715,134.11857121389653,156.83921468191986,70.9347418562235,60.95580627779863,44.8328951985084,71.00543734094654,88.77070392810482,113.54091196522798,103.37589919596468,61.97659585915679,71.08018604591645,125.91789964232937,167.57272239634207,60.45687891780126,48.45103695958038,42.18750213695778,116.69474920173826,158.17416970789085,140.42874221375843,109.79603089636726,111.32279089768488,67.43533324205171,34.80528839792084,44.31975457052313,99.30467448988242,153.21043146456358,63.86381911087852,61.21595968455639,84.21745283306306,60.527829847528935,66.43192755774677,0.0,128.50000433102994,51.81996964339034,58.1152146282321,73.72923708900893,35.59008313759313,129.47182913542974,69.97461432173871,104.95744961456585,157.1615897085183,0.0,171.94198546579537,54.421504863441825,22.040108199321082,36.13798057334946,128.61471055055728,187.43585907760317,0.0,40.694875583429884
9,164.76032613568304,163.2198187206398,89.81071277682705,14.991091375937401,90.77634774491759,114.93704526447581,182.52051521566665,63.529676526802085,85.80988150509849,91.37946961842962,98.38759494051365,0.885948110381122,85.04450963732047,113.55836655214384,94.58087565163832,81.45164120589746,47.60791747701776,72.21776158493725,169.44489713087233,0.0,40.91484632776665,19.183956802374652,107.42448211102561,40.30748971138823,143.8667673718934,111.40284457143791,163.30744264253232,221.5435348062357,203.18816024798562,57.5055029572616,97.34927413845814,116.02608186407771,117.18130412045971,210.6951788678657,146.00298148301616,181.47285326752385,31.439235397407558,64.27260990200895,171.9967344130048,199.26339541776315,25.973019536942587,198.1911471441622,163.56427799317288,193.291034649135,17.389368215487522,0.0,119.03878883150975,118.19514433667702,0.0,43.0206017607352,29.64659797530389,11.350982106474774,160.21578766037635,159.21180016560925,161.7021580882191,14.699236040237366,116.27948141640613,99.15259588680672,81.94212304796348,73.62240576603236,73.19791544315481,43.498964797353814,154.25038999568562,96.79568517808625,71.02161470337647,100.69214416339005,46.3924036829962,147.96452993905342,98.84984368504956,109.72263245590831,114.09750826536802,90.17428087084868,166.31211221665188,141.5029872042099,83.39352904548848,187.70509580190088,124.27139070561574,152.91405643491464,84.46217494385708,70.53472610958954,10.767000006361428,41.995194356377745,113.79057468900149,163.47360909042726,148.8702334942971,38.80338816856141,85.69145820412032,183.05982455125866,80.52940693693627,95.82325400985616,63.66864320864643,55.626276940559464,65.37503605802407,127.99765134940046,109.07099248875555,154.62621120589674,113.79667345435297,38.482927082292996,170.21218324869966,119.05672534422742
