hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.41689115616939,15.065296464686998,27.828244142308407,7.2921459716466845,2.598188788811388,19.936896359019855,28.967091092708984,16.548616921246527,0.0,24.610128014290897,33.05816476928011,10.408634967920769,0.0,22.759879262724393,0.0,3.289079750591931,5.964763575734361,26.248126952817596,0.8202538643981736,27.8472658921712,24.062427095533543,3.1434923323804185,15.267650100512828,0.0,22.22833805718158,1.416381556354974,14.447519146657433,12.33095638588552,33.76519504448058,9.395409406938072,22.70004074912105,0.0,17.629392040438233,12.570296164070966,23.165170812169684,25.13714065525727,0.0,0.0,28.1027018162783,10.549112977767875,2.499458005480575,9.582421585814044,12.25315299724798,0.0,12.446128337094878,6.283712241647622,29.269280547998918,15.074336732152554,0.0,7.939835055125193,23.405349096914033,8.436757627812824,9.523782354684684,27.415291474614815,36.967719314134875,42.530632397694625,24.462245727760077,18.813849274497343,0.5207603049506488,8.42146242172755,27.48900146440772,49.286074094663945,26.11264363110876,28.04046451871369,1.6520620953164151,9.413317728402756,35.47318790692585,22.86762229877746,30.87727913841065,39.57546624860459,25.28432259621534,9.699572502351709,12.412483370578883,5.006400002669585,26.19026688701466,0.0,8.013849507412765,9.432422325927531,20.16365270363429,47.682765422300385,9.89861118542953,9.914525273101042,19.94057527481703,0.0,9.265848715287559,9.142191506045734,10.916145224175253,0.0,13.320098938628352,20.353065843070723,0.0,17.75836099697635,9.47691890389996,27.61335835716295,30.191182007771403,19.458005748737797,23.250544933951574,0.0,15.412075922055937,19.755298596975834
6,0.0,0.0,101.79768636653145,105.89269373954922,97.26355023311305,103.93212414585443,71.39538039266019,31.48759482458872,79.11598573877627,60.19354784840073,80.20949400967703,37.27231625233243,19.161066751895326,92.25801811855604,103.53624050956508,32.76392871783836,71.51417040174425,96.89948652708514,58.90106897534306,0.0,101.23623951578435,136.04627955949255,41.875409463250406,73.04881766219776,99.09745682430543,101.31418805514313,98.36547252061874,77.62767059760573,82.82995854645522,66.43270197113155,46.31401950695725,34.786982513284826,0.0,29.636690840063515,90.13431987593196,60.06888858959963,0.0,113.06755933934706,82.33400190510623,44.80189567859274,61.16110730933881,84.62394187659632,70.96964674044929,144.08538825286618,105.70602521197247,79.27581923680184,23.466652280025748,56.242444793063946,46.665260900144396,28.69651659560951,12.64124174558011,89.48205639440555,74.99798633352268,34.727110497850326,40.11112432152954,42.776435023743424,177.76078460261422,84.92475616459328,105.54683235024619,10.267303510621161,50.958662609787275,68.00126680284224,62.38126018503837,0.0,40.691690711529375,44.42611714742608,12.126338421453795,96.75688865802704,64.99509396589667,67.98074113101043,62.25688125772446,63.28630048605503,65.0885401252529,45.153047550699284,56.512969352152396,46.0221880914053,0.0,10.417631446771523,90.23589954452434,25.84640273767387,115.4817705642075,112.80870469730418,66.0566925726095,42.23437759051924,26.863769614515896,38.711496093973345,58.12450865693891,124.60752668116619,50.05271951405052,65.54470053543278,39.17084937807901,31.450606021618214,73.58985726345884,100.65381206886028,28.24298886197453,83.20190129574833,64.29404980329292,59.93206610467999,94.09371644750027,83.07765943556737
7,0.0,368.61365480600796,136.89627870571567,194.9042120725527,105.15954701588103,152.74981370041047,146.16424652916018,0.0,35.1337809850215,52.05012663247071,170.4653223791957,232.97062064632698,114.0159488148559,96.40903911302391,94.00265532396206,71.97585000424118,96.58670141229902,0.0,72.51750228489541,15.356218134060157,0.0,39.1354586191739,30.927781461069586,65.57412721688489,0.0,0.0,76.13670425523125,155.42981982402003,0.0,216.80138117567247,216.64348161702264,85.98932111763497,107.30414832317872,84.63132280266689,160.48000572877305,101.31401605816689,0.0,191.3342753714927,109.3278998217609,113.63077706355548,225.061437261534,122.06845963337346,0.0,265.81646142808046,140.39688584044674,181.01876437066989,179.80816387196006,24.970124272144872,0.0,93.02614890493844,71.20076085620326,53.84336019216404,153.64888531233552,40.51899929485559,298.4989415288918,196.24296629412294,168.15649154565926,53.344211297607984,161.12846051863002,194.64249912570585,222.41796187146028,120.18727775911032,157.24600467427493,231.47577598554386,292.242890650759,106.44430426754539,151.4920679027308,95.4947059042454,0.0,95.01223020535474,212.69134653736933,0.0,112.08241750860803,101.04353265564363,38.76647108633426,0.0,206.72963132971722,204.05796749690091,227.1018931663761,0.0,54.16646790049377,176.24698598936635,91.49604387835495,148.43508718556487,168.05186992011795,78.82379213812496,0.0,150.9801353233476,0.0,86.29160597345859,243.849738539807,87.47556018260875,0.0,50.18959817708135,85.15347418591429,85.16220309768974,148.90748738098443,231.04403544418827,174.80379465954712,0.0
8,294.87955467511244,200.07664283268497,144.1589460951089,125.91561419141064,291.4927018613508,321.4869862272939,136.2196047622467,238.77872354290537,232.33131127547045,151.05117895231282,192.30071712823326,443.19007995468485,246.86723165918283,260.4729863580692,201.34060755634943,307.2646537415484,316.61439600391725,213.0386062959073,289.60169331768566,250.9179252776804,247.5121856757262,209.3651086226545,272.8344118402347,195.1466858699931,165.5585183603393,295.6949376959474,171.22676624199966,417.0211211434108,96.7801121906101,151.54838331387353,211.9148896629667,219.99876867313708,324.6045007402038,25.86370891311762,261.4359852130213,194.2660444486669,152.62726742089046,282.6845004049502,283.97317199107175,239.6548140622083,267.092686369672,195.2618032688182,183.386503198692,40.868929147686146,294.5081677398233,232.75744043645517,68.34363349347498,300.4608716978741,194.83100313242633,277.6291839853169,189.27171353405538,209.21542962608777,388.34055303745924,231.24134797088217,30.735346239832552,293.07275157049247,213.46914410639206,78.22689735313327,247.41508586527473,80.25692745685484,181.09395414961187,239.37232705962035,274.9907509721761,426.6502050109045,29.486363349931366,163.5985558300444,240.52430752822482,231.90795436670118,388.5846983499017,270.1256726047863,184.52222095965175,305.8651495161794,236.7161118539479,132.6458523277007,232.1246546508639,249.70097905342163,130.62684945220047,199.59799180716806,51.897393872714616,115.45278121705945,369.33586244533024,159.65900602362268,163.99624371054801,143.48397391969365,236.9804300702321,197.0435639079411,180.1087468386059,391.8833973221232,218.2769441729114,271.2078545510278,72.77114925757809,325.19290403585535,290.2185641545094,39.40496637797207,153.9082752375749,161.26142702283602,243.18389815426997,77.80909140456889,274.69583622121854,231.85030071344846
9,107.33073200387837,186.08959955751376,406.4056321581936,188.58175291870012,138.08732933614976,290.4556998088692,339.52594006862904,89.8343832261932,271.4048889596179,104.25806561848164,157.66652866153402,335.5894057829436,248.0615384024859,239.66487076612214,238.701973174359,217.4924538994265,155.6114732187765,8.104332317578269,353.66542235699626,172.80106529630189,313.96500877978946,126.19635939848754,293.2752861722478,293.868876028935,379.2935498740384,248.19733117780822,304.5969394407841,213.28301197621698,175.0954503334271,285.8177979224856,386.86644305319317,146.2231730665087,263.38321939478925,81.59136179916439,314.90453224458577,276.50037628809815,116.65078880513774,169.0809408593953,300.93613758219004,368.9777845386596,226.02381612139826,262.3428180970352,37.465550682767,129.11600913612503,16.094316906842295,296.53194982896366,14.206337177076335,183.4758529988489,103.5644104806183,196.66729531519934,123.06714712691546,224.22237480845962,208.95152048276708,219.4392183874283,351.0211392773653,176.4291527261754,307.5255630211471,93.65972453348337,13.257667258290411,274.1121077039239,260.5594508386418,241.84294194458022,166.6039586490263,410.3890557544753,208.50998440483937,243.14361285166066,369.13413397788975,147.40415349753664,206.44540253989172,275.32754156465154,55.64207394234856,338.8262706466462,133.38903410806608,307.2593263870002,435.9292467023224,79.34716386506813,175.866077825625,13.625766282162687,76.83496599219814,244.65242914720415,193.03294700000873,224.54922769878746,239.79567938681416,278.8453728451814,288.9732344106688,120.93156884386696,332.31495653937077,147.8025715906117,198.84560944207036,266.2952965774582,298.25511370931804,147.11715291836958,373.8731589924272,86.39278584300013,426.7981888398875,267.45452777571677,109.54177400614181,109.77802874253149,220.43407746969675,109.2145192677183
