hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,511.0952114215821,569.7311952185396,484.5815582481045,126.85543874069594,99.92587123995506,238.80709497017494,358.9785886629353,532.3766565859819,391.2952849946153,669.8129075077034,373.73990288446726,88.36139140991023,360.25775164261245,293.09092723973913,648.0417730767462,281.6568213103117,354.1331724986158,61.463201950557135,35.66295493793791,654.6031926409787,144.03821757826657,101.98465385815484,120.57466796901889,0.0,0.0,479.34449287514406,548.3466935454495,85.1393557721477,38.62843672391895,397.4858797575023,0.0,379.32594397476953,244.3025814939535,388.0620039134667,388.5283185290111,281.21484487874716,0.0,529.1951932260192,165.61510978742854,142.47693569919392,769.7306263964947,486.8605209740746,340.52555377389325,438.631822214694,324.88434411093056,553.9903856736094,0.5483606217786132,705.8969987500047,161.519897541806,336.4759211760471,397.70430078282095,290.9602191778624,140.3493461618547,486.67203418388806,110.07522097318841,189.65338759734254,0.0,411.93554724710356,546.2864331752819,858.0746784847299,229.62204449255742,341.8713384914826,0.0,210.9852182903329,0.0,278.6771894438779,530.7869730012662,298.7982972616241,468.99121616403545,0.0,685.9135284340052,205.91537268518175,390.5048932651192,834.4144053862117,363.77970519612256,401.80019863392226,0.0,849.3558666682375,7.672351019586188,599.9724384765784,2.4479319901309964,83.9835834970581,308.7274023983578,493.46789827457616,568.468703599785,0.0,19.769804849891102,574.8953766455235,5.279854671984822,456.7730743971755,434.6689007578338,323.06490871329794,61.20635044374197,0.0,16.77684869893119,291.5637905165206,127.70981848115062
7,975.8034018527122,289.14645141624334,1228.6564659068044,739.8515998312943,914.8899926677323,135.32222580301982,1246.2267006731256,391.3326947334434,302.0946662512723,1526.2082211133682,739.0483931140611,45.08335785846805,615.8056506911363,0.0,0.0,564.7895788095327,777.1766524447177,211.35503904189477,910.2634299095882,1071.216910742265,621.2476468915545,536.3937870814611,1327.4903881574942,512.2555450820397,197.5856452268481,646.655765168482,976.6472485784831,1077.7175706621842,945.6504784939227,1569.5387232875585,279.62550137045207,0.0,0.0,1199.707971192757,1159.295288344585,606.5206103236603,810.4547054322837,1212.373179101429,325.08937089573027,494.17291062534855,512.5989849284816,220.51674178219469,0.0,0.0,144.5784403814116,1251.6649225395113,227.37705465820954,0.0,1156.9446707956154,775.7921484217026,829.3707228876887,521.9108858829486,541.1937100375849,510.8864029591885,810.9107219593818,433.24970811307026,525.2310386818245,707.8290407252424,883.8725555281519,858.4214101418019,1879.2837050609455,303.1041369380193,719.2948652548176,538.895245216637,1495.4409667160382,796.6922962760686,992.8809320289788,922.0796175905812,736.3559442912997,1031.6632646684832,668.9823522079928,348.14512606946084,426.33463723055627,924.094989815732,1217.8333208451643,0.0,436.9263307435098,1201.1005545234232,655.199926530456,857.3530482211231,1270.7675078438353,673.8830956615376,454.961556655257,716.2533769939886,683.1424155769746,916.1532418885369,802.639286916205,316.52408246547645,769.7806357414094,803.1794604716961,670.151464170718,1142.0555092606553,989.9114231655883,1429.6153330132788,664.1299815903127,325.32149080895545,716.7458229331698,0.0,1218.7449645353472,660.4800901734843
8,2253.8713971739703,1577.4611846049202,2695.544998441525,2058.826544440708,2960.723074327005,2885.966892002312,2546.1519438007754,1617.0526307851728,3091.4790772470974,2477.479132341909,2686.4543332323624,3598.1125786341413,2077.1635503842926,1247.0411546213898,2973.804802044533,1125.2396547427743,3829.578644290321,2105.9768348899934,2918.0704442977217,1455.6352779149456,1236.3748594258498,3452.316643657628,2871.099530822258,1905.4976436275565,318.4555015787282,1806.2361477152713,1587.198970224952,2711.697326661489,1075.9953936906652,2757.036527840815,1090.5496824700667,1714.247073865858,2399.2916936874894,2242.623063364036,1815.6936382904298,911.41449646454,2533.078966016797,1040.752914776106,2856.4615657391723,2121.355176833915,1187.418597544157,1361.4519433129522,3591.914950439661,1897.8264753719477,2093.642636959829,603.5159547776227,3429.1431906943462,2139.9730859671085,2683.7438316215935,2229.7458421197525,2373.440021035399,2307.382564045197,2381.5545991147656,1450.4817214937136,3341.324643679793,1662.5099934418677,2292.280956712058,2675.6637954605417,1811.3485744865197,1919.2940061515412,1926.4021170335432,1729.3399680663763,2729.316800151916,3081.1561350358356,2410.384104330089,2182.056822955396,2321.9249274420467,1191.2507235397097,2403.1371058235854,2514.497338876644,1551.2082198175503,3922.0799020083887,3005.3476417591714,2108.480399702419,3219.4831380130126,937.7727586694641,2983.700152334757,2750.9114739407405,2340.5169439544643,1924.539322655187,2060.504846128084,1319.3363068757244,2106.437144565388,2045.8600513060685,2614.218208970004,2726.687464038897,1999.5466896437567,873.5698543600317,2570.460743354972,3134.032998013666,3323.990700404317,3270.0363861109713,2389.860935543158,1657.1441752692497,2170.4323293969005,2574.4391647125376,2196.23186459833,1689.9329994990555,2936.709442686929,3038.1779204345785
9,5163.90622611351,3577.0379538920483,4440.092995581599,3685.8426393185186,2886.0672615582853,4329.063977850873,3738.2767674861097,5608.628293873628,2955.5718996446203,2853.578150395002,5059.037583005716,3549.8438666496413,4132.2694295287265,3995.9905891828757,3470.257087952911,5170.523246518927,4338.846049461344,2461.5996224798873,600.6440416541377,3560.358468260385,2677.958607341388,2324.9871385596125,1869.9899737868136,3608.271322783026,6464.946476991201,399.9299457109714,3793.0000721665015,4799.038604927688,2657.829358520138,4120.523202625957,3910.445007009311,4716.87727186421,3558.5676057891337,2784.413005832671,3790.7426234737545,2967.3687486984895,4277.979084307819,3671.9191516915516,5912.715003056248,4755.819787528761,4367.1362172588715,4915.057948703714,2185.930260549079,4002.202759291685,3855.097246552358,2122.5901572478015,1828.506467304071,4425.203405389814,3675.9421866997936,4617.6462030346775,5143.458947364654,1997.9042340266915,5072.448744842768,4135.997013979012,2268.549027273069,4488.877559705053,3438.0019858696173,4276.136427761575,4544.351194304932,3862.046100629412,4478.534034553315,5567.441554413244,5232.434993991174,840.9353180193539,5057.741311031433,1769.1384304254784,3855.0752784145734,4009.33296842499,3883.114908743252,2868.9481070211586,3537.1286430658565,4671.488396420173,2199.102374387281,4360.434974343861,4559.057415095257,3036.119696979043,1830.2666579515635,4602.400820398667,2923.384134728631,3544.850200512324,3841.158115166695,2039.149925354093,2539.9645212672785,4173.267930030983,5254.213954605653,3050.844879854485,3035.940604753554,2231.9152856058217,3739.3591163325223,4434.832500054256,3474.373927391714,2708.1838349583954,3770.6679467895383,6420.02492536724,4593.231767180852,3183.445763190359,4236.201942235337,4012.3019050322846,3215.397185291967,132.37961709328692
