Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,725.8336662557351,777.0778538445311,0.0,295.4857500426376,752.5150731148575,484.3886606086242,881.3084207933948,223.39331006014973,593.5211358101938,284.3267331435405,63.8895218846782,475.5198479425875,452.6157013761173,0.0,141.73445189723154,0.0,788.4226109581773,485.49241527439915,15.056525504490253,715.1969794566589,433.4367009944201,0.0,407.5605774092544,286.0019396546955,1028.890352297306,1019.4240723629418,488.1140349514865,0.0,24.02950308067608,636.8112130477417,815.9449820120672,920.706327750906,720.7955735726446,256.38703213885617,102.61899559705768,0.0,606.1974795457786,360.6484544296316,425.27140436334696,451.44389680662,0.0,0.0,0.0,0.0,619.9849201012768,248.11127210032706,508.1344454519932,670.9223553734241,798.9892562178059,318.9673180872106,796.9101100371126,218.2013279375071,393.71237883784823,361.2436282230451,0.0,492.35716325505916,0.0,693.5922109563041,215.97386984560796,592.2996219571144,396.82403911875264,426.56273268710027,0.0,102.2252288000291,554.6573270860789,520.5802576260978,332.0171109248368,180.35809322128813,185.3229034397533,0.0,0.0,568.0234898138739,188.52888794880278,0.0,189.67516845845034,332.1507211538959,0.0,0.0,956.0310974717386,540.5167667943217,0.0,0.0,305.2677805623059,552.915260577576,76.24413413619337,254.09853813697563,307.4889423693521,164.7871236615614,890.1363931780475,1061.174660781911,372.98283602392087,878.6167271656996,813.1346062515963,0.0,955.4997900639019,0.0,0.0,741.7461761094773,243.3242556284576,523.7667180033736
2,709.7877289171342,732.3318578422854,0.0,336.05342529239783,718.3601878581605,521.0641741673801,886.6092185740147,155.45461287205043,633.3966142050626,226.110063896935,77.77199539604865,517.9439251141365,455.911423137964,0.0,135.44220200447052,0.0,774.7196093414232,483.60586220297546,8.35265177906416,688.9231256496107,471.622111910138,0.0,392.115905656005,299.41318205890013,1010.9561450321196,1010.220798799033,484.11061200854715,0.0,1.0190702383734447,622.5653378566044,780.3312697799113,882.2729640673833,724.3373645487661,266.43058279756985,87.36728123013665,0.0,599.5381944055468,351.36076999117745,409.0051505332498,472.01625241195325,0.0,19.978521148347795,0.0,0.0,612.9336583198428,253.90671983551434,507.55431434042487,694.0262392512775,787.7821326344631,307.45879901074056,816.7416810141633,211.6716977278984,414.0775476676653,358.6581947132687,0.0,465.4693836841973,0.0,711.6805828303388,181.89538838956432,560.5934971766908,416.26458436668304,423.08792884355205,0.0,104.44490942778816,573.5277473630915,532.1811524424872,382.433638463159,182.4839860944611,164.9821702039459,0.0,0.0,596.8859859788274,181.2618078653724,0.0,174.83563482237088,333.51987884746165,0.0,0.0,948.5493611787549,544.4151286632095,0.0,0.0,276.0807908308372,552.3760355876627,108.42723915998772,241.80022868759323,331.3949094413671,173.22914555378566,896.5729587144226,1039.5170441898774,382.2067849403069,904.1813875753676,798.0604472387442,0.0,973.8016039113224,0.0,0.0,741.2515437813167,178.7976184111371,517.3551955600093
3,691.3160080276464,706.7004529269891,0.0,371.6461892623927,702.2917862596229,583.436020469207,847.0691535384528,121.0102509153453,632.2421542100826,178.9387121236401,97.94410525060954,563.9161630850354,456.24932292713163,0.0,123.87548346567661,0.0,765.9308710497266,488.7674024483257,27.561183225850755,668.1459072910765,492.50118521968113,0.0,338.82941080386695,316.1102631726576,997.39600925079,994.2302726502298,484.33069235986875,0.0,0.0,615.3221124463316,746.6184501572168,851.3260839250922,721.4442981403649,254.53017494768665,117.71029592026764,0.0,608.3133176037793,368.5554953808616,404.8112563343645,481.73611797383865,0.0,75.9192137836948,0.0,0.0,605.9619013288504,260.9969270793436,496.6546800268486,709.0148698909518,786.5560508620185,298.93086329149133,850.2964265419789,204.98955670316494,420.1594614893039,363.53439245925637,0.0,441.0000463829465,0.0,715.4164574322567,166.19143067979394,543.3108508937205,419.03827844062334,454.6377874508093,0.0,97.68233937474162,595.8665539762281,523.2824013345032,420.1182711322226,159.3025663849769,159.89908969684714,0.0,0.0,633.7794079000869,168.28581413582563,0.0,184.51358603586,322.011345034585,0.0,0.0,924.860813556917,538.6617927458854,0.0,0.0,240.90266907437274,547.9562362178033,147.25791048757276,215.50930919704564,352.7488178505102,157.88560763811984,918.6869939763642,1046.7624087840725,393.6835702084125,942.4306791648373,785.6346177230428,11.324932692331572,997.7477969409176,0.0,0.0,728.6035484422682,162.2997787580056,528.2466770117514
4,668.2904680596776,702.986529491063,0.0,422.49366962376985,715.4320249529784,608.8120665624213,779.3461633873176,118.52558702222836,631.0495832797346,159.49389059694812,111.70253397401953,595.0658445640074,466.3395822079245,0.0,125.49331958003063,0.0,757.9630657506609,507.5543745687971,83.43007400440248,670.3054378287911,488.2582263930193,0.0,308.98503765373187,314.8299739672211,981.2022846991731,977.5488801127233,507.5993405515328,14.924070910655871,0.0,643.0421268941875,722.8439424014773,838.6396548552468,702.6385805354189,300.13341508230496,133.19020238568427,0.0,605.788078865314,379.6313351063976,386.3314520903603,484.5081739508897,1.990376053124578,114.89046440774891,0.0,0.0,574.3572164881439,328.9141421083256,502.88814449468396,677.4156840262544,744.7901943850546,279.66356457819353,904.3376873349803,212.30240751867586,385.4191202730984,351.1263099306478,0.0,432.14717765467174,0.0,693.583177773628,158.40421312715463,513.8651134486986,419.8680796112961,515.2991528323093,0.0,88.46813291781132,603.3475649336804,506.60720736796475,455.7328783483742,187.26569290741338,153.16234556174732,0.0,0.0,632.6632561054996,166.65293460951202,0.0,206.96524555764555,262.1660334227975,0.0,0.0,924.7420682644638,548.1633640952434,0.0,0.0,222.3845250182038,567.2449318222434,186.86523072868832,187.83396420221987,371.66122045302876,125.98559489896968,945.2361223856069,1043.3945092576928,387.252242883493,968.911671926088,795.7857519365086,13.68525205325301,1020.3649686329143,0.0,0.0,697.1326196334919,178.3300818650335,557.9611469568426
5,681.6922033328347,705.9117914772012,0.0,477.64995651429297,738.75374888643,637.2011894514507,726.7359535958251,90.16867990703543,635.6932826926693,138.26456465638324,127.22316319299199,575.5289723950284,485.5926918957969,0.0,129.74956678474354,0.0,738.2945999041497,493.77627595154087,114.04380147156954,663.6292844978889,470.16140634774365,0.0,301.24550025213716,295.9808078240082,993.4550328087043,939.7833642063865,533.6729904504577,54.70855185090957,0.0,634.043317986224,710.2659590818128,847.1823655434573,692.9569879053804,347.66586814479246,108.99987135165719,0.0,601.191377907151,383.92534484188326,366.00691355583217,467.73028194242244,20.379768127034595,126.4342726312426,0.0,0.0,533.2333830187044,393.87383068025065,498.9139203087322,618.4016246376625,719.8122402966785,291.56902837235197,943.2586874322974,208.15614433868348,365.07142865249995,351.06574542261205,0.0,404.71939065681414,0.0,677.2723235865196,156.78678440676828,513.3189204766993,406.6984659316089,556.3124533523946,0.0,73.1515948779037,570.7317732133529,506.6429928543633,478.67477469448,259.3574462095579,136.63812592721106,0.0,0.0,632.8689315375541,170.07172347997437,0.0,183.3047703738036,187.36915727188747,0.0,0.0,937.1896663558086,536.1590860545746,0.0,0.0,187.05252326252867,556.7539756217286,206.75786559932448,177.5643736942981,383.1363203155579,111.90679298841428,954.492652287775,1051.3344164090574,360.70604558019284,999.1532927519597,794.7384344034776,37.178833283788435,1010.2018638752168,0.0,0.0,671.188362704773,168.4665758845632,589.3495821464303
6,680.0095204324348,713.6507749648417,0.0,534.2070789576562,779.0452827169668,623.6682237405752,710.8803352353552,104.925950257322,622.9637697192582,143.03101677454688,111.42675024815918,587.4791857683708,501.78890440351745,0.0,101.94818049092976,0.0,702.7791977134194,452.91875107477284,105.52078202663736,625.927345700668,474.39501078090797,0.0,291.7878656683656,296.6892419579462,1001.8037249307813,925.0739094658068,570.670870492851,77.23392299872665,0.0,598.3862480253198,697.583830946614,870.0181432865606,706.0445591635435,350.45185904972726,111.685147835399,0.0,598.5873279867175,412.4117379513174,383.68936089753606,476.1106449957853,60.209285558888666,118.59565500724602,0.0,0.0,519.52598649223,411.4878706141908,536.2183971264376,537.9671354825065,678.4901130613217,335.63135466708536,962.9948401907461,189.26423933937735,356.89429905835124,341.69896989624704,0.0,405.5850658394842,0.0,681.8739532627001,174.97041785502753,524.3644524922429,412.19872825291566,592.1270096683904,0.0,69.67377969358614,584.4682502571654,533.4655708125796,472.4632691676051,326.857645022788,93.44139093900748,0.0,0.0,638.2671666532685,174.397999719813,0.0,130.29012702078552,109.67522973249973,0.0,0.0,970.4851137897342,505.2183013207756,0.0,0.0,167.25548076010966,504.6856274171246,214.55465210576295,175.73093145904363,318.6883933115396,88.40710470735593,973.5848178331014,1061.3380165008666,338.90790261316806,1039.8288386327197,747.4521004738428,38.726109631327176,1026.3298541330262,0.0,0.0,652.0846527447868,174.28157240131804,591.8912803482363
7,649.47942603314,746.933703037007,0.0,568.5842553693474,809.8061549127965,624.5518416329844,717.6614795836304,132.21226888125614,597.6754809761933,147.46083396491125,72.41536606109906,580.6353614811323,503.53546414621235,0.0,51.260575959688,0.0,674.7286500133187,431.21147039609855,83.20882843673209,570.6293157666255,525.1387123359584,0.0,284.96915006293995,324.5182420244092,981.6485315637701,902.6449005589552,618.2853774689337,96.26714866782612,0.0,605.4180065147207,671.1069035714265,868.8415994748545,692.5226831121331,354.2129584188955,128.69909365851487,0.0,621.6779954449275,448.3921603827099,422.21282595455705,473.12516644416814,105.84932039918701,120.48377701272216,0.0,0.0,508.30153502610233,434.7237309724047,538.0510881904929,467.16289980540614,651.6001578405167,368.7922466714324,1010.7084196614062,163.80786931455754,366.7623313248602,374.50613367068513,0.0,457.37804297523587,0.0,703.9716148346179,165.6921804921883,562.8649765729538,423.60110733444094,612.7660326407874,0.0,67.45574950680657,615.273118746881,545.3607407468755,464.05276463175943,354.98305351828674,52.01227127200977,0.0,0.0,668.4633620016587,174.596371823354,0.0,80.72258565102175,62.893158917129654,0.0,0.0,989.377041021078,474.76238236253744,0.0,0.0,184.135825496011,463.2551060394658,219.53826166977177,164.01405786754611,251.6754682261527,61.53027225881604,982.3843042400408,1081.7831259143677,320.3845027906236,1076.9215953822115,698.8785227095525,45.87014594274774,1043.4473849945243,0.0,0.0,614.3763394939876,186.6507768390009,568.5610382376817
8,634.1646914070536,778.2478218992626,0.0,596.2639494102289,841.834976022504,659.3229002742041,724.694363890093,142.74579678557535,589.4588454113889,156.4559306674209,56.11615150521857,562.8139025039791,495.18061620745317,0.0,0.0,0.0,670.1801932727124,417.61959499786144,91.51534346599675,563.6947026592889,555.156450182534,0.0,310.96718870722316,348.2095822113373,920.783892524327,871.6576897838975,664.8628386979167,133.81471519443627,0.0,642.5121971215326,660.1482344147396,852.1377079319989,674.2231617609965,346.9445281956923,144.76584040075477,0.0,643.3070340145429,490.3625426865515,428.3801150943297,458.3590795569831,137.76095605863475,130.78501057008407,0.0,15.65945937462044,488.9350892017793,447.9711228762267,514.0276408796083,421.9899182334798,618.0540129271228,414.73431535498435,1056.634572448321,153.95486786299278,374.71946929052183,393.269962568397,0.0,479.0215466148959,0.0,727.9861632986483,156.38207922838524,586.2039021161168,447.98294863329863,626.6474827275019,0.0,67.77076906952934,640.6965639959908,555.3024964187152,473.79915411112347,325.1557099415563,3.800573702072711,0.0,0.0,688.2367707295796,204.62939556925923,41.5566483585707,54.601393889053156,48.1847070563519,0.0,0.0,1009.383974014057,476.7498589581207,0.0,0.0,205.48788668134125,445.7031855596679,240.79622056894596,155.04478099534413,222.0180521372926,50.43465341217956,957.7391842555598,1084.4618398459072,295.114475302361,1066.4625060405886,684.6995124199326,57.896389543403046,1059.856850186081,0.0,0.0,582.6174234650525,201.61445743983995,597.732623284453
9,608.1974869146616,801.9134042043336,0.0,603.7537638022222,855.6998240852549,668.9656652379986,737.7681435017973,132.8130802949692,573.2694273042985,173.17082446916842,58.669266102466935,538.4193021127116,511.6998489133199,0.0,0.0,0.0,663.0852001397698,422.3151701061895,130.74442292260363,558.9783987276869,564.2541322054883,0.0,368.40637325848513,353.6087577338893,868.8666586735965,846.7911660975055,653.2305624330493,181.98012668637824,0.0,664.3511392271819,674.4018032578172,831.5082759275608,665.8786105203966,349.77744642850496,162.92234893997428,0.0,660.4186545598387,520.1924350847047,423.9222757609499,463.988910375847,148.14333405809398,125.97268236339966,0.0,0.0,491.6703957296764,441.71790667752464,488.91361899046876,424.2472172786539,571.3314146746516,485.68915064610957,1105.5964811544527,125.30214965603295,386.3213338092645,391.7651338008609,0.0,505.14379831410105,0.0,702.4137461438193,179.4889289296766,620.025585298308,463.4525301513504,618.0181607890493,0.0,46.41696665864151,675.8352653358238,572.412872192217,501.2956146209162,311.7991589681824,0.0,0.0,0.0,699.5957327713409,224.4270931400416,61.063999986227174,22.23209013582408,52.51181693513297,0.0,0.0,1016.1312754111073,495.7521292606781,0.0,0.0,209.7523572920844,455.98760473463733,290.98023845430544,157.7941325503363,201.76433430341166,17.920028119917845,951.8719540208117,1093.4650258611946,293.62385739187584,1029.760914804682,695.85327704212,41.78267598154633,1068.2056295253526,0.0,0.0,557.2229146794502,185.0724283718793,614.8313010322445
10,604.0858041129272,816.5742194376312,0.0,592.882505686478,873.0945553493286,651.9029503487975,745.028701033888,128.46698183554224,574.6982153134481,188.94194374368652,48.02138120152051,522.7470947863608,521.2761177235633,0.0,0.0,0.0,654.3297945603692,434.50448249385477,199.26081684788073,541.1511849411697,531.0314285402139,0.0,421.4043847847797,327.89757842601546,823.6864203628672,846.924392706007,614.1572953042012,191.9646532133233,0.0,694.9489073740408,706.6630203799427,810.156232269311,660.7808549515955,369.6808785957573,185.89613696711942,0.0,653.1488318466426,567.1749824496633,436.6611453713597,470.3888410667786,157.97019653685388,98.04631804904,0.0,0.0,544.7941810891973,431.2672205605622,491.47329979306033,449.28841142169676,512.1065295800204,535.5309538948411,1123.3142890713855,73.6314708899059,348.61988434808535,378.00048756297434,0.0,494.15391300007553,0.0,662.7378714811402,206.15235692670933,683.2147485824721,464.27013132202666,631.7233380853684,0.0,37.27039982898907,711.4793906585041,586.2611952470343,499.0570388290893,302.20556109953884,0.0,11.506748612982108,0.0,721.6249173989961,217.71220091607267,71.34140092540378,20.03879334306879,41.59156958202368,0.0,0.0,1020.6275575357035,481.9370538820161,0.0,0.0,151.2983847242834,500.23409479128003,324.37240816648483,145.06766466209552,180.72620565869536,0.0,944.9644855638956,1129.0615850034376,312.1934543548844,1018.272951754534,680.7666860359063,18.916659991174072,1060.4640563777764,0.0,0.0,540.4149611446315,165.4490072277124,627.8484112691583
