Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,34.637587458683925,1251.9336906728313,488.71399001291104,744.4046449244199,917.6209027421414,361.80090317189433,620.9522435925886,0.0,427.3944192530232,853.2442154348596,51.137523329476096,68.33416748543544,117.14134081996457,1181.6301732571887,1119.4712033606256,0.0,986.0160009051035,263.8762386946519,0.0,574.3178573461311,639.3009518636741,7.753081112297934,217.10918497215232,223.65136328194183,0.0,286.31750816920203,232.66031345260797,0.0,767.8776454743231,821.8574939765139,729.0966772839205,278.08562296496905,552.6963920042477,0.0,632.7541194404597,0.0,845.8614247968794,1319.4289630399267,511.56210265133876,38.411090307442294,738.9602335174793,716.8300842879696,1274.3567759800976,437.3304908171061,1114.0541587186442,0.0,424.68244352919953,226.6991710002327,706.9700257940485,0.0,526.405907089912,358.9168382723874,560.5386045510015,1355.7269356998809,290.4823060820672,501.8822246723321,1577.8469595831011,905.6160560474693,1109.0356349687904,444.9559197438553,64.4174630225802,422.2122377218118,378.7200511278447,732.3257782118337,765.8721116382368,798.6045428541443,197.71498323127287,1100.6850163865884,127.87122707279343,535.2273253934352,137.25212083010905,391.3364938857574,283.68204325858517,737.3701955273616,606.2616881051953,109.48291142242567,1162.1145597099103,933.5764606086881,680.1891588077385,511.19775952622484,527.4542696329561,219.1072214265323,0.0,385.23340601813595,0.0,20.479527461904638,306.3197291390352,700.75787515109,1091.5733893739543,536.0247522959646,442.4647919430374,0.0,544.1255969409366,1274.6406602792783,720.3523469819861,1072.033157801337,359.1106141757657,433.8405239285367,1670.368973023265,0.0
2,0.0,1223.3555976062921,510.212942208386,746.2785975278248,942.7746818706337,395.9630984886613,667.9084368211414,0.0,321.14222531612035,717.1272931838794,0.0,95.42167018630369,127.03513126977958,1102.4334660587565,1128.6533189579345,0.0,1043.1094600689703,309.799088566897,0.0,566.2974452702967,604.3499529160814,0.0,264.9247767166402,209.326651749134,0.0,326.224364250892,257.3432138992704,0.0,786.7137962188526,838.4244843469103,783.3059395467478,253.3886044515882,553.8803441062125,0.0,554.3636520824095,114.15474323626688,851.5744682493681,1303.9288010313921,515.2254445116668,34.94484902221734,816.2390151358346,645.3312755757959,1240.0176275428598,522.172531187203,1274.7181545214307,0.0,323.6661732772825,240.94065407802128,675.5911465861321,0.0,576.3227940581199,357.57296040195143,491.64081515806004,1415.7451317936427,340.9604145374586,548.8247045791655,1522.491697978005,909.2052895498406,1061.6585909259302,476.2607347107654,179.73783401397338,369.7397212758834,318.3219202884262,677.6596889847542,774.1881637784822,760.8159772330134,245.30060453581171,1080.957221911538,117.94770246046102,580.8832156486192,48.691787647946114,422.6983172724948,225.2081320927386,673.6277535924714,598.1342294972713,117.43133199552477,1068.8288366517718,977.7981511970906,704.9368762295447,461.64077105108447,538.9573722844054,222.83289324822908,0.0,436.0504826407961,0.0,49.11042744851932,349.54617389236154,781.7603045467082,995.5341042814481,539.1288995139955,535.1476418878133,0.0,506.1086654111929,1251.0703151737798,745.4078802088461,1018.4333046048313,380.5950218157456,405.3073914315223,1594.2814689567776,0.0
3,0.299123405399655,1150.4649588385223,544.5719516644567,784.1520802970005,953.7247139781635,410.6624111639554,748.3015789970486,0.0,240.17732175125036,601.8129761132498,0.0,114.06381770538553,167.25975141962567,1071.999689346137,1102.0413443629175,0.0,1069.3949312238974,332.81467637643306,0.0,550.4027831269217,671.8347796738259,0.0,305.11616936430676,135.19290989095805,0.0,365.27739256997035,306.8893727643406,0.0,758.3536074606517,815.4753466001438,789.5494590424996,263.3846458607169,599.5051451711414,0.0,521.2832644758805,231.28840919892662,879.8455996209254,1274.974529419726,453.3781058415181,0.6775355179656799,928.7992319316537,556.0435619656273,1192.0248187249347,572.2749041295459,1391.9523504861472,0.0,215.93396981397228,256.3821315659301,655.4638053775891,0.0,595.5459778408914,381.69815139097807,406.61839224818084,1457.950810829222,417.83161530776493,548.5988685520822,1523.4673529673946,900.8371540859463,1078.5253242938138,491.4197693071148,275.29966224289035,283.3294222200093,300.2821220973467,562.6290963181098,782.756257885351,703.0668179875728,290.0725462680606,1010.0986136280943,119.5005274246463,725.6946900300597,0.0,444.7496421433385,172.89626537979018,619.6200922303922,549.9194542686917,200.74454891949517,1001.3898577096091,1041.920774987992,673.6692303074088,447.3458625735323,592.5541978892616,274.89921679181555,0.0,451.9280687399152,0.0,70.40215978428671,332.9157440437041,852.9317674696119,841.5934580447502,554.4524655916236,610.9153335224205,0.0,482.0588208856517,1184.2747794289685,754.9203795668083,962.7120960864618,398.9235467352208,326.3991540120785,1512.203307215233,0.0
4,50.58032234481993,1068.3147881226555,529.9880708592179,796.3493237875182,950.8050002932879,431.79038700740807,835.2531844673508,0.0,160.86283541758507,549.7091599555708,20.72945853925455,158.2606462693784,202.18263373182788,1092.2676377244159,1042.2707213220615,0.0,1083.6342574455261,356.37943791949556,0.0,499.1143202857529,765.6359874118008,0.0,352.20326503649693,73.74660698711284,0.0,389.9173753923462,374.60795953050183,0.0,721.3424464409222,888.7903810293283,771.4837581792608,234.84262717317574,640.3034920908899,0.0,540.8869211027882,294.3707318031978,898.7196731303877,1216.9205859388558,429.43140344868664,0.0,1055.5832369119144,494.29646905188497,1166.7160522898248,617.9920242991809,1437.000081588334,35.82509593295151,122.28901870267583,253.56951520756422,630.130028289585,0.0,587.3792491941415,432.5077284343659,387.6163203748448,1534.2866819516416,480.1810928955748,598.7316574533663,1522.3862465200004,865.0535014411728,1106.1400391798406,499.322948752781,292.1536105119933,184.40915841497713,313.8165855200801,450.8401923620048,816.0913514051718,666.1048973171557,335.9051124077744,904.2934827425313,67.14967893330612,848.0797958207056,0.0,477.31713221993704,137.82227463714696,577.1787694958057,503.0944987778598,302.5093445884196,952.873267798109,1115.9891367125979,687.6945138856596,449.8431824321726,701.7177803326516,309.4962541935804,0.0,425.7851527266908,0.0,121.18961712699718,305.9364911647473,886.569795565094,753.8085609421378,549.095966931159,611.2372711324773,0.0,461.15385999584265,1127.0505608834424,701.0871434263969,941.1406634220372,423.3631813421522,239.9488977569527,1465.9976777373695,0.0
5,140.56524456282773,1002.7031042202995,487.4654516617929,767.7567820301192,909.3891878437015,531.379196438884,877.2354396862592,0.0,151.53563411212554,549.7391801584495,53.9538171894302,197.4563414303733,192.97803086170387,1151.9255876893144,969.6354927247249,0.0,1080.8710032526606,350.42542728589734,0.0,504.62448333530006,810.7497106802662,0.0,425.46871107547713,78.39596281517868,0.0,450.72770446746523,441.28941313117076,0.0,715.3442618092195,997.8492682298557,744.186067338265,175.76692204212128,657.267326714468,0.0,564.1059852710621,292.3644393798797,881.2406396997658,1189.3215132849446,411.06896784703497,0.0,1178.9270982398011,424.8246437898631,1161.360177824342,661.5272806454115,1450.80434902458,79.25797241137411,81.8498875087214,266.0089936759656,641.653790582873,0.0,548.4107522963121,483.77400743579835,441.0999225871742,1575.6095618553395,502.41595132697205,694.6289044875025,1523.7144287018264,790.3271751305604,1145.6171484034717,464.92698934874466,293.75943554055254,132.97075621348245,329.29460332160033,356.67400144338274,837.3401653189303,619.871792108351,353.8386239128175,821.0956619327535,21.535120832053224,905.4020698729139,65.52361311445645,502.0966738547056,96.17999008541835,574.8629097174496,484.8330736058354,385.58189879586087,922.5098745370417,1201.5959105397412,704.1158815589563,412.8361407240495,779.2452022236595,335.4545585846666,41.669124319926254,412.1698010010484,0.0,162.63776866880323,294.5320063554469,876.8188923426042,705.3369124025905,548.5722026232306,595.4288181156859,0.0,397.46591110866666,1103.8082200488402,633.5978869667848,929.7430533543146,493.14126000712395,164.49852348026133,1447.6902698745093,0.0
6,191.34020828767018,936.3971198884252,428.5673628494295,741.3723729985064,859.0901241252171,699.4808554480227,896.4027935459436,0.0,208.86570736728606,576.5824528222264,128.57026703619874,156.57181330340177,170.02068087812972,1226.06541571647,951.4384191654718,0.0,1059.4363955264466,303.92381633133505,0.0,545.9905249237625,843.5865537363453,6.71711103647533,483.9203107450227,106.44280317107473,0.0,498.83645713822193,527.5539418057265,0.0,805.4942474135521,1064.5666192790814,789.2563537022003,161.068110275972,634.2490963766838,0.0,536.2742237979206,253.33095446951324,813.3241132604073,1181.415945543457,373.40367472437015,32.64564504172199,1291.220299976575,324.60784996440174,1133.2620815498917,693.3296646974095,1420.8262539885527,140.2866200350968,45.213540950642255,234.73233911737861,655.6574579829057,0.0,473.9948686086208,543.1887327375688,485.42216700584396,1566.058242958742,453.18854412239267,764.4953802954682,1529.0122629880884,737.0729914855549,1223.5526859074334,410.79728505636933,334.62407933733965,97.48823920820246,342.0020062536925,292.7915986277546,840.0503132288936,526.1281814752734,331.260347147606,764.5765452671681,38.17999797832954,871.8976166524824,140.55439895182622,530.2485188719567,53.4390181276284,587.2597857726372,463.2668609340193,416.5524164692734,875.5112580634321,1195.435530576103,672.9124100239353,399.3006470535531,825.3999681533592,388.3544043360205,67.81189282330524,414.79597773271905,0.0,187.26277766698706,357.3428713691369,886.5006028733256,627.0071118843255,626.4800969298058,629.3032119199021,49.32939535924913,368.6534960630164,1126.1548459620776,602.0936975949495,937.5646120781525,583.5590332253634,102.26058803361553,1391.75923337853,0.0
7,231.75205326072233,835.9444791898455,413.6002862995724,742.431551990592,836.7416985908434,831.9641116973601,886.4135557858673,0.0,268.25095744770067,562.4650066271024,209.38660417708127,183.09125131660699,207.769416455223,1217.793095790365,960.5310204809317,0.0,1042.327416931426,258.9137203229179,0.0,592.4320837851383,872.1397419217774,163.67713141869274,539.5716393259779,135.21319904512904,0.0,518.3466850386438,515.1598264419612,0.0,921.1735609091542,1070.4278621459648,857.7371068744944,232.11205289866461,592.0532939014105,11.20030278596721,534.2507425971658,201.12169864875972,685.043138979291,1133.748337605628,380.0434743146568,108.6460144546329,1383.883889597461,190.34945198770566,1074.1677692911594,703.1041191377449,1381.884537509793,202.08518806705342,2.7145078688105286,208.4996539854685,693.608999083275,0.0,371.42114816317815,563.5259104986545,448.3441963948025,1544.49045633184,345.58791749114397,744.4926458805194,1503.6318954878125,644.9620245269781,1340.3535179389128,400.63213945195037,369.85256597697753,47.846234718462824,353.6628109754114,200.86131220494497,808.7032728888817,404.9644988857494,317.70016806851413,768.0788167574733,92.87995568082147,773.0193821137967,176.48692769054458,523.0662605836848,53.74735021437448,596.87246204768,389.5820471355995,422.6759882434227,801.8637422018003,1149.6413945943832,675.7474710701704,418.24463179898936,870.1929785143927,373.55461296175014,76.6646312041081,411.4823712613857,0.0,196.92866133410007,496.1096708274647,915.9583059639914,606.975251960885,723.4069130540369,668.9069180807323,75.49269703374011,367.61624681583794,1185.5996574080432,573.1217211571137,966.9243921751219,655.9393551025776,50.68901044922836,1329.7083363734464,0.0
8,277.4596056695416,774.0462265824884,418.6146383127978,711.7979642275311,795.0346545505549,914.6535011122944,831.2147568831708,0.0,277.19071623926084,545.8296170906782,272.61663704433636,231.98969191307071,235.95304274131092,1191.7398671376968,951.7281505638268,0.0,1000.5964267101585,288.5930839929169,27.135567450011422,654.0263128250937,880.0698577711009,337.9428406058347,593.4032412386994,173.43383708321676,0.0,579.6102098906327,436.873622136708,0.0,1001.1346366987809,1060.6288766978764,924.3084419559552,339.9416884231598,600.3887433425336,19.497030455190725,580.2347923225759,133.99026795836403,538.9307468871441,1052.1606048200583,450.4163656528708,184.38815393338086,1457.4497621426344,106.83876442056254,999.4223474183949,712.423620307531,1311.211734563719,257.3977699312638,0.0,256.5578275146331,705.3785139164064,0.0,246.86390332386338,556.0978994906666,386.4425342004934,1464.8394120405128,229.07137326362465,657.1818572569525,1470.6532028046736,500.8960211813383,1441.2350712088373,456.4618470114974,423.43127542680907,23.135666305854784,358.4774961508642,67.96648572540266,724.5143096432314,299.2818746309067,291.241620174395,768.604594632928,110.5834344748481,666.4305630505495,161.09379611253723,491.9583634914405,84.93134764528486,632.4163369683814,332.9453030790455,412.7721889009572,707.8342907270973,1085.4003441971272,741.5458869592019,433.2158314404297,890.4570069161518,319.2623092819123,69.4039947756985,424.6517947758892,0.0,211.11969825330686,661.7007186737605,875.0137606238922,608.3038592109783,764.8053387331961,706.9264508376107,116.5464108917605,365.6050878626514,1200.1120744648579,550.1641991910167,990.1495206808135,719.7994897928637,0.0,1288.7702182032563,0.0
9,314.8094994058127,778.0967878002645,414.60367848480877,592.6001798407337,707.3380484159673,949.3125482586822,707.0195772078629,0.0,214.51591510988635,535.091845647671,336.63543712474683,269.72757407693234,201.06754922371897,1207.2202167459227,875.1426912512388,0.0,926.5729408446134,343.7163626562672,70.09660412437734,736.4993061657158,882.362368819403,492.9102109349024,611.5553449836079,196.81129030381004,0.0,620.0421229338043,352.38073070461616,40.39873616127011,1034.7837122118526,1005.1323604624296,987.6996210711866,385.7931955983159,619.5292605502714,0.0,627.5214319186945,99.15715926443926,420.2557323607221,1005.084614606781,538.3893720673831,201.15046333008576,1500.934173149269,94.734762611581,966.8935176137323,773.3152637645649,1230.5849884994082,260.2071243637081,0.0,296.1852687053711,744.230981621674,0.0,105.73754912987624,527.5325613474947,378.2970929909105,1392.702934199404,108.66586383290905,532.5257943850143,1438.9186237560898,361.82257286779577,1486.8032241439691,521.9671493813822,463.09933591678043,0.0,360.6922761447868,0.0,659.5179988839809,229.76164359249833,252.4011868021705,755.9322872207972,118.34973949124645,585.1431663860735,154.79025473057254,482.87748198480716,118.09746734960527,703.0652488758271,283.18732390976436,379.32158462116666,630.036666290379,998.3701407981463,815.9481641679763,452.49606620428693,849.6254024982095,267.5781665029833,89.3022178158418,452.82578751250264,0.0,248.75790893267128,843.4588688044857,765.2578754127579,633.1866534332739,773.1297600454033,786.3945281122153,151.822838106291,396.2024131716755,1197.8392389981523,546.2044328877959,971.1099427411019,763.9424093882278,0.0,1261.0487253371043,0.0
10,357.77720183997883,784.1145085749637,462.26647095580574,451.0653399220439,641.2922107244237,1013.304589881228,566.3488341948001,0.0,125.26826339688648,535.6604253064828,435.94384295683705,331.4233218106198,192.22996712318417,1229.8733364789337,803.9703931465776,8.171244575279161,904.8242258024056,357.1888812075382,76.43330408069994,759.4365288974188,877.8244723116778,649.9518098461916,590.5348754983495,160.2824292334031,0.0,665.8453202266496,319.3871619709695,119.35189699517537,992.3715655652411,925.171558586923,1011.3241120075534,357.88964520994335,575.3627384434208,9.013191611060051,613.9061316419303,127.41026101649777,269.8902752173841,934.5632785448537,552.3052712872019,195.3638588365037,1489.7957148006253,99.72395530943345,927.14374457435,878.057659892539,1185.22950385189,268.6361287986682,0.0,274.5416009249137,765.750856376731,3.6035415032785068,0.0,520.3151459198638,408.29629427391967,1376.6568484346044,14.253960285126595,426.8616918836275,1417.9662631916444,314.1348807868909,1427.8714657593373,538.994937117727,461.3933032573597,0.0,307.15818852522665,0.0,686.4567409753852,227.8624571867789,239.4322105603594,718.2552693626967,94.11156043902099,533.6226381796713,204.4647296624142,452.1998059246994,163.06394094378277,759.4993778268179,226.43064915927255,372.73538787788584,564.9866275549045,882.3739552882207,911.7424536598841,456.0131024119673,811.0889858425099,238.59064401363457,148.68938023161638,464.8390780819454,0.0,279.39985935469826,1003.9736299504868,698.8302401454479,628.1201341023952,741.5387259180798,853.8943295798178,207.51448518105428,491.03090499172225,1178.6508516281692,606.6183916528556,961.1696434294398,829.6332680705793,0.0,1223.128038650624,0.0
