Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,1838.3142052562253,1040.9856570575757,816.0122313134513,0.0,0.0,1347.7881685105551,956.8383090753255,679.3649439986904,1180.7955614303291,152.59342195961938,2226.2192938767594,649.0441283783108,184.83248073681136,0.0,1825.6980510823055,148.8656987189421,3111.11425830414,2962.929607893773,2068.5301154886943,0.0,0.0,495.05827078108985,2266.9552522220847,1335.673703848056,730.9801779511353,221.67350136678579,133.64058772730323,669.4347334846824,852.7401933024961,1867.0883600230732,931.5348197825858,1366.0912912464257,552.8348262048212,216.57676041210811,546.1829103436997,1441.2183087654262,1058.0740178551682,966.7913965330316,0.0,1158.031017311804,644.5615029418292,1131.061548159905,82.67594495114588,1037.7480895583908,1275.4972845284303,1102.3485065070354,2156.4624523558905,251.4304759168108,941.4858858110382,0.0,1944.8827713735698,1750.899422783924,435.8990487554721,0.0,616.2131609865344,428.55789837323726,1111.738243786574,247.41786070454305,364.10455722614705,0.0,0.0,464.8823788643894,0.0,799.4300214301182,1979.938196606883,568.0296118607687,0.0,217.6432769901695,1182.2280437506206,652.9702462606699,1464.5633220558077,1146.6645357369407,325.41455357774726,217.70721673341086,451.67666481186143,2274.6206111151914,1943.6175833599275,0.0,1536.7427044460712,2420.829568902277,1225.0975374519185,420.72407498338833,957.9367941518057,1260.2218477917445,1407.8371306032955,806.7928347816556,0.0,1085.4159094963966,963.7177214568503,0.0,1242.890921366889,1969.2888243152233,1960.865449824545,899.9650341425612,942.9315567684758,809.12639923199,1441.43255112633,2308.195265288142,1092.8923829616856,187.32461167972508
2,1734.57505860862,1122.4693497030614,907.2784864896646,0.0,0.0,1262.9722424930897,862.6809615258856,764.0465909675019,1157.5804476953913,234.5502930270825,2287.5445458081867,688.6404402153471,154.83617268475064,29.270031072779602,1906.8339083077526,292.39444281304554,3041.458541111476,3121.7454450970213,2043.174383821763,0.0,0.0,398.83210720370914,2038.8201040474628,1365.4437240040238,784.8631716962788,300.0946581192842,21.24802350162372,887.3289407685589,729.1208743815558,1844.4467802846941,901.8103052833019,1657.9732338652104,659.477941019413,348.3263186238903,478.9253520376787,1324.035220138516,929.5171379192462,925.5421736118471,0.0,1168.9598777440954,573.7863517340753,1443.2641244416714,189.78311560072302,1191.519676547799,1372.6866618936706,847.5743459595789,1947.749943165361,336.7532543987862,954.5652736413008,7.9531831779756885,2087.497567228322,1886.3891047920338,308.9513667964168,0.0,351.65714787980255,366.71585848781757,1220.725559290214,418.7312847180219,399.8335164352597,46.18971187875718,0.0,541.6188141968696,0.0,926.490616604029,1799.8805428529854,676.2590197618118,0.0,134.18114720924268,1150.2436578078778,524.7005417177595,1505.1002231237412,1232.1428936398804,295.1181770483372,110.1423381764796,336.4633905342804,2573.7987611337808,2042.1328014441028,0.0,1390.8090233097955,2324.485212592219,1059.4927848218522,543.6839675063097,809.5081022581174,1369.5644968517581,1453.8447324721076,793.0498754534003,0.0,1075.482170513511,998.40610119213,0.0,1327.4923893820237,2033.0911639643132,1726.7856348735843,695.6498757965521,768.8959650327935,820.6882307204205,1349.6752793816295,2298.7166391447354,996.5497613813853,339.1656104694631
3,1681.4427142427382,1248.9253678034902,992.09164729913,16.938324537072504,0.0,1279.660486999035,768.0675273371154,820.840932285767,1113.9538728373439,319.2702893300773,2330.2788931127366,740.9082647084269,247.01656835663152,156.48936211459704,2060.6480811184533,491.91362351649036,2865.2829066005806,3203.6560337883475,1975.4725771973028,0.0,94.75737457252785,347.0099234596414,1835.2419675396857,1435.8131522778176,934.5951736629429,382.4497894455094,0.0,1077.1757718349836,583.129170986172,1791.8712979516074,868.7552883298712,1903.5256147538666,748.6741954874723,476.2362388946221,496.9302331443862,1032.8343647845609,724.2785063609011,798.0820422459941,0.0,1001.4671092867272,522.6353380818839,1653.4675235827503,134.6467733690631,1399.947222489291,1387.3129181895454,788.2746984242089,1830.2306632892767,507.5445619238448,976.2444583251618,50.30529065699898,2185.907586049405,1770.7926474509768,129.2601844152009,0.0,95.1773372054397,311.5303876652306,1271.8161912371081,655.2446565570852,562.8954244509379,229.13924813925803,0.0,591.5644820971206,0.0,1092.6766752169106,1629.897351880475,647.8819047322277,0.0,76.21157542358503,1236.3448233594604,482.8429498054926,1473.200856964684,1282.4873018574858,261.7882322695348,0.0,342.74791498642765,2752.734378294973,2076.126837268309,0.0,1318.091824995439,2197.656521638715,886.2513299872963,731.4924247103153,787.6559755237804,1483.890132241101,1416.2708536881103,797.8846073369231,0.0,1144.8393928960302,1006.8401180323041,0.0,1342.8304730932336,2155.0319027077785,1557.4422316853806,404.3244087314962,577.4141128679671,890.4601568054659,1355.7387644974585,2382.7014719461204,879.3345530548685,536.1301335249427
4,1565.192239152507,1354.231378968855,992.6231590843901,0.0,88.00291208869305,1351.8849971199807,776.309760867571,858.535974612642,1170.6062685165948,366.25021680370327,2265.6050898101244,666.3770866127384,474.88497023839716,347.90917221368204,2067.004379752021,681.7543406323906,2485.7451077086607,3224.597985390668,2094.5426720648984,0.0,234.95710298120798,270.21399007047546,1759.6112039887257,1390.0381241728378,964.8411249968026,464.2211796572601,114.35097022075513,1221.3791058798734,468.7412123500647,1799.3795987235394,805.1178646057004,1997.9793996207304,733.5293203626733,760.5635566320606,497.0809048075881,827.2415465287153,587.6667823475688,672.1204758081533,0.0,665.0449314557052,632.9039624452782,1714.7215671791982,19.979687826895997,1647.220350148498,1413.558876322421,754.6706670912422,1917.4563085701432,707.6425350858874,1086.888173446945,121.84745623397055,2325.840757844778,1529.8902253534184,0.0,0.0,0.0,259.3088767917345,1209.2214499679258,924.4204188342659,615.2159319356545,352.1412215187603,45.931645594614565,673.1483958125259,0.0,1185.5988881668413,1645.9091586204634,582.5550585570962,0.0,44.436732281695186,1287.1363463333596,505.23375624045036,1419.042931351326,1329.9036355995913,395.1462832604803,0.0,489.95351527482853,2895.5692122633036,2077.3322622955216,0.0,1274.912371618461,1975.325153032862,702.6823870510573,945.4326288511008,806.2919966116694,1474.8727764657956,1350.9562261667486,790.6736659227633,0.0,1174.122243664645,1070.21596540375,265.68988051768235,1328.0761853081094,2202.771486328722,1485.7624939243797,104.45045979839654,385.2511994911548,1024.2575051259482,1367.9141183002482,2382.9355224845967,783.6704640530338,779.0580594861347
5,1387.2416995300096,1369.2056095044832,905.4101785918734,76.58841719818986,160.33392337199052,1529.3191525331963,692.0643016888906,1027.836568091989,1341.907170780782,201.27217416955978,2205.4511871795085,625.7702803733187,716.6231815439528,405.3712497397809,1989.1571723676116,707.9301384005857,2106.707341615203,3271.104106885823,2317.6341051511295,0.0,245.767046098479,86.71185401377124,1735.5319145604942,1253.386235088321,1043.460898537654,735.1373807456854,262.438697222904,1393.989415218181,456.2199938119758,1853.5296810912755,831.1010790148009,1868.7686689031607,622.2810880088787,955.7977799257544,481.482839659969,633.1399448078686,433.6409251189644,588.2058549163794,0.0,414.87831401610987,788.4507939589009,1778.5894012646734,0.0,1829.037685203395,1477.347383129817,840.1036827567684,2047.5192795729897,838.2488965927533,1079.9467211613392,322.5270231772522,2505.0208437520655,1280.749486330122,0.0,0.0,0.0,237.887368002102,1139.5482542781237,1113.819349333255,568.0490893922831,424.26748443515737,265.14517091438347,866.9092683409395,0.0,1104.513994540247,1808.5479921656502,559.2722655860971,0.0,100.95131708054691,1241.6144908777515,452.07319634322766,1405.659181976362,1406.0229100669947,542.4582512704148,0.0,547.6800772277397,2968.6989905680466,2087.7326504836424,0.0,1082.5325938470817,1768.2599038382393,547.7501202594597,1105.000858086441,796.6981226530874,1429.9377024863097,1287.5458928555008,706.3117913024664,3.0041183275116055,1187.1991310602702,1336.505996434737,520.3424651708588,1296.3840791476568,2142.7361810224484,1346.948286134357,0.0,316.3688594678722,1157.4502666274084,1351.5004428048178,2381.488005860293,645.5634109023797,922.6295926974907
6,1239.8492980549136,1424.1523502105229,830.5168969010826,80.55968779051,186.48639123551538,1774.30397754525,610.2488251496998,1207.9194030766714,1442.8725922431347,0.0,2176.9054349034795,659.6178853245742,954.1919498066009,430.0231620184697,1804.6276056434886,815.627708661526,1770.9453302521572,3303.9671791239525,2422.8220579939293,0.0,263.96082578849825,0.0,1752.7963516999043,1155.9790782684636,1038.7064827184324,1019.1129652619206,280.1140249175844,1476.8027170549938,374.226516808293,1901.4439653235431,936.8237245722653,1850.8046969389084,409.7862614662294,1019.1936422091965,582.6008274754009,320.490346127949,204.695130610972,450.2123356164211,0.0,144.95707069815523,962.3269238554449,1832.2384915283155,0.0,1940.2751916441064,1561.029421937213,974.0191276999968,2052.243079586625,816.2804998894335,1009.0406816281176,673.5804677252312,2666.905547119467,1000.1617019537791,0.0,58.505661770196184,0.0,176.07400927355957,1162.1763475628545,1263.3646499691647,664.8751767047976,395.9591118862527,450.8018507032283,1086.4081072121,0.0,1064.422375678771,2004.8435692817714,610.0793207098222,17.339757761131978,285.01612710771224,1167.352463428946,453.74906701048286,1417.7865980161328,1584.8794465651467,610.7695920254835,0.0,476.4488654770453,3068.783855602158,2035.2818423599638,125.15095544629935,936.6053435362377,1716.9762516075516,501.84005977648917,1246.2333763724826,820.3675550370805,1347.9291783129293,1245.9891363279046,583.1222014187895,129.74332937374788,1283.8733073606018,1438.6268963503592,697.1190193643436,1258.0696371342076,1880.1012593778723,1310.8772867550824,0.0,268.0706620443485,1242.4445304709238,1333.1097990975022,2380.957288139559,391.570755019333,913.1540742987888
7,1253.2158434840976,1456.9016634326222,722.2593843996865,51.38638715654088,274.56860662167264,2039.1594792069843,434.70195695656207,1149.6187782382528,1449.773258588667,0.0,2123.772730682627,507.6672347630886,1177.8606340624242,526.3637782933042,1603.0263395458196,951.7778942971529,1502.867608335173,3277.2640230397046,2377.3612287127257,0.0,270.9806098844299,0.0,1792.6334086727443,1169.0520554103182,1021.3343044113612,1007.2570733888115,218.08908256799134,1328.3998969649397,265.44364122483876,1755.0895762272835,1008.0074174872204,1912.0164825629536,155.12430718279302,1038.8697949493142,702.5058033826101,94.69460867161479,17.270597047092338,351.98591421818537,0.0,70.44398605348101,1195.4018445048232,1811.4814097841065,0.0,1975.0026190331362,1553.2748971324127,967.2470326997503,2113.391484152181,726.0211332762815,934.762365126939,933.2027475874237,2673.611825347014,793.0146244109056,38.29201832907711,43.82609783722842,0.0,0.0,1104.714085504198,1432.3398528734997,949.2928942111732,407.17709349731115,635.5374111687088,1178.3866910819565,0.0,1094.8685357528866,2004.2632822848436,744.1782613606656,216.35770650440645,406.4157602694328,1184.9405153622583,457.471679748875,1435.818709152254,1721.2662089826986,720.0266045144531,0.0,467.08623330976286,3034.376402110656,1948.9877363637906,411.1466795547645,832.6850192324554,1661.7969542800204,501.93489543998436,1392.4302580783992,872.1665032391489,1208.212592641092,1258.8677707968545,416.6190159676161,184.93723538646827,1238.4920479307466,1350.7904478314508,734.3826825835121,1210.1800182386332,1580.1181308268751,1379.5847859048836,0.0,172.3691906854276,1262.7311158566613,1215.2523220158548,2391.028436341965,139.82954794009493,808.8828266490583
8,1255.119402185697,1442.2529071699637,640.9369794841092,137.6556878517265,386.3373874906951,2234.5471533281916,267.03433323885463,970.7992942982155,1568.6569802960485,0.0,2138.324188771424,187.11968576492006,1321.8890595878997,677.6144446781095,1462.6551252993984,1037.3100261019658,1300.479899211803,3327.880696967807,2367.742426251533,0.0,365.03456948154576,0.0,1820.6466882009977,1238.5788233855528,975.7689040416005,859.1172035730622,198.36305310926946,1218.6901215481141,260.64725596165556,1690.9749567952872,908.0136554270008,1850.8197260278394,0.0,1169.601325466193,763.1504977340041,0.0,0.0,376.4856226855127,0.0,57.402309119150914,1392.2762140814286,1730.2111540040273,0.0,2020.663093544835,1415.1237883857734,985.6321777596315,2182.4069378126637,778.102534482639,809.9669480911297,1066.357835476046,2730.465675868522,722.2092973612022,277.8834814746574,0.0,0.0,0.0,939.0356676627838,1588.0162174926343,1147.780213244237,516.4926433769261,866.6684519357556,1223.8757345271258,0.0,1134.33578767506,2039.5497465148374,981.0061303205773,273.00637536188515,401.2773773455556,1218.7229386221911,460.7267009341115,1501.8926765034103,1793.674379507263,823.4116454776622,0.0,507.8226203576802,2754.412298799466,1991.8033151889626,569.4540938203045,805.1602597455059,1497.507569369496,507.152916983308,1510.3414679859434,990.8108572263023,1053.5961932789319,1111.988779758282,182.54494008385223,267.2855095885336,1072.799821323982,1218.2608027736715,759.4662710515585,1259.371491670966,1413.7938568616541,1465.9450662814384,0.0,122.4692499623743,1074.9263942780317,1123.5679052401283,2348.866515044093,25.804755754595362,676.076416796173
9,1176.151857021258,1549.9489515086716,618.1490661539603,224.31577828856166,497.11285015207204,2281.7640608945057,200.09661714822766,817.2936883693728,1655.678522824901,0.0,2215.2539518066965,0.0,1409.0474747071166,910.7612289737381,1279.2898090087983,892.8501770855485,1209.7093400712808,3378.371433234423,2342.9152121991233,0.0,486.5249101107846,0.0,1768.006283836717,1381.1324498622237,820.9798708675245,851.5523621687795,341.94662072868346,1204.2970981568985,342.03626548742795,1745.6352962513547,789.733698464035,1846.9023329697154,0.0,1215.7394626225491,723.6734691910195,0.0,0.0,467.2642638404627,0.0,0.0,1454.4765685434252,1761.9009374819698,0.0,2045.9417335850446,1339.6647927797799,1019.3246615214982,2322.4345979237655,996.4814244964005,701.4798001470904,1258.7004448675134,2713.01597308973,704.6366968595547,514.701422745114,0.0,0.0,0.0,804.1918765323388,1786.5711168440307,1155.3997408795558,576.9958805681731,1099.3585350591047,1272.7113455634512,0.0,1209.8466390948586,2187.686110823257,1246.5481018053827,299.3148142680993,291.470677816191,1160.35605783915,547.0687898443446,1485.7170401848168,1801.2685454417165,961.7240922487874,0.0,504.7369066223048,2491.7204315385484,2228.8581754462393,786.1530990750435,699.3384286703476,1391.8111225804573,415.10936338367264,1618.8995265899193,927.3807882910347,1014.096301223318,1041.5727351088165,0.0,351.1044645516831,1013.9970488780964,1177.514574890923,809.764275277705,1318.670289823945,1273.0206409600592,1497.757658021305,0.0,168.15864451429172,831.4362137946234,1132.6680540169104,2366.9729767835647,95.91814769205996,557.5532329917721
10,1204.9058399171874,1527.7872468592936,670.2121307202787,301.4821789148183,426.3852897825543,2239.191975847214,17.33958613487266,637.3113602343685,1706.3747305851953,0.0,2219.4532215277122,0.0,1377.9640636469726,1088.75267713335,1062.8952463332969,746.8191185139285,1260.639789081157,3245.637562160965,2289.924275559883,0.0,517.3424680776044,0.0,1737.4583902632169,1611.0108956231315,745.9026061829113,901.1855889478358,503.85994302374445,1276.6061573127943,488.5142834646051,1754.5146837727752,638.9360525548022,1885.5958741395586,0.0,1108.9609473416506,787.2746628346125,0.0,26.913695548697206,578.432714382089,0.0,0.0,1427.0846442215316,1839.4502429613733,0.0,2054.264848031249,1408.6256955041229,996.6269546386579,2328.916180375828,1150.4859180686303,598.3423042830126,1465.3829670481393,2564.3463373057457,600.6141765822855,665.7003825274444,0.0,0.0,0.0,734.4054327716774,1954.960533974539,1023.2835109348615,527.3498556094646,1244.8263301304335,1226.8338589686855,0.0,1314.07189872422,2367.049726369777,1464.3008183710563,268.1358300678653,226.19817752741562,1156.705479092232,614.9291449906423,1398.3677091081975,1734.3587819393194,1137.999430598124,0.0,409.7198970129781,2400.117259502995,2317.977010820409,1050.8233109727928,566.9373278531627,1212.6894448409803,256.9565848954263,1743.2732669765019,835.952132302988,1008.7880051009814,994.8493997237157,0.0,533.8332238493131,1024.8730276233023,1163.5757869828358,1013.3241327707516,1309.7868923678898,1155.2389670695638,1425.969403087554,0.0,180.46926157453242,696.9639331519096,1156.991388192215,2497.4001296066344,199.7377191348462,375.11756866269764
