forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,AT,-0.00000,0.31380,2.39579,7.63478
271,0.05000,AT,-0.00000,1.64858,6.45029,3.91264
271,0.10000,AT,-0.00000,3.09932,9.93792,3.20649
301,0.01000,AT,-0.00000,0.75020,4.05420,5.40415
301,0.05000,AT,0.00000,2.88285,9.14699,3.17290
301,0.10000,AT,0.00000,4.99462,13.00853,2.60451
332,0.01000,AT,-0.00000,0.61587,5.05016,8.20011
332,0.05000,AT,-0.00000,2.40149,11.55641,4.81218
332,0.10000,AT,-0.00000,4.61643,15.76654,3.41531
362,0.01000,AT,-0.00000,0.58441,4.59740,7.86680
362,0.05000,AT,0.00000,2.84300,8.89408,3.12841
362,0.10000,AT,-0.00000,4.98532,13.49062,2.70607
