forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,BE,-0.00000,4.01781,10.72913,2.67039
271,0.05000,BE,-0.00000,12.39742,26.00468,2.09759
271,0.10000,BE,-0.00000,18.76550,42.60347,2.27031
301,0.01000,BE,-0.00000,-0.00000,4.88201,0.00000
301,0.05000,BE,-0.00000,6.57953,22.81887,3.46816
301,0.10000,BE,-0.00000,12.92736,43.04188,3.32952
332,0.01000,BE,-0.00000,-0.00000,7.24380,0.00000
332,0.05000,BE,-0.00000,4.63906,30.08901,6.48602
332,0.10000,BE,-0.00000,0.00000,51.86265,0.00000
362,0.01000,BE,-0.00000,-0.00000,18.92294,0.00000
362,0.05000,BE,4.99526,3.20487,47.80137,5.82935
362,0.10000,BE,44.63717,9.03681,83.10427,1.54832
