forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,BG,-0.00000,0.95189,4.31988,4.53821
271,0.05000,BG,-0.00000,5.56404,12.87725,2.31437
271,0.10000,BG,-0.00000,9.43916,19.30873,2.04560
301,0.01000,BG,-0.00000,0.39136,4.45031,11.37134
301,0.05000,BG,0.00000,5.35659,13.30629,2.48409
301,0.10000,BG,-0.00000,9.84349,19.35648,1.96643
332,0.01000,BG,-0.00000,2.68482,9.39729,3.50015
332,0.05000,BG,-0.00000,8.17262,19.32259,2.36431
332,0.10000,BG,-0.00000,13.31467,26.93031,2.02260
362,0.01000,BG,-0.00000,2.75770,8.73104,3.16606
362,0.05000,BG,-0.00000,10.68069,21.94241,2.05440
362,0.10000,BG,-0.00000,16.72020,29.45444,1.76161
