forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,CH,-0.00000,0.00000,0.28381,48818985.05758
271,0.05000,CH,-0.00000,2.07151,2.45087,1.18313
271,0.10000,CH,-0.00000,4.38803,4.81748,1.09787
301,0.01000,CH,-0.00000,0.79973,1.17807,1.47309
301,0.05000,CH,-0.00000,3.68125,4.49798,1.22186
301,0.10000,CH,-0.00000,6.93113,7.82400,1.12882
332,0.01000,CH,-0.00000,2.28684,3.06119,1.33861
332,0.05000,CH,0.00000,7.37754,8.45888,1.14657
332,0.10000,CH,-0.00000,11.35205,12.27952,1.08170
362,0.01000,CH,-0.00000,1.54294,2.54544,1.64974
362,0.05000,CH,-0.00000,6.41863,7.76262,1.20939
362,0.10000,CH,-0.00000,10.13101,11.76042,1.16083
