forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,CZ,-0.00000,0.25877,1.36108,5.25982
271,0.05000,CZ,-0.00000,3.39967,5.53330,1.62760
271,0.10000,CZ,-0.00000,7.68289,10.03267,1.30585
301,0.01000,CZ,-0.00000,-0.00000,1.75073,0.00000
301,0.05000,CZ,-0.00000,5.00996,6.86121,1.36951
301,0.10000,CZ,-0.00000,10.50038,0.00000,0.00000
332,0.01000,CZ,-0.00000,-0.00000,2.65443,0.00000
332,0.05000,CZ,-0.00000,4.66722,7.61697,1.63201
332,0.10000,CZ,-0.00000,9.49971,0.00000,0.00000
362,0.01000,CZ,-0.00000,-0.00000,3.28995,0.00000
362,0.05000,CZ,-0.00000,3.44249,9.69175,2.81533
362,0.10000,CZ,-0.00000,7.05186,15.40931,2.18514
