forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,DE,-0.00000,251.82514,347.55045,1.38013
271,0.05000,DE,-0.00000,400.35896,628.61337,1.57012
271,0.10000,DE,-0.00000,493.57224,950.08973,1.92493
301,0.01000,DE,-0.00000,34.89043,220.97764,6.33347
301,0.05000,DE,-0.00000,181.10657,517.75603,2.85885
301,0.10000,DE,-0.00000,323.56039,777.78014,2.40382
332,0.01000,DE,-0.00000,-0.00000,153.93218,0.00000
332,0.05000,DE,-0.00000,121.62554,452.37358,3.71940
332,0.10000,DE,-0.00000,228.67177,765.41782,3.34723
362,0.01000,DE,-0.00000,-0.00000,231.51935,0.00000
362,0.05000,DE,-0.00000,81.75648,613.22483,7.50063
362,0.10000,DE,134.87382,157.92665,940.37260,3.21165
