forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,DK,-0.00000,3.43128,11.43245,3.33184
271,0.05000,DK,-0.00000,7.92837,23.97670,3.02416
271,0.10000,DK,0.00000,11.15293,35.97616,3.22571
301,0.01000,DK,-0.00000,-0.00000,2.82638,0.00000
301,0.05000,DK,-0.00000,1.06121,10.63471,10.02134
301,0.10000,DK,-0.00000,2.61487,20.68993,7.91242
332,0.01000,DK,-0.00000,-0.00000,2.14090,0.00000
332,0.05000,DK,-0.00000,0.88110,7.27368,8.25523
332,0.10000,DK,-0.00000,2.62593,13.63818,5.19367
362,0.01000,DK,-0.00000,-0.00000,0.00000,0.00000
362,0.05000,DK,-0.00000,-0.00000,2.87707,0.00000
362,0.10000,DK,21.99813,0.00000,24.17986,1.09918
