forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,EE,-0.00000,0.00000,0.00344,64537.13637
271,0.05000,EE,0.00000,0.00000,0.03673,598611.53599
271,0.10000,EE,-0.00000,0.00639,0.09189,14.38323
301,0.01000,EE,-0.00000,0.00000,0.00235,81495.24137
301,0.05000,EE,-0.00000,0.00118,0.05255,44.71239
301,0.10000,EE,-0.00000,0.01157,0.10568,9.13285
332,0.01000,EE,-0.00000,-0.00000,0.00992,0.00000
332,0.05000,EE,-0.00000,-0.00000,0.06133,0.00000
332,0.10000,EE,-0.00000,0.00783,0.14104,18.02280
362,0.01000,EE,-0.00000,-0.00000,0.02657,0.00000
362,0.05000,EE,0.43286,0.00000,0.43286,1.00000
362,0.10000,EE,4.72408,0.00038,4.77442,1.01057
