forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,EL,-0.00000,65.02096,91.51320,1.40744
271,0.05000,EL,-0.00000,86.23587,115.87606,1.34371
271,0.10000,EL,-0.00000,98.07034,130.28345,1.32847
301,0.01000,EL,-0.00000,102.50423,133.95208,1.30680
301,0.05000,EL,-0.00000,124.11774,155.82060,1.25543
301,0.10000,EL,-0.00000,136.89372,171.29503,1.25130
332,0.01000,EL,-0.00000,47.47112,65.50117,1.37981
332,0.05000,EL,-0.00000,64.33517,90.86963,1.41244
332,0.10000,EL,-0.00000,76.57023,103.64222,1.35356
362,0.01000,EL,-0.00000,70.03008,100.02605,1.42833
362,0.05000,EL,-0.00000,95.65904,129.29422,1.35162
362,0.10000,EL,-0.00000,108.14577,143.97265,1.33128
