forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,ES,-0.00000,334.12798,444.76518,1.33112
271,0.05000,ES,-0.00000,407.08042,548.80791,1.34816
271,0.10000,ES,-0.00000,449.67411,628.95669,1.39869
301,0.01000,ES,-0.00000,244.69100,331.44791,1.35456
301,0.05000,ES,-0.00000,298.85457,426.23642,1.42623
301,0.10000,ES,-0.00000,335.54812,502.58099,1.49779
332,0.01000,ES,-0.00000,236.82337,323.13228,1.36444
332,0.05000,ES,-0.00000,301.57925,419.76462,1.39189
332,0.10000,ES,-0.00000,340.72063,491.27189,1.44186
362,0.01000,ES,-0.00000,199.05200,301.03841,1.51236
362,0.05000,ES,-0.00000,258.68624,380.70280,1.47168
362,0.10000,ES,-0.00000,294.29489,458.44131,1.55776
