forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,FI,-0.00000,0.00000,0.00663,978338.67196
271,0.05000,FI,-0.00000,0.00000,0.07003,1123481.11293
271,0.10000,FI,-0.00000,0.00564,0.17988,31.89406
301,0.01000,FI,-0.00000,0.00000,0.01407,684472.08349
301,0.05000,FI,-0.00000,0.00099,0.10349,104.84883
301,0.10000,FI,0.27656,0.01544,0.27797,0.95195
332,0.01000,FI,-0.00000,-0.00000,0.00925,0.00000
332,0.05000,FI,-0.00000,0.00000,0.08463,3906344.83330
332,0.10000,FI,0.09286,0.01351,0.18551,1.74390
362,0.01000,FI,-0.00000,-0.00000,0.00463,0.00000
362,0.05000,FI,0.24436,0.00000,0.24436,1.00000
362,0.10000,FI,10.90154,0.00000,10.90154,1.00000
