forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,FR,-0.00000,93.93914,180.25288,1.91883
271,0.05000,FR,-0.00000,151.24398,274.81767,1.81705
271,0.10000,FR,0.00000,189.94264,335.79372,1.76787
301,0.01000,FR,-0.00000,57.90666,157.40150,2.71819
301,0.05000,FR,0.00000,121.50763,265.98980,2.18908
301,0.10000,FR,3.26345,163.00886,313.10736,1.88310
332,0.01000,FR,-0.00000,65.24715,110.75604,1.69748
332,0.05000,FR,-0.00000,109.57813,177.16462,1.61679
332,0.10000,FR,-0.00000,129.55644,214.05301,1.65220
362,0.01000,FR,-0.00000,73.77652,176.90751,2.39788
362,0.05000,FR,25.58750,113.49548,288.43086,2.07380
362,0.10000,FR,193.78329,137.21191,445.05321,1.34459
