forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,HR,-0.00000,-0.00000,0.07233,0.00000
271,0.05000,HR,-0.00000,0.09597,0.34524,3.59720
271,0.10000,HR,0.00000,0.18195,0.69027,3.79371
301,0.01000,HR,-0.00000,0.01837,0.26636,14.49691
301,0.05000,HR,0.00000,0.15777,0.82612,5.23616
301,0.10000,HR,-0.00000,0.29560,1.22714,4.15140
332,0.01000,HR,-0.00000,0.03603,0.20171,5.59914
332,0.05000,HR,-0.00000,0.20400,0.72573,3.55753
332,0.10000,HR,-0.00000,0.36290,1.21412,3.34564
362,0.01000,HR,-0.00000,0.03306,0.22862,6.91604
362,0.05000,HR,-0.00000,0.18966,0.67513,3.55968
362,0.10000,HR,-0.00000,0.35658,1.04152,2.92085
