forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,HU,-0.00000,0.03221,0.19989,6.20640
271,0.05000,HU,-0.00000,0.17632,0.59427,3.37050
271,0.10000,HU,-0.00000,0.31907,0.86709,2.71755
301,0.01000,HU,-0.00000,0.06944,0.52907,7.61907
301,0.05000,HU,-0.00000,0.25911,0.98567,3.80412
301,0.10000,HU,-0.00000,0.41442,1.33890,3.23080
332,0.01000,HU,-0.00000,0.12275,0.39454,3.21418
332,0.05000,HU,-0.00000,0.30608,0.80156,2.61875
332,0.10000,HU,-0.00000,0.44985,1.07401,2.38750
362,0.01000,HU,-0.00000,0.00000,0.08995,21461598.84729
362,0.05000,HU,-0.00000,0.09186,0.32955,3.58748
362,0.10000,HU,-0.00000,0.17824,0.56491,3.16935
