forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,IE,-0.00000,0.00000,0.00172,31720.21032
271,0.05000,IE,-0.00000,0.00138,0.01158,8.40120
271,0.10000,IE,-0.00000,0.00243,0.02526,10.41757
301,0.01000,IE,-0.00000,0.00000,0.00394,386865.97356
301,0.05000,IE,-0.00000,0.00155,0.01421,9.16471
301,0.10000,IE,-0.00000,0.00295,0.02485,8.42519
332,0.01000,IE,-0.00000,-0.00000,0.00105,0.00000
332,0.05000,IE,-0.00000,-0.00000,0.00152,0.00000
332,0.10000,IE,-0.00000,-0.00000,0.01012,0.00000
362,0.01000,IE,-0.00000,-0.00000,0.00462,0.00000
362,0.05000,IE,31.52550,-0.00000,31.54373,1.00058
362,0.10000,IE,104.70201,-0.00000,104.72463,1.00022
