forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,IT,-0.00000,278.17368,383.64899,1.37917
271,0.05000,IT,-0.00000,397.64990,524.69119,1.31948
271,0.10000,IT,-0.00000,491.35702,617.14358,1.25600
301,0.01000,IT,-0.00000,235.21116,389.14748,1.65446
301,0.05000,IT,-0.00000,372.74329,526.22358,1.41176
301,0.10000,IT,-0.00000,467.31507,630.48145,1.34916
332,0.01000,IT,-0.00000,148.30339,219.41873,1.47953
332,0.05000,IT,-0.00000,241.41018,338.96674,1.40411
332,0.10000,IT,-0.00000,295.44011,423.78471,1.43442
362,0.01000,IT,-0.00000,326.12181,443.97120,1.36137
362,0.05000,IT,-0.00000,506.78719,590.94846,1.16607
362,0.10000,IT,-0.00000,579.68006,679.20702,1.17169
