forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,LT,-0.00000,0.00000,0.05435,2218593.87795
271,0.05000,LT,-0.00000,0.00000,0.35014,11773548.00906
271,0.10000,LT,0.00000,0.11038,0.00000,0.00000
301,0.01000,LT,-0.00000,0.00000,0.10885,2247311.41267
301,0.05000,LT,0.00000,0.03871,0.50122,12.94669
301,0.10000,LT,-0.00000,0.15962,0.96361,6.03675
332,0.01000,LT,-0.00000,-0.00000,0.12543,0.00000
332,0.05000,LT,0.00000,0.04565,0.52829,11.57208
332,0.10000,LT,-0.00000,0.16055,1.11751,6.96052
362,0.01000,LT,-0.00000,-0.00000,0.11067,0.00000
362,0.05000,LT,0.00000,-0.00000,0.74034,3413746.57245
362,0.10000,LT,0.45464,0.05671,1.64106,3.20926
