forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,LU,-0.00000,0.03822,0.09553,2.49971
271,0.05000,LU,-0.00000,0.21046,0.35291,1.67687
271,0.10000,LU,-0.00000,0.31326,0.00000,0.00000
301,0.01000,LU,-0.00000,0.00000,0.05601,1611846.15120
301,0.05000,LU,-0.00000,0.14968,0.30700,2.05099
301,0.10000,LU,0.00000,0.33783,0.00000,0.00000
332,0.01000,LU,-0.00000,-0.00000,0.01105,0.00000
332,0.05000,LU,-0.00000,0.07817,0.33001,4.22189
332,0.10000,LU,-0.00000,0.30957,0.69965,2.26009
362,0.01000,LU,-0.00000,-0.00000,0.10458,0.00000
362,0.05000,LU,-0.00000,0.12380,0.41319,3.33759
362,0.10000,LU,-0.00000,0.33697,0.76190,2.26107
