forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,LV,-0.00000,0.00000,0.00058,7127.92898
271,0.05000,LV,-0.00000,0.00000,0.01145,976223.11351
271,0.10000,LV,-0.00000,0.00371,0.02382,6.42713
301,0.01000,LV,-0.00000,0.00000,0.00190,139559.94167
301,0.05000,LV,-0.00000,0.00190,0.01319,6.94643
301,0.10000,LV,-0.00000,0.00493,0.03057,6.20498
332,0.01000,LV,-0.00000,-0.00000,0.00341,0.00000
332,0.05000,LV,-0.00000,0.00242,0.01778,7.35196
332,0.10000,LV,-0.00000,0.00481,0.00000,0.00000
362,0.01000,LV,-0.00000,-0.00000,0.00543,0.00000
362,0.05000,LV,-0.00000,-0.00000,0.02563,0.00000
362,0.10000,LV,0.21770,0.00282,0.21857,0.99116
