forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,NL,-0.00000,3.91668,10.32508,2.63618
271,0.05000,NL,-0.00000,9.99319,26.47625,2.64943
271,0.10000,NL,-0.00000,13.42924,42.40470,3.15764
301,0.01000,NL,-0.00000,-0.00000,5.83448,0.00000
301,0.05000,NL,-0.00000,3.19980,18.85582,5.89282
301,0.10000,NL,0.00000,6.27592,35.48884,5.65476
332,0.01000,NL,-0.00000,-0.00000,4.52323,0.00000
332,0.05000,NL,-0.00000,2.24004,19.26446,8.60004
332,0.10000,NL,-0.00000,4.73650,34.45614,7.27461
362,0.01000,NL,-0.00000,-0.00000,16.77250,0.00000
362,0.05000,NL,39.57582,0.49580,59.28107,1.47938
362,0.10000,NL,124.19840,3.23663,146.84724,1.15233
