forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,NO,-0.00000,0.03790,0.19613,5.17545
271,0.05000,NO,1.63536,0.08397,1.89871,1.10433
271,0.10000,NO,8.37555,0.11914,8.93298,1.05160
301,0.01000,NO,-0.00000,0.00000,0.07591,5673155.13950
301,0.05000,NO,3.14475,-0.00000,3.18754,1.01361
301,0.10000,NO,15.68632,0.01321,15.95894,1.01652
332,0.01000,NO,-0.00000,-0.00000,0.11933,0.00000
332,0.05000,NO,8.89082,-0.00000,9.08662,1.02202
332,0.10000,NO,23.20419,0.00110,23.44336,1.01026
362,0.01000,NO,1.34901,-0.00000,1.48284,1.09921
362,0.05000,NO,22.63969,-0.00000,22.71149,1.00317
362,0.10000,NO,45.76538,-0.00000,46.00108,1.00515
