forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,PL,-0.00000,-0.00000,0.28764,0.00000
271,0.05000,PL,-0.00000,0.13719,1.22092,8.89947
271,0.10000,PL,0.00000,0.28736,2.28747,7.96024
301,0.01000,PL,-0.00000,0.00679,0.59493,87.59987
301,0.05000,PL,-0.00000,0.22732,1.94596,8.56062
301,0.10000,PL,0.00000,0.46437,0.00000,0.00000
332,0.01000,PL,-0.00000,-0.00000,0.34148,0.00000
332,0.05000,PL,-0.00000,0.21253,1.32547,6.23659
332,0.10000,PL,-0.00000,0.40310,0.00000,0.00000
362,0.01000,PL,-0.00000,-0.00000,0.41931,0.00000
362,0.05000,PL,-0.00000,0.11130,1.56611,14.07156
362,0.10000,PL,2.42970,0.24536,4.16036,1.55524
