forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,PT,-0.00000,24.09017,32.66554,1.35597
271,0.05000,PT,-0.00000,29.47089,41.26208,1.40010
271,0.10000,PT,-0.00000,32.49032,0.00000,0.00000
301,0.01000,PT,-0.00000,13.26217,19.01011,1.43341
301,0.05000,PT,-0.00000,18.65769,28.53861,1.52959
301,0.10000,PT,-0.00000,21.83161,34.23752,1.56825
332,0.01000,PT,-0.00000,15.71384,24.47619,1.55762
332,0.05000,PT,0.00000,20.77354,34.35242,1.65366
332,0.10000,PT,-0.00000,24.05473,40.34611,1.67726
362,0.01000,PT,-0.00000,13.74963,18.39600,1.33793
362,0.05000,PT,-0.00000,17.23010,25.36190,1.47195
362,0.10000,PT,-0.00000,19.70586,30.48281,1.54689
