forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,RO,-0.00000,1.43458,3.04012,2.11917
271,0.05000,RO,-0.00000,4.58548,9.64114,2.10253
271,0.10000,RO,-0.00000,6.56903,15.03428,2.28866
301,0.01000,RO,-0.00000,5.35548,21.16015,3.95112
301,0.05000,RO,-0.00000,14.79459,37.38785,2.52713
301,0.10000,RO,-0.00000,21.49623,49.98187,2.32515
332,0.01000,RO,-0.00000,5.97441,23.86906,3.99521
332,0.05000,RO,0.00000,15.52279,43.65993,2.81263
332,0.10000,RO,-0.00000,23.75715,54.59918,2.29822
362,0.01000,RO,-0.00000,6.19260,18.46529,2.98183
362,0.05000,RO,-0.00000,15.16193,35.81014,2.36185
362,0.10000,RO,-0.00000,21.50980,48.13667,2.23789
