forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,SE,-0.00000,0.30734,0.60049,1.95380
271,0.05000,SE,-0.00000,0.58134,1.20324,2.06976
271,0.10000,SE,-0.00000,0.77477,1.75418,2.26411
301,0.01000,SE,-0.00000,-0.00000,0.14658,0.00000
301,0.05000,SE,-0.00000,0.09792,0.66033,6.74326
301,0.10000,SE,-0.00000,0.24682,1.31854,5.34209
332,0.01000,SE,-0.00000,-0.00000,0.23664,0.00000
332,0.05000,SE,-0.00000,0.11795,1.00182,8.49353
332,0.10000,SE,0.00000,0.24991,1.97460,7.90112
362,0.01000,SE,-0.00000,-0.00000,-0.00000,0.00000
362,0.05000,SE,-0.00000,0.00000,0.25560,22001578.93349
362,0.10000,SE,8.07408,0.00000,8.18722,1.01401
