forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,SI,-0.00000,-0.00000,0.00370,0.00000
271,0.05000,SI,-0.00000,0.53857,0.54172,1.00584
271,0.10000,SI,-0.00000,0.95776,0.96062,1.00298
301,0.01000,SI,-0.00000,-0.00000,0.01684,0.00000
301,0.05000,SI,-0.00000,0.36970,0.39785,1.07614
301,0.10000,SI,-0.00000,0.84610,0.00000,0.00000
332,0.01000,SI,-0.00000,-0.00000,0.02640,0.00000
332,0.05000,SI,-0.00000,0.59587,0.62284,1.04528
332,0.10000,SI,-0.00000,1.28110,1.31663,1.02774
362,0.01000,SI,-0.00000,-0.00000,0.01180,0.00000
362,0.05000,SI,-0.00000,0.49808,0.51787,1.03972
362,0.10000,SI,-0.00000,1.09364,0.00000,0.00000
