forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,SK,-0.00000,0.21734,0.21734,1.00000
271,0.05000,SK,-0.00000,2.27309,2.27423,1.00050
271,0.10000,SK,-0.00000,4.11855,4.18283,1.01561
301,0.01000,SK,-0.00000,0.49155,0.50187,1.02100
301,0.05000,SK,-0.00000,2.58488,2.61867,1.01307
301,0.10000,SK,0.00000,4.95012,5.02456,1.01504
332,0.01000,SK,-0.00000,0.61276,0.62413,1.01855
332,0.05000,SK,-0.00000,3.00281,3.01760,1.00493
332,0.10000,SK,-0.00000,5.46641,5.50342,1.00677
362,0.01000,SK,-0.00000,-0.00000,0.03437,0.00000
362,0.05000,SK,-0.00000,1.61978,1.65598,1.02235
362,0.10000,SK,0.00000,2.73723,2.78030,1.01574
