forecast_day,tol,country,wind objective,solar objective,combined objective,ratio
271,0.01000,UK,-0.00000,55.54299,167.75427,3.02026
271,0.05000,UK,-0.00000,113.62018,315.22754,2.77440
271,0.10000,UK,7.76529,149.28454,409.13279,2.60511
301,0.01000,UK,-0.00000,0.30166,14.54112,48.20306
301,0.05000,UK,-0.00000,26.45727,72.59097,2.74371
301,0.10000,UK,-0.00000,52.31707,126.97140,2.42696
332,0.01000,UK,-0.00000,-0.00000,36.77633,0.00000
332,0.05000,UK,-0.00000,15.99183,86.43816,5.40514
332,0.10000,UK,2.03251,30.29261,121.72121,3.76553
362,0.01000,UK,0.07210,-0.00000,43.66217,605.58891
362,0.05000,UK,485.00742,-0.00000,529.59812,1.09194
362,0.10000,UK,989.53042,0.00000,1039.74358,1.05074
