forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,AT,-0.00000,2.11088,6.80830,3.22534
271,0.01000,2,AT,-0.00000,1.46688,8.31679,5.66971
271,0.01000,3,AT,-0.00000,1.58107,8.32033,5.26247
271,0.01000,4,AT,-0.00000,0.86628,3.96461,4.57659
271,0.01000,5,AT,-0.00000,0.84455,6.89158,8.16006
271,0.01000,6,AT,-0.00000,2.63136,4.59741,1.74716
271,0.01000,7,AT,-0.00000,2.20878,5.44019,2.46298
271,0.01000,8,AT,-0.00000,0.76540,7.25256,9.47552
271,0.01000,9,AT,-0.00000,1.34295,7.18889,5.35306
271,0.01000,10,AT,-0.00000,1.61517,7.32430,4.53469
271,0.05000,1,AT,0.00038,3.48530,9.27212,2.66006
271,0.05000,2,AT,-0.00000,3.37309,11.19829,3.31989
271,0.05000,3,AT,-0.00000,3.27572,13.87474,4.23563
271,0.05000,4,AT,-0.00000,1.95845,6.69163,3.41680
271,0.05000,5,AT,-0.00000,1.85033,10.15890,5.49032
271,0.05000,6,AT,-0.00000,4.24248,8.73092,2.05798
271,0.05000,7,AT,-0.00000,3.95557,8.31835,2.10295
271,0.05000,8,AT,-0.00000,2.38093,10.73515,4.50881
271,0.05000,9,AT,-0.00000,2.94696,10.80305,3.66583
271,0.05000,10,AT,-0.00000,3.16926,10.96372,3.45939
271,0.10000,1,AT,0.00038,4.99841,12.02885,2.40635
271,0.10000,2,AT,-0.00000,5.22191,14.26246,2.73127
271,0.10000,3,AT,-0.00000,5.42487,17.81654,3.28423
271,0.10000,4,AT,-0.00000,3.28412,10.53378,3.20749
271,0.10000,5,AT,-0.00000,3.18224,13.87704,4.36078
271,0.10000,6,AT,0.01067,5.41569,13.58473,2.50347
271,0.10000,7,AT,-0.00000,5.10679,11.51991,2.25580
271,0.10000,8,AT,-0.00000,4.03984,13.11921,3.24746
271,0.10000,9,AT,-0.00000,4.40867,14.67231,3.32806
271,0.10000,10,AT,-0.00000,4.95365,14.84425,2.99663
301,0.01000,1,AT,-0.00000,3.67834,7.93771,2.15796
301,0.01000,2,AT,-0.00000,3.82333,10.26217,2.68409
301,0.01000,3,AT,-0.00000,2.17505,10.76979,4.95151
301,0.01000,4,AT,-0.00000,1.37405,8.91483,6.48800
301,0.01000,5,AT,-0.00000,1.47732,7.32859,4.96073
301,0.01000,6,AT,-0.00000,5.08880,9.75206,1.91638
301,0.01000,7,AT,-0.00000,3.85688,10.87535,2.81973
301,0.01000,8,AT,-0.00000,3.02275,7.07500,2.34058
301,0.01000,9,AT,-0.00000,3.50095,11.25694,3.21540
301,0.01000,10,AT,-0.00000,2.90263,9.05624,3.12001
301,0.05000,1,AT,-0.00000,5.19535,11.30174,2.17536
301,0.05000,2,AT,-0.00000,5.14372,13.47712,2.62011
301,0.05000,3,AT,-0.00000,4.59378,14.51814,3.16039
301,0.05000,4,AT,0.01147,3.65951,12.46683,3.39605
301,0.05000,5,AT,-0.00000,3.50574,12.95459,3.69525
301,0.05000,6,AT,-0.00000,7.06085,13.35289,1.89112
301,0.05000,7,AT,-0.00000,5.41238,14.37023,2.65507
301,0.05000,8,AT,-0.00000,4.85945,11.15928,2.29641
301,0.05000,9,AT,-0.00000,5.51906,15.08151,2.73262
301,0.05000,10,AT,-0.00000,4.79041,12.81800,2.67576
301,0.10000,1,AT,0.01042,6.87032,15.28113,2.22086
301,0.10000,2,AT,-0.00000,6.72360,18.74928,2.78858
301,0.10000,3,AT,-0.00000,6.87551,17.32469,2.51977
301,0.10000,4,AT,0.01147,5.63069,16.50940,2.92608
301,0.10000,5,AT,-0.00000,5.75988,16.50935,2.86627
301,0.10000,6,AT,-0.00000,8.47292,17.23627,2.03428
301,0.10000,7,AT,-0.00000,6.97036,16.86247,2.41917
301,0.10000,8,AT,-0.00000,6.47725,13.35193,2.06136
301,0.10000,9,AT,-0.00000,7.28243,18.16094,2.49380
301,0.10000,10,AT,-0.00000,6.55878,15.58030,2.37549
332,0.01000,1,AT,-0.00000,2.79688,10.65069,3.80806
332,0.01000,2,AT,-0.00000,2.30685,8.88374,3.85103
332,0.01000,3,AT,-0.00000,2.88020,11.01210,3.82338
332,0.01000,4,AT,-0.00000,2.03114,12.29684,6.05416
332,0.01000,5,AT,-0.00000,3.71558,8.93629,2.40509
332,0.01000,6,AT,-0.00000,3.45512,12.72332,3.68245
332,0.01000,7,AT,-0.00000,1.78663,13.20797,7.39267
332,0.01000,8,AT,-0.00000,3.22587,9.96927,3.09041
332,0.01000,9,AT,-0.00000,4.52795,14.08112,3.10982
332,0.01000,10,AT,-0.00000,3.06185,10.28767,3.35995
332,0.05000,1,AT,-0.00000,4.19302,17.56766,4.18974
