forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,BE,-0.00000,5.03403,41.29037,8.20225
271,0.01000,2,BE,-0.00000,5.74675,17.20309,2.99353
271,0.01000,3,BE,-0.00000,10.16254,32.89647,3.23703
271,0.01000,4,BE,-0.00000,3.70437,26.11554,7.04993
271,0.01000,5,BE,-0.00000,5.42409,33.81300,6.23386
271,0.01000,6,BE,-0.00000,7.65887,36.57254,4.77519
271,0.01000,7,BE,-0.00000,8.63566,39.01596,4.51801
271,0.01000,8,BE,-0.00000,7.07595,35.98610,5.08569
271,0.01000,9,BE,-0.00000,14.20755,19.69019,1.38590
271,0.01000,10,BE,-0.00000,8.94738,33.97513,3.79722
271,0.05000,1,BE,-0.00000,17.24804,67.79930,3.93084
271,0.05000,2,BE,-0.00000,15.72102,36.14239,2.29899
271,0.05000,3,BE,-0.00000,17.28280,47.17258,2.72945
271,0.05000,4,BE,-0.00000,11.38330,47.69599,4.19000
271,0.05000,5,BE,-0.00000,14.99821,50.88355,3.39264
271,0.05000,6,BE,-0.00000,17.52693,60.20097,3.43477
271,0.05000,7,BE,-0.00000,16.63513,53.32035,3.20529
271,0.05000,8,BE,-0.00000,22.99177,68.30820,2.97098
271,0.05000,9,BE,-0.00000,21.86834,33.80644,1.54591
271,0.05000,10,BE,0.00000,16.00040,52.86821,3.30418
271,0.10000,1,BE,-0.00000,29.43753,83.44091,2.83451
271,0.10000,2,BE,-0.00000,22.20794,57.34183,2.58204
271,0.10000,3,BE,-0.00000,24.65729,62.33836,2.52819
271,0.10000,4,BE,-0.00000,20.27175,65.00207,3.20653
271,0.10000,5,BE,-0.00000,30.68904,65.62781,2.13848
271,0.10000,6,BE,0.01177,28.56025,86.74373,3.03597
271,0.10000,7,BE,-0.00000,28.47639,72.89577,2.55987
271,0.10000,8,BE,-0.00000,33.03597,86.27077,2.61142
271,0.10000,9,BE,-0.00000,27.91551,49.48437,1.77265
271,0.10000,10,BE,-0.00000,23.21885,63.23583,2.72347
301,0.01000,1,BE,-0.00000,8.50239,27.44851,3.22833
301,0.01000,2,BE,-0.00000,-0.00000,15.55185,---
301,0.01000,3,BE,-0.00000,2.01056,29.57196,14.70832
301,0.01000,4,BE,-0.00000,7.16908,32.17218,4.48763
301,0.01000,5,BE,-0.00000,13.22311,41.32538,3.12524
301,0.01000,6,BE,-0.00000,3.65647,21.92961,5.99748
301,0.01000,7,BE,-0.00000,3.03115,35.59768,11.74395
301,0.01000,8,BE,-0.00000,4.94836,30.87484,6.23941
301,0.01000,9,BE,-0.00000,0.32880,17.31818,52.67086
301,0.01000,10,BE,-0.00000,-0.00000,29.23325,---
301,0.05000,1,BE,-0.00000,14.92177,37.16341,2.49055
301,0.05000,2,BE,-0.00000,10.05341,40.73298,4.05166
301,0.05000,3,BE,-0.00000,12.12388,46.78485,3.85890
301,0.05000,4,BE,-0.00000,17.36169,47.06863,2.71106
301,0.05000,5,BE,-0.00000,23.25336,58.11979,2.49941
301,0.05000,6,BE,-0.00000,12.33850,40.96634,3.32020
301,0.05000,7,BE,-0.00000,12.45846,53.25128,4.27431
301,0.05000,8,BE,-0.00000,14.09091,51.80222,3.67629
301,0.05000,9,BE,-0.00000,8.18321,32.64483,3.98925
301,0.05000,10,BE,-0.00000,11.87507,44.30738,3.73113
301,0.10000,1,BE,-0.00000,25.23129,53.58051,2.12357
301,0.10000,2,BE,-0.00000,18.19244,61.58935,3.38544
301,0.10000,3,BE,-0.00000,22.64990,65.25231,2.88091
301,0.10000,4,BE,-0.00000,24.23658,61.76867,2.54857
301,0.10000,5,BE,-0.00000,30.56670,74.40269,2.43411
301,0.10000,6,BE,-0.00000,18.99182,60.33835,3.17707
301,0.10000,7,BE,-0.00000,23.66547,71.04175,3.00192
301,0.10000,8,BE,0.00414,22.39431,68.79765,3.07154
301,0.10000,9,BE,-0.00000,14.53236,49.64404,3.41610
301,0.10000,10,BE,-0.00000,17.71243,60.74633,3.42959
332,0.01000,1,BE,-0.00000,1.02369,37.49021,36.62262
332,0.01000,2,BE,-0.00000,2.68314,39.48083,14.71441
332,0.01000,3,BE,-0.00000,1.87180,22.07359,11.79271
332,0.01000,4,BE,-0.00000,4.96722,33.65874,6.77617
332,0.01000,5,BE,-0.00000,3.12146,22.54533,7.22269
332,0.01000,6,BE,-0.00000,-0.00000,25.06130,---
332,0.01000,7,BE,-0.00000,6.06577,33.43389,5.51190
332,0.01000,8,BE,-0.00000,3.93481,38.53788,9.79409
332,0.01000,9,BE,-0.00000,-0.00000,12.99474,---
332,0.01000,10,BE,-0.00000,1.16191,17.66283,15.20155
332,0.05000,1,BE,-0.00000,7.65762,50.37014,6.57778
332,0.05000,2,BE,-0.00000,11.55984,64.38683,5.56987
332,0.05000,3,BE,-0.00000,6.61369,44.82954,6.77829
332,0.05000,4,BE,1.10773,9.68196,55.01335,5.09870
332,0.05000,5,BE,-0.00000,7.99068,41.92368,5.24657
332,0.05000,6,BE,-0.00000,10.15132,49.16282,4.84300
332,0.05000,7,BE,-0.00000,11.12746,53.79406,4.83435
332,0.05000,8,BE,-0.00000,12.82757,53.91575,4.20311
332,0.05000,9,BE,0.00000,8.00146,33.82643,4.22753
332,0.05000,10,BE,-0.00000,5.61944,39.89572,7.09959
332,0.10000,1,BE,-0.00000,16.23410,69.63294,4.28930
332,0.10000,2,BE,0.51911,20.17558,80.63061,3.89620
332,0.10000,3,BE,2.47281,14.20309,64.67336,3.87825
332,0.10000,4,BE,8.88741,16.05063,78.23057,3.13700
332,0.10000,5,BE,-0.00000,13.94670,60.01742,4.30334
332,0.10000,6,BE,-0.00000,20.54676,71.05184,3.45806
332,0.10000,7,BE,-0.00000,19.13429,68.07225,3.55761
332,0.10000,8,BE,0.19951,20.08833,70.87765,3.49360
332,0.10000,9,BE,3.11556,13.74096,49.71720,2.94943
332,0.10000,10,BE,-0.00000,14.77340,58.93361,3.98917
362,0.01000,1,BE,-0.00000,3.31920,46.56839,14.03000
362,0.01000,2,BE,1.03128,-0.00000,56.63180,54.91409
362,0.01000,3,BE,-0.00000,-0.00000,48.19282,---
362,0.01000,4,BE,-0.00000,-0.00000,44.07016,---
362,0.01000,5,BE,9.59703,4.02783,70.20609,5.15279
