forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,BG,-0.00000,5.35315,14.64593,2.73595
271,0.01000,2,BG,-0.00000,3.84582,5.87636,1.52799
271,0.01000,3,BG,-0.00000,2.64718,8.30991,3.13916
271,0.01000,4,BG,-0.00000,4.75040,11.15232,2.34766
271,0.01000,5,BG,-0.00000,2.12517,10.28043,4.83746
271,0.01000,6,BG,-0.00000,4.01704,17.55285,4.36960
271,0.01000,7,BG,-0.00000,4.65568,15.23799,3.27299
271,0.01000,8,BG,-0.00000,2.55921,7.76209,3.03300
271,0.01000,9,BG,-0.00000,3.50052,11.55257,3.30024
271,0.01000,10,BG,-0.00000,1.07495,9.52718,8.86291
271,0.05000,1,BG,-0.00000,9.62586,21.61349,2.24536
271,0.05000,2,BG,-0.00000,10.35642,15.37778,1.48485
271,0.05000,3,BG,-0.00000,7.16567,15.72569,2.19459
271,0.05000,4,BG,-0.00000,7.84477,16.41298,2.09222
271,0.05000,5,BG,-0.00000,8.13108,16.04338,1.97309
271,0.05000,6,BG,-0.00000,9.16005,23.04387,2.51569
271,0.05000,7,BG,-0.00000,9.99892,21.03823,2.10405
271,0.05000,8,BG,-0.00000,6.28044,18.03599,2.87177
271,0.05000,9,BG,-0.00000,8.93641,15.60630,1.74637
271,0.05000,10,BG,-0.00000,5.90871,14.73791,2.49427
271,0.10000,1,BG,-0.00000,12.68529,26.72963,2.10714
271,0.10000,2,BG,0.00254,14.75173,21.71062,1.47148
271,0.10000,3,BG,-0.00000,10.83290,22.76267,2.10125
271,0.10000,4,BG,0.01169,11.43048,21.40149,1.87040
271,0.10000,5,BG,-0.00000,12.46255,21.99054,1.76453
271,0.10000,6,BG,-0.00000,12.76941,26.69339,2.09042
271,0.10000,7,BG,-0.00000,14.26513,25.78733,1.80772
271,0.10000,8,BG,-0.00000,11.34141,25.41960,2.24131
271,0.10000,9,BG,-0.00000,13.24137,19.28741,1.45660
271,0.10000,10,BG,-0.00000,10.49178,19.96412,1.90283
301,0.01000,1,BG,-0.00000,4.37960,20.49189,4.67894
301,0.01000,2,BG,-0.00000,0.75992,7.52631,9.90408
301,0.01000,3,BG,-0.00000,3.90215,12.87544,3.29958
301,0.01000,4,BG,-0.00000,7.21110,13.75457,1.90742
301,0.01000,5,BG,-0.00000,3.85670,15.00026,3.88940
301,0.01000,6,BG,-0.00000,5.24425,14.16062,2.70022
301,0.01000,7,BG,-0.00000,1.74647,13.50403,7.73219
301,0.01000,8,BG,-0.00000,5.52840,15.18126,2.74605
301,0.01000,9,BG,-0.00000,0.91440,5.73710,6.27417
301,0.01000,10,BG,-0.00000,2.26567,11.68191,5.15605
301,0.05000,1,BG,-0.00000,9.23634,26.46407,2.86521
301,0.05000,2,BG,-0.00000,5.02660,15.18267,3.02047
301,0.05000,3,BG,-0.00000,10.71032,18.35592,1.71385
301,0.05000,4,BG,-0.00000,12.38470,20.75057,1.67550
301,0.05000,5,BG,-0.00000,8.89945,19.91320,2.23758
301,0.05000,6,BG,-0.00000,10.20198,23.36602,2.29034
301,0.05000,7,BG,-0.00000,6.66432,22.26549,3.34100
301,0.05000,8,BG,-0.00000,9.12286,20.10393,2.20369
301,0.05000,9,BG,-0.00000,5.96342,12.95274,2.17203
301,0.05000,10,BG,-0.00000,8.18324,19.40082,2.37080
301,0.10000,1,BG,1.49606,13.49695,31.18226,2.07979
301,0.10000,2,BG,-0.00000,8.77118,23.08077,2.63143
301,0.10000,3,BG,-0.00000,14.51043,22.23028,1.53202
301,0.10000,4,BG,-0.00000,16.06392,27.14990,1.69012
301,0.10000,5,BG,0.01869,12.48376,24.15494,1.93202
301,0.10000,6,BG,-0.00000,14.15216,29.37021,2.07532
301,0.10000,7,BG,-0.00000,11.16832,27.59728,2.47103
301,0.10000,8,BG,-0.00000,13.86092,26.17775,1.88860
301,0.10000,9,BG,-0.00000,10.50168,20.29049,1.93212
301,0.10000,10,BG,-0.00000,12.19091,23.97734,1.96682
332,0.01000,1,BG,-0.00000,5.14880,14.45449,2.80735
332,0.01000,2,BG,-0.00000,6.13599,22.84196,3.72262
332,0.01000,3,BG,-0.00000,12.14203,22.27570,1.83459
332,0.01000,4,BG,-0.00000,6.27553,25.20909,4.01705
332,0.01000,5,BG,-0.00000,10.11559,17.78591,1.75827
332,0.01000,6,BG,-0.00000,5.87323,17.17931,2.92502
332,0.01000,7,BG,-0.00000,11.21429,20.52446,1.83021
332,0.01000,8,BG,-0.00000,7.10495,17.99723,2.53306
332,0.01000,9,BG,-0.00000,4.67463,19.71081,4.21655
332,0.01000,10,BG,-0.00000,8.18670,23.24279,2.83909
332,0.05000,1,BG,-0.00000,10.50406,23.43349,2.23090
332,0.05000,2,BG,-0.00000,12.04912,30.85247,2.56056
332,0.05000,3,BG,-0.00000,17.19619,33.57351,1.95238
332,0.05000,4,BG,-0.00000,13.75452,30.33679,2.20559
332,0.05000,5,BG,-0.00000,14.65103,24.81517,1.69375
332,0.05000,6,BG,-0.00000,9.98900,25.79431,2.58227
332,0.05000,7,BG,-0.00000,17.20671,29.16293,1.69486
332,0.05000,8,BG,-0.00000,15.18290,26.47285,1.74360
332,0.05000,9,BG,-0.00000,9.61515,26.38821,2.74444
332,0.05000,10,BG,-0.00000,12.80797,29.97495,2.34034
332,0.10000,1,BG,-0.00000,15.94866,30.34415,1.90261
332,0.10000,2,BG,-0.00000,18.25743,35.22083,1.92912
332,0.10000,3,BG,-0.00000,21.78580,38.10370,1.74902
332,0.10000,4,BG,-0.00000,19.54193,36.16230,1.85050
332,0.10000,5,BG,-0.00000,19.63482,31.59425,1.60909
332,0.10000,6,BG,-0.00000,15.22313,33.15842,2.17816
332,0.10000,7,BG,-0.00000,21.25960,36.17925,1.70178
332,0.10000,8,BG,-0.00000,19.98935,34.57513,1.72968
332,0.10000,9,BG,0.08848,14.61990,32.93021,2.23887
332,0.10000,10,BG,-0.00000,17.50539,34.81628,1.98889
362,0.01000,1,BG,-0.00000,8.87789,22.91903,2.58159
362,0.01000,2,BG,-0.00000,6.34742,20.00815,3.15217
362,0.01000,3,BG,-0.00000,10.63402,20.24447,1.90375
362,0.01000,4,BG,-0.00000,13.00782,23.33545,1.79396
362,0.01000,5,BG,-0.00000,6.09426,21.63815,3.55058
362,0.01000,6,BG,-0.00000,9.52915,22.31736,2.34201
362,0.01000,7,BG,-0.00000,5.23320,21.81610,4.16879
362,0.01000,8,BG,-0.00000,10.36047,23.88628,2.30552
362,0.01000,9,BG,-0.00000,12.60486,20.10558,1.59507
362,0.01000,10,BG,-0.00000,10.14966,17.83557,1.75726
362,0.05000,1,BG,-0.00000,16.65125,30.08682,1.80688
362,0.05000,2,BG,-0.00000,12.98941,29.59970,2.27876
362,0.05000,3,BG,-0.00000,18.12042,29.91629,1.65097
362,0.05000,4,BG,-0.00000,19.50180,29.58033,1.51680
362,0.05000,5,BG,0.00174,14.12835,30.98598,2.19291
362,0.05000,6,BG,0.00788,18.59368,31.44170,1.69027
362,0.05000,7,BG,-0.00000,13.92327,29.96308,2.15201
362,0.05000,8,BG,-0.00000,17.98213,28.90647,1.60751
362,0.05000,9,BG,-0.00000,17.28646,28.30408,1.63736
362,0.05000,10,BG,-0.00000,16.82514,26.37018,1.56731
362,0.10000,1,BG,-0.00000,22.69611,35.77127,1.57610
362,0.10000,2,BG,-0.00000,19.31723,36.78657,1.90434
362,0.10000,3,BG,-0.00000,24.00480,35.54586,1.48078
362,0.10000,4,BG,0.01352,22.82200,35.18753,1.54091
362,0.10000,5,BG,0.00174,20.33230,36.67902,1.80382
362,0.10000,6,BG,0.00788,25.44175,39.12264,1.53726
362,0.10000,7,BG,-0.00000,21.43281,36.48048,1.70209
362,0.10000,8,BG,-0.00000,22.24585,33.77234,1.51814
362,0.10000,9,BG,-0.00000,22.45755,35.87737,1.59756
