forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,CH,-0.00000,2.68864,3.71385,1.38131
271,0.01000,2,CH,-0.00000,1.74839,2.74650,1.57087
271,0.01000,3,CH,-0.00000,0.76814,1.94836,2.53646
271,0.01000,4,CH,-0.00000,1.84224,2.32872,1.26407
271,0.01000,5,CH,-0.00000,1.69330,2.31271,1.36580
271,0.01000,6,CH,-0.00000,0.96861,2.66988,2.75640
271,0.01000,7,CH,-0.00000,2.08396,2.51053,1.20469
271,0.01000,8,CH,-0.00000,1.99972,3.17614,1.58829
271,0.01000,9,CH,-0.00000,1.45930,2.23779,1.53347
271,0.01000,10,CH,-0.00000,0.81213,1.36838,1.68493
271,0.05000,1,CH,-0.00000,5.48310,6.53686,1.19218
271,0.05000,2,CH,0.01507,4.05700,4.94518,1.21441
271,0.05000,3,CH,-0.00000,3.32123,5.32686,1.60388
271,0.05000,4,CH,0.00329,4.28382,4.98032,1.16170
271,0.05000,5,CH,-0.00000,4.78403,5.51370,1.15252
271,0.05000,6,CH,0.01274,3.36686,5.12641,1.51687
271,0.05000,7,CH,-0.00000,4.75783,5.04461,1.06028
271,0.05000,8,CH,-0.00000,4.15667,5.47405,1.31693
271,0.05000,9,CH,-0.00000,4.19395,5.16471,1.23147
271,0.05000,10,CH,-0.00000,2.60765,3.44533,1.32124
271,0.10000,1,CH,-0.00000,7.63833,9.04000,1.18350
271,0.10000,2,CH,0.02385,6.98467,7.94529,1.13366
271,0.10000,3,CH,0.00931,5.88931,8.02528,1.36054
271,0.10000,4,CH,0.00416,7.20229,8.05576,1.11785
271,0.10000,5,CH,0.01194,7.75988,8.61802,1.10888
271,0.10000,6,CH,0.00667,6.17327,7.78097,1.25907
271,0.10000,7,CH,0.00570,7.43183,7.99853,1.07543
271,0.10000,8,CH,0.00725,6.88312,8.62418,1.25163
271,0.10000,9,CH,0.01427,7.21414,8.56171,1.18445
271,0.10000,10,CH,0.00410,5.22507,5.91310,1.13079
301,0.01000,1,CH,-0.00000,3.49598,5.26526,1.50609
301,0.01000,2,CH,-0.00000,2.03978,3.62836,1.77880
301,0.01000,3,CH,-0.00000,2.03891,3.78119,1.85452
301,0.01000,4,CH,-0.00000,5.27288,6.39921,1.21361
