forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,CZ,-0.00000,3.11104,4.78015,1.53651
271,0.01000,2,CZ,-0.00000,1.23577,4.47181,3.61864
271,0.01000,3,CZ,-0.00000,1.28565,2.73963,2.13093
271,0.01000,4,CZ,-0.00000,0.67723,2.36282,3.48895
271,0.01000,5,CZ,-0.00000,0.47099,2.25846,4.79513
271,0.01000,6,CZ,-0.00000,4.41081,8.67360,1.96644
271,0.01000,7,CZ,-0.00000,2.77306,6.36668,2.29590
271,0.01000,8,CZ,-0.00000,1.12579,4.12404,3.66324
271,0.01000,9,CZ,-0.00000,-0.00000,3.49641,---
271,0.01000,10,CZ,-0.00000,0.31775,3.98851,12.55235
271,0.05000,1,CZ,-0.00000,8.14619,12.46758,1.53048
271,0.05000,2,CZ,-0.00000,4.98426,9.40534,1.88701
271,0.05000,3,CZ,-0.00000,6.67149,8.46126,1.26827
271,0.05000,4,CZ,-0.00000,5.16964,8.25990,1.59777
271,0.05000,5,CZ,-0.00000,5.02573,7.56065,1.50439
271,0.05000,6,CZ,-0.00000,9.10164,12.68109,1.39328
271,0.05000,7,CZ,-0.00000,8.01447,11.03547,1.37694
271,0.05000,8,CZ,-0.00000,5.76444,8.98321,1.55838
271,0.05000,9,CZ,-0.00000,3.50726,8.41230,2.39854
271,0.05000,10,CZ,-0.00000,6.85944,9.72667,1.41800
271,0.10000,1,CZ,-0.00000,14.39706,18.47828,1.28348
271,0.10000,2,CZ,0.00909,10.13083,16.28083,1.60562
271,0.10000,3,CZ,-0.00000,11.68707,14.53680,1.24384
271,0.10000,4,CZ,-0.00000,9.09965,13.28624,1.46008
271,0.10000,5,CZ,-0.00000,11.68214,13.94587,1.19378
271,0.10000,6,CZ,-0.00000,14.02413,18.16989,1.29562
271,0.10000,7,CZ,-0.00000,12.41467,15.62713,1.25876
271,0.10000,8,CZ,-0.00000,11.31119,14.83291,1.31135
271,0.10000,9,CZ,-0.00000,8.43717,12.77331,1.51393
271,0.10000,10,CZ,-0.00000,11.94062,15.93176,1.33425
301,0.01000,1,CZ,-0.00000,5.69129,7.80797,1.37192
301,0.01000,2,CZ,-0.00000,0.89718,6.61241,7.37022
301,0.01000,3,CZ,-0.00000,7.96777,13.78959,1.73067
301,0.01000,4,CZ,-0.00000,0.35297,3.77939,10.70740
301,0.01000,5,CZ,-0.00000,2.34965,6.63549,2.82403
301,0.01000,6,CZ,-0.00000,4.16121,5.81852,1.39828
301,0.01000,7,CZ,-0.00000,4.28446,10.08060,2.35283
301,0.01000,8,CZ,-0.00000,7.12594,10.14969,1.42433
301,0.01000,9,CZ,-0.00000,0.57237,7.87317,13.75539
301,0.01000,10,CZ,-0.00000,4.15539,9.64417,2.32088
301,0.05000,1,CZ,-0.00000,13.29116,18.04995,1.35804
301,0.05000,2,CZ,-0.00000,7.65905,15.14028,1.97678
301,0.05000,3,CZ,-0.00000,13.27943,20.27556,1.52684
301,0.05000,4,CZ,-0.00000,10.13871,16.37165,1.61477
301,0.05000,5,CZ,0.00000,10.68720,16.51803,1.54559
301,0.05000,6,CZ,-0.00000,10.42594,13.04414,1.25112
